experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0268741202879128,0.0066679197672011,0.3776635587102007,0.1125369879090753,0.0197704766953875,1.0,0.994,0.2369961749554757,1.0,0.0888484345164204,0.999,0.2641084999999998,1.0,0.0902497499999999
balanced,200.0,Bayes-MAP,0.0723123992948454,0.0066262209626123,0.5178337924234961,0.1690445303442436,0.0503043645253021,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1226618696337304,0.021851658989716,0.6145768092922006,0.1612769522472417,0.1010428469471299,1.0,,,,,,,,
balanced,200.0,Avg,0.288039994904,0.0213020180647624,4.504806871573785,0.3464897913885714,0.2672999949039999,,,,,,,,,
balanced,400.0,BayPIRE,0.0254044426434327,0.0037338770009933,0.3208905859829449,0.09555222219487,0.0153029796381622,1.0,0.974,0.1746355498385896,1.0,0.0558428635535546,0.997,0.2050269999999999,1.0,0.0572144999999999
balanced,400.0,Bayes-MAP,0.0667458796372197,0.0052753136562788,0.4447595469395958,0.1376901313137506,0.0463203288343012,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.1041365417145391,0.0087413382935678,0.6481916672351442,0.1478331358655494,0.0840265429577501,1.0,,,,,,,,
balanced,400.0,Avg,0.2016999981856,0.0100349387247024,1.9980173903330976,0.292531248476875,0.1834199981856,,,,,,,,,
balanced,800.0,BayPIRE,0.0223016623471922,0.001207189527419,0.2869273651753591,0.0862239943012385,0.014266761214519,1.0,0.897,0.0986600597465443,1.0,0.0361374314637527,0.991,0.1414059999999999,1.0,0.037766
balanced,800.0,Bayes-MAP,0.0515961462739356,0.0037720614694963,0.3700321317522809,0.1083865175436728,0.0310844188036067,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0837216657346543,0.0056319464768908,0.4879893216761536,0.1222090310922671,0.0647463517300698,1.0,,,,,,,,
balanced,800.0,Avg,0.1266549998344,0.0111729945047619,0.8356599126638183,0.2592683422497826,0.1065049998344,,,,,,,,,
balanced,1600.0,BayPIRE,0.0219677007559789,0.0016771174611375,0.2682717352274164,0.0823844015386099,0.011761949674125,1.0,0.77,0.0721847970201981,0.9,0.0235243082762914,0.981,0.1226034999999999,1.0,0.0254822499999999
balanced,1600.0,Bayes-MAP,0.0416879238859562,0.0033270770709276,0.3238677083062815,0.0939855721399811,0.022353215761884,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0560803346927012,0.0043619538524841,0.329535621158906,0.0977761973955487,0.0380562911901338,1.0,,,,,,,,
balanced,1600.0,Avg,0.0885224999748,0.0066478322593286,0.7137633475751828,0.2474421502733333,0.0694374999748,,,,,,,,,
random,200.0,BayPIRE,0.028251738866395,0.005476930838882,0.4187391182950478,0.1290927851649381,0.0218500374207226,1.0,0.998,0.2409285022486168,1.0,0.1119507956303514,1.0,0.2680187499999998,1.0,0.1120794999999999
random,200.0,Bayes-MAP,0.0675416018218981,0.006596670213251,0.5319102606157367,0.1751988267489074,0.0461141723379932,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1284450861664775,0.0221180032330349,0.6804156124734261,0.180283030365045,0.107200903089839,1.0,,,,,,,,
random,200.0,Avg,0.2793083284551333,0.0229734468534962,4.485723554099545,0.3520683656952835,0.2585983284551333,,,,,,,,,
random,400.0,BayPIRE,0.0254253869180639,0.0031060477874847,0.3421447473422819,0.1039048826621661,0.0186518105536606,1.0,0.978,0.1566188706845068,1.0,0.0662111921289447,0.997,0.1894377499999999,1.0,0.0673467499999999
random,400.0,Bayes-MAP,0.0618402363817078,0.0051710165252449,0.4570297097711507,0.1437358057056885,0.0417350874787236,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1005845735643646,0.0056037907198365,0.6523980061089847,0.1524088762869407,0.0787028405159421,1.0,,,,,,,,
random,400.0,Avg,0.2104931394643421,0.0110934242693932,2.6991373957120537,0.306209672668172,0.1915200442262468,,,,,,,,,
random,800.0,BayPIRE,0.0223185632805402,0.0010296195215135,0.2927932447662341,0.0886115210190913,0.0144428345244883,1.0,0.91,0.1027091670221037,1.0,0.0403321419675963,0.989,0.1466672499999999,1.0,0.041394
random,800.0,Bayes-MAP,0.0538071450753448,0.0039485027141933,0.3839392596678634,0.1143149501192478,0.03317077820124,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0835782616136356,0.0070086654686308,0.4675524985620006,0.1216168767500652,0.0648613320680943,1.0,,,,,,,,
random,800.0,Avg,0.1401507665970227,0.0101446392319444,1.0621083665414424,0.2678845304151253,0.1208353904045877,,,,,,,,,
random,1600.0,BayPIRE,0.0211469886761938,0.001068553981536,0.2722325640715796,0.0832057713928627,0.0120328270331343,1.0,0.8039999999999999,0.0720093680876196,1.0,0.0240205964898326,0.98,0.1220322499999999,1.0,0.0258635
random,1600.0,Bayes-MAP,0.0408532276330271,0.0026192398406409,0.3261688510598148,0.0947380612373537,0.0229304161158604,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.055661476999832,0.0033274083198008,0.3436652416777864,0.0999643888565545,0.0390690340229219,1.0,,,,,,,,
random,1600.0,Avg,0.0886073226803926,0.0064376199339186,0.7217076578662189,0.2476981795485064,0.0708951167987494,,,,,,,,,
