experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0296993223601838,0.004918882291562,0.3430768206262941,0.0978419594253917,0.0233467939439286,1.0,0.995,0.2095395936301576,1.0,0.0850756573896737,0.999,0.2363889705882351,1.0,0.0860083333333333
balanced,200.0,Bayes-MAP,0.0740499470367003,0.0036563515367126,0.5122528654982111,0.1658423007863337,0.0480018965591565,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.110980463796009,0.0164947038523681,0.512598689044435,0.1347534135393259,0.0842784013930645,1.0,,,,,,,,
balanced,200.0,Avg,0.290696073245098,0.0128294048837868,4.741172671572943,0.3574099952068,0.2678529359901961,,,,,,,,,
balanced,400.0,BayPIRE,0.0266596214948158,0.0027560012274038,0.2889403129798166,0.0829319983826656,0.0202415262701315,1.0,0.972,0.1423159776057241,0.9,0.0542600913940906,0.998,0.1748379901960783,1.0,0.0554654411764705
balanced,400.0,Bayes-MAP,0.0639246225514329,0.0054831107222425,0.4311266247815025,0.1304219741324212,0.0394777992445874,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0940089483788225,0.0137378580910906,0.5476962638532611,0.1290226092613581,0.0706549916844277,1.0,,,,,,,,
balanced,400.0,Avg,0.1976274495103921,0.01138752192262,1.8311622570358328,0.2943290803267347,0.1755294102947059,,,,,,,,,
balanced,800.0,BayPIRE,0.0249644593394754,0.0020278407000524,0.2558630297778648,0.0740486879082316,0.0178408766385599,1.0,0.884,0.0994832522172663,0.9,0.0343257157822103,0.99,0.1379193627450979,0.9,0.0353281862745097
balanced,800.0,Bayes-MAP,0.0533248764906103,0.0025137554226873,0.3551758053609212,0.1007929016762971,0.0300243112297724,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0738907443633627,0.0035078097489313,0.4131852905396592,0.1026871309642062,0.0523512371868059,1.0,,,,,,,,
balanced,800.0,Avg,0.1392965684523529,0.0129516170433284,0.8649117038107338,0.2687017950621276,0.1165024508052941,,,,,,,,,
balanced,1600.0,BayPIRE,0.0230337385845653,0.000755471414092,0.2346388275613097,0.0700785686624557,0.0156211718453705,1.0,0.737,0.0665106978933303,1.0,0.0212747807021288,0.972,0.1121698529411764,1.0,0.0230414215686274
balanced,1600.0,Bayes-MAP,0.0368498652668592,0.0030618920516098,0.2959031398651061,0.0813773350004984,0.0154921640568913,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0484864829361245,0.0029155236673354,0.2887763086353486,0.0830827876298325,0.0290658539919355,1.0,,,,,,,,
balanced,1600.0,Avg,0.087938725490196,0.0047532585653625,0.701985578252647,0.2513688226744186,0.0664705882352941,,,,,,,,,
random,200.0,BayPIRE,0.0335501864585894,0.0098570768438288,0.3998660661012692,0.1220370257708406,0.0281207359125943,1.0,0.991,0.2246051393836252,1.0,0.1096161907813727,1.0,0.25153431372549,1.0,0.1096269607843136
random,200.0,Bayes-MAP,0.0691048358262059,0.005828187989367,0.5331544608939938,0.1761539281712397,0.0476170696573837,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1182576917197421,0.011069120552714,0.6072595040677282,0.1637245222375411,0.0930291036367075,1.0,,,,,,,,
random,200.0,Avg,0.2769961995712045,0.0161668076033904,4.498662774116469,0.353074259170068,0.2543550231006162,,,,,,,,,
random,400.0,BayPIRE,0.0267644677649171,0.0013748088607836,0.3021989791239611,0.0864048696324848,0.0208020845633836,1.0,0.968,0.1430757477963393,1.0,0.0652135362081962,0.996,0.1770301470588234,1.0,0.0657340686274509
random,400.0,Bayes-MAP,0.0617437974014382,0.0047521313629565,0.4458113620170965,0.1371737496048095,0.0371400467138566,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1007738640901413,0.009522090170163,0.5526189949869459,0.1328862270689013,0.0766359646736881,1.0,,,,,,,,
random,400.0,Avg,0.2104370587790709,0.0140676328885478,2.598115245265689,0.311707378766732,0.1878114425325723,,,,,,,,,
random,800.0,BayPIRE,0.0248376202446387,0.000997664764017,0.2558995507880972,0.0741331845338924,0.0176032180317223,1.0,0.91,0.102998816460056,1.0,0.0379910024449673,0.989,0.1405110294117645,1.0,0.0392590686274509
random,800.0,Bayes-MAP,0.0519195251714374,0.0045636486634448,0.3610454023300267,0.1030632937031136,0.0290402733325195,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0768258492952696,0.0081163256881347,0.42205765113187,0.1059909624679068,0.055491679136765,1.0,,,,,,,,
random,800.0,Avg,0.1427496416312597,0.0126730414204036,1.106033009165081,0.2733445757765589,0.1198287938515884,,,,,,,,,
random,1600.0,BayPIRE,0.0233909036601092,0.0014712553500747,0.234823521511189,0.0696236815541802,0.0141014901559011,1.0,0.791,0.0800110733918653,0.7,0.0226906729959636,0.975,0.1218732843137254,0.7,0.024581862745098
random,1600.0,Bayes-MAP,0.0399971769873367,0.0033579062845544,0.299253141164282,0.0822619379197034,0.0187296122034303,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0540117851065519,0.0049362487707198,0.2962038298546332,0.0839633544796043,0.0339396077826571,1.0,,,,,,,,
random,1600.0,Avg,0.0914803193653008,0.004065087113722,0.7041890175801633,0.2524961879985642,0.0694684417083263,,,,,,,,,
