benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,meta_llama_llama_3_8b,200.0,0,random_uniform,Avg,100,102,200,10200,0.26802100338081236,0.33398876876669203,0.24985825828277314,4.514215102025989,0.35046607819308845,0.388610012272917,0.13640476190476195,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,0,random_uniform,PE-Rasch,100,102,200,10200,0.1067545124530676,0.14716313654212712,0.0812221095793589,0.612537910193887,0.16718429707335364,0.0257628142466081,0.0017888968063755311,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,0,random_uniform,Bayes-MAP,100,102,200,10200,0.07007909500454616,0.08524560971800046,0.05503755640703414,0.5426153173408702,0.1809829626042423,0.34145853302538576,0.09135748835463668,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,89.93293321886301,0.0032905639363884744,-0.7675289741105145,0.31890081271569626,0.5734590027627052,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,0,random_uniform,BayPIRE,100,102,200,10200,0.04930979024963049,0.05598187177699081,0.046840098439391596,0.43280056809092876,0.13552674765912465,0.20224043769068323,0.04657147974749479,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1596.0,0.0,1000.0,1000.0,4.0,0.97,-1.655,0.431,3.174,1.0,0.22615865932808124,0.22685347081136364,1.0,0.2501421568627449,0.2549019607843137,1.0,0.10638482532469867,1.0,0.10578921568627458
mmlu:college_physics,meta_llama_llama_3_8b,200.0,1,random_uniform,Avg,100,102,200,10200,0.2583725444009804,0.3154527146405111,0.23770587773431373,4.098378033169509,0.3382253292913334,0.3811874131384221,0.13450000000000004,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,1,random_uniform,PE-Rasch,100,102,200,10200,0.10765634795294204,0.14723474321324123,0.08499562747846978,0.5736644496474647,0.16056454492806863,0.02730414344372064,0.0018685774431726736,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,1,random_uniform,Bayes-MAP,100,102,200,10200,0.06597289112713266,0.08148871838222681,0.04865854214065761,0.5333777304652243,0.17688506950160937,0.3422692418696225,0.09173141712034596,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,89.96258426578528,0.0007544529970037817,-0.724145350265807,0.32032094785863463,0.570387451457795,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,1,random_uniform,BayPIRE,100,102,200,10200,0.03118856306858572,0.03868794875689587,0.02829671624656041,0.3955032040847675,0.12119782970192228,0.19622243969892697,0.045023448898992804,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1993.0,0.0,1000.0,1000.0,4.0,0.97,-1.386,0.357,3.172,1.0,0.20347874656841033,0.20358854808756555,1.0,0.2320906862745097,0.23529411764705882,1.0,0.1144843372955417,1.0,0.11558823529411766
mmlu:college_physics,meta_llama_llama_3_8b,200.0,2,random_uniform,Avg,100,102,200,10200,0.2557705840019608,0.3267149126585726,0.2299176428254902,4.094845544789867,0.34541552599,0.4130034950371474,0.14383333333333337,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b,200.0,2,random_uniform,PE-Rasch,100,102,200,10200,0.1323403803926932,0.17494510070422814,0.10830482909137473,0.6519900888658688,0.17460898507748507,0.030786941643826494,0.001842421363638536,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
