benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.280199995002,0.3112715795960821,0.260199995002,3.9222765599207836,0.31698979202857147,0.3396421235743732,0.12250000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1016265694953292,0.14411957573561768,0.08142329302067575,0.45345643550508025,0.11934716676839469,0.020878896317489702,0.000633732045458173,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.0663727076886654,0.07829462083640787,0.045861267316273054,0.47322828050007426,0.1500655890484211,0.35436964335774485,0.09682072472822854,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,91.9815254262779,0.004185500587714091,-0.8210022527055248,0.35567155040130644,0.5476439025561193,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.022422058335773556,0.02705503207828298,0.012876232443338943,0.314026488459767,0.08721720174880908,0.2101358721302353,0.04724411975249424,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1411.0,0.0,1000.0,1000.0,4.0,0.97,-1.672,0.435,3.089,1.0,0.2235928820345865,0.22244781586376935,1.0,0.2485474999999998,0.25,1.0,0.08568749682657101,1.0,0.08470499999999992
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.30819999412,0.3461069132138219,0.29059999412000004,4.713259544316407,0.3408163217142857,0.27725887822397816,0.10000000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.13842028553413643,0.18487141368968665,0.12008262006464007,0.4832138191208698,0.13640219083684818,0.020574969696730703,0.0006388941851150825,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07387115494041817,0.0871862150733168,0.05570300131083819,0.4781406296118009,0.15236371407068738,0.3492178712614669,0.09435709365400197,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,91.33715944556157,0.0010681459395812437,-0.7996955922934813,0.39978987419464157,0.5238147561324991,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.026077387516492835,0.030882928417909208,0.01214863654329432,0.31421147371984626,0.08594100430464177,0.23184904084782454,0.05435598314741792,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1008.0,0.0,1000.0,1000.0,4.0,0.97,-1.534,0.571,2.831,1.0,0.29392092085756194,0.2940471398200271,1.0,0.31504249999999984,0.3102499999999986,1.0,0.08941675007142508,1.0,0.09111249999999999
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.293199994414,0.3234037659324951,0.271999994414,4.307370844615314,0.32515305687142865,0.29805329334077657,0.10750000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.09925032866630829,0.1363812266388109,0.08014499817631626,0.4609593502426058,0.12042754305363619,0.022633565466096434,0.001025688088066687,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
