benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Avg,0.2813799948158,0.01687244914654237,0.3118866897386817,0.022278263415249824,0.2635199948158,0.016773576644408043,4.013991864179352,0.4471813799712906,0.31793366946571433,0.014247463057927245,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,BayPIRE,0.023483903708393004,0.0030956590310358537,0.028630624371366993,0.00361717003455669,0.017157104169087223,0.004966575744215734,0.3064018584345417,0.014571585395627027,0.08420935506928202,0.005486775513909272,1.0,0.998,0.0042163702135578395,0.20161315922424175,0.04296046082492625,0.20115153291805185,0.04293383762999754,1.0,0.0,0.22879474999999988,0.040254531878238374,0.2290499999999998,0.03899226240906973,1.0,0.0,0.08199030986778925,0.0060402091782352065,1.0,0.0,0.08281699999999996,0.005912854969377246
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Bayes-MAP,0.06471888370310755,0.0056805572903833364,0.07690323565711023,0.00670017432516869,0.046163113907802186,0.006000532400662394,0.4713772331066382,0.008567435506450529,0.14965627939937315,0.003983358956739951,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,PE-Rasch,0.09443349882299334,0.022723841871020157,0.13188064857937837,0.030616297195858486,0.07567926440981157,0.023752478043321028,0.4413210650948452,0.04566729843690343,0.11557919587719781,0.01586908334368046,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Avg,0.18600999799360002,0.013723657288501171,0.22505649269634084,0.013827260157862427,0.1693299979936,0.01310064004315583,1.8433384501466599,0.23392935950452814,0.27124999860666665,0.006868683753396379,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,BayPIRE,0.02267366082226576,0.003353899204581887,0.02770117294205505,0.004044188113277324,0.018370744013628513,0.004283271637282123,0.2512704577200992,0.011317771917482887,0.06909898096750036,0.004036269068099856,1.0,0.942,0.042110964526276655,0.11294909121394998,0.015449582656301997,0.11284211628914262,0.015410966520791446,0.998,0.004216370213557842,0.14736049999999992,0.01269258307043918,0.14801249999999994,0.014740398240135183,0.9,0.31622776601683794,0.04915361192313287,0.002326738637948357,0.9,0.31622776601683794,0.050104999999999976,0.0025675150113160772
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Bayes-MAP,0.058275919842071255,0.004159733619018935,0.07139690765419777,0.0038202397085144615,0.03899807723046897,0.004804773251832335,0.3914182962207165,0.005800103345368418,0.11538034873493445,0.0028372428242649595,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,PE-Rasch,0.07507783772142446,0.00841302371884412,0.11789739901714422,0.01523198092937397,0.05581267783291725,0.010434645677099173,0.43595642430795556,0.01684000134265934,0.10314004286244523,0.0051163913649385755,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,Avg,0.12901999969640002,0.00830903780572724,0.15708937354966254,0.010023778822966994,0.11231999969639998,0.008324868911770322,0.8736442189665364,0.1215612658357868,0.24536141281891305,0.0037863046398111484,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,BayPIRE,0.020208856298666207,0.0011023476289594625,0.024816980181424857,0.0012697653449918883,0.01309552534672587,0.0011538806143692748,0.22123688747351072,0.004945041985762223,0.06176578497742337,0.0011673243874735907,1.0,0.915,0.04222953153106643,0.09004699547806763,0.011103126230836978,0.0899699613653866,0.011035566246898167,0.991,0.008755950357709158,0.12673649999999995,0.007799938496908546,0.12753749999999983,0.007875341703345121,1.0,0.0,0.031806646745753016,0.0012261614226252598,1.0,0.0,0.033162999999999984,0.001056880104626623
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,Bayes-MAP,0.047258502554028865,0.003079853836875997,0.05846026858697858,0.003439725030221488,0.027579893154159985,0.003244570495355749,0.3185430459287137,0.004575661329472275,0.08730240512418844,0.0019615340529978865,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,PE-Rasch,0.06960794166605218,0.004495740083871861,0.09454553722473066,0.007545549223963905,0.05031610532565674,0.005320544162329104,0.3905824493088474,0.0261061245852547,0.09128449595775816,0.005070470394143739,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,1600.0,two_way_balanced,Avg,0.08527,0.004712495210725532,0.10645992523009336,0.007073763732030668,0.06752,0.005759132843676303,0.6643671078511038,0.00616000992570995,0.23192708333333334,0.002274772058835476,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,1600.0,two_way_balanced,BayPIRE,0.018918816173906373,0.0010761218818287075,0.023436838470815582,0.001546385689382051,0.011388290231434846,0.0013306231592956149,0.2045091846874604,0.0030619062000197188,0.0584113882702923,0.0008684354732947773,1.0,0.77,0.07874007874011812,0.06010435054455567,0.011352746693670418,0.06017934501505394,0.011337591236150598,0.982,0.016193277068654838,0.10425074999999992,0.006577355835871033,0.10502499999999995,0.00705184176100278,1.0,0.0,0.020234998575997077,0.000797246839930642,1.0,0.0,0.022052000000000016,0.0010336039968103035
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,1600.0,two_way_balanced,Bayes-MAP,0.035227085883681154,0.002085982104025355,0.04368658126420895,0.002528826182182265,0.017163232836366168,0.0024631599799042397,0.26446406994769855,0.0013091989991508054,0.06994741098439358,0.0005283555075365347,1.0,,,,,,,,,,,,,,,,,,,,
