experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.023483903708393,0.0030956590310358,0.3064018584345417,0.084209355069282,0.0171571041690872,1.0,0.998,0.2016131592242417,1.0,0.0819903098677892,1.0,0.2287947499999998,1.0,0.0828169999999999
balanced,200.0,Bayes-MAP,0.0647188837031075,0.0056805572903833,0.4713772331066382,0.1496562793993731,0.0461631139078021,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0944334988229933,0.0227238418710201,0.4413210650948452,0.1155791958771978,0.0756792644098115,1.0,,,,,,,,
balanced,200.0,Avg,0.2813799948158,0.0168724491465423,4.013991864179352,0.3179336694657143,0.2635199948158,,,,,,,,,
balanced,400.0,BayPIRE,0.0226736608222657,0.0033538992045818,0.2512704577200992,0.0690989809675003,0.0183707440136285,1.0,0.942,0.1129490912139499,0.9,0.0491536119231328,0.998,0.1473604999999999,0.9,0.0501049999999999
balanced,400.0,Bayes-MAP,0.0582759198420712,0.0041597336190189,0.3914182962207165,0.1153803487349344,0.0389980772304689,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0750778377214244,0.0084130237188441,0.4359564243079555,0.1031400428624452,0.0558126778329172,1.0,,,,,,,,
balanced,400.0,Avg,0.1860099979936,0.0137236572885011,1.84333845014666,0.2712499986066666,0.1693299979936,,,,,,,,,
balanced,800.0,BayPIRE,0.0202088562986662,0.0011023476289594,0.2212368874735107,0.0617657849774233,0.0130955253467258,1.0,0.915,0.0900469954780676,1.0,0.031806646745753,0.991,0.1267364999999999,1.0,0.0331629999999999
balanced,800.0,Bayes-MAP,0.0472585025540288,0.0030798538368759,0.3185430459287137,0.0873024051241884,0.0275798931541599,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0696079416660521,0.0044957400838718,0.3905824493088474,0.0912844959577581,0.0503161053256567,1.0,,,,,,,,
balanced,800.0,Avg,0.1290199996964,0.0083090378057272,0.8736442189665364,0.245361412818913,0.1123199996963999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0189188161739063,0.0010761218818287,0.2045091846874604,0.0584113882702923,0.0113882902314348,1.0,0.77,0.0601043505445556,1.0,0.020234998575997,0.982,0.1042507499999999,1.0,0.022052
balanced,1600.0,Bayes-MAP,0.0352270858836811,0.0020859821040253,0.2644640699476985,0.0699474109843935,0.0171632328363661,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0477317541891883,0.0032305601533193,0.2685333268584291,0.0725257386144695,0.0309097916926363,1.0,,,,,,,,
balanced,1600.0,Avg,0.08527,0.0047124952107255,0.6643671078511038,0.2319270833333333,0.06752,,,,,,,,,
random,200.0,BayPIRE,0.0274988214176962,0.0049079671421266,0.3548703154087151,0.1048173500126833,0.0231562857856773,1.0,0.998,0.21181238274429,1.0,0.1057631473775312,1.0,0.2389059999999998,1.0,0.1063109999999999
random,200.0,Bayes-MAP,0.059631962586613,0.0071831936512075,0.4894278633734781,0.157429567156165,0.0420888370376924,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1092135691881553,0.0206789532784639,0.533296819245901,0.1459183585125296,0.091306697240503,1.0,,,,,,,,
random,200.0,Avg,0.2633183282886333,0.022849484912311,4.216214046636786,0.3282232922644444,0.2448483282886333,,,,,,,,,
random,400.0,BayPIRE,0.0214191091501682,0.0016534377061315,0.2691423800407494,0.0760354976750508,0.0162040178139477,1.0,0.984,0.1283590487874377,1.0,0.0617242961560892,1.0,0.1608614999999999,1.0,0.0626812499999999
random,400.0,Bayes-MAP,0.0570549157038241,0.0051534690640199,0.4097798601993641,0.1244732683968372,0.0381552343779348,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0803251768525975,0.0124017173739601,0.4803334336982627,0.1154882437200728,0.0601788637357224,1.0,,,,,,,,
random,400.0,Avg,0.197520953110956,0.0101571854808018,2.5277587621755915,0.2836548811805717,0.1776345245395274,,,,,,,,,
random,800.0,BayPIRE,0.0198337291353359,0.0006143241901663,0.2226825328895183,0.0623582675024141,0.013181158096385,1.0,0.937,0.0932663134456655,1.0,0.0362548923792507,0.996,0.1308662499999999,1.0,0.0380435
random,800.0,Bayes-MAP,0.0457976342028934,0.0038841565477187,0.3284464756112956,0.0918071181217887,0.0284476169912642,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0682096662305067,0.0077667269067767,0.3693328994063038,0.0911055641180361,0.0505275654356979,1.0,,,,,,,,
random,800.0,Avg,0.1305047007755835,0.0095628984378821,1.1238115655371943,0.2478878272304793,0.1133982172591,,,,,,,,,
random,1600.0,BayPIRE,0.0198669839636569,0.0015052478635631,0.2048059628606786,0.0586209197061016,0.01230702808181,1.0,0.76,0.061956043840595,0.8,0.0210310383541154,0.983,0.1059924999999999,0.9,0.023023
random,1600.0,Bayes-MAP,0.0357332169092518,0.0027653307681333,0.2671682256294074,0.0707405630741052,0.0182073691465555,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0494861834377608,0.003617757591316,0.2695217803510228,0.0733681575271093,0.0327107108621662,1.0,,,,,,,,
random,1600.0,Avg,0.0861226220150414,0.0074168417026165,0.680141060733914,0.2318687605129275,0.0684338487989812,,,,,,,,,
