benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,100,200,10000,0.22703332929233336,0.29504481227695645,0.20976666262566662,3.4389260810384283,0.3061664366052154,0.45708749445480634,0.16091666666666668,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.09083039139799814,0.12394816547456622,0.07686158377002364,0.4696260661002002,0.13213614707680882,0.020214332588641,0.0007406237210360412,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.046947140607636204,0.06041299903156359,0.025842997008319643,0.4757818547570524,0.15061565329739146,0.3375793108678312,0.08912813953173102,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,89.64367697625914,0.0003442038443438131,-0.7509624809310663,0.2640811355108884,0.614237507393556,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.024300155794463804,0.03081115158576552,0.021412228002193785,0.34679830341187706,0.10351943991629389,0.1639976707740842,0.03454440030839811,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2472.0,0.0,1000.0,1000.0,4.0,0.97,-1.724,0.333,3.502,0.99,0.17408933255446776,0.1746042805614182,1.0,0.20553499999999988,0.21,1.0,0.1078198065913123,1.0,0.10931000000000007
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,100,200,10000,0.24368332822833338,0.30744127078131356,0.22868332822833334,4.054430472595979,0.3146446954873017,0.33833522520874687,0.11891666666666671,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.12533548508852152,0.16111136839925735,0.10721839802501935,0.6589095554677614,0.18038613796422512,0.022956583191922553,0.0010664514043424319,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.0625214792565169,0.07679875525178839,0.05158375894610927,0.5208316083725947,0.17232992361198307,0.3215486998229191,0.08783143055220624,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,83.604945991928,0.00222037044422511,-1.0508046180449038,0.32183795655242414,0.5349976370514995,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.0267553436367397,0.034108888505140336,0.02351124939961288,0.4260921797942321,0.13336015762993736,0.21474508213585985,0.05241796311995367,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1777.0,0.0,1000.0,1000.0,4.0,0.97,-1.846,0.442,2.803,1.0,0.24136739688217837,0.2405408189965694,1.0,0.2671399999999999,0.27,1.0,0.11077917087680561,1.0,0.11053249999999998
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,100,200,10000,0.24586666223966666,0.30776000185671026,0.22613332890633336,3.696437195775818,0.31436348845736967,0.40616154880821365,0.14250000000000004,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.08305304261622894,0.12948586483084865,0.07014171900284659,0.4561443919991953,0.12619936777774188,0.01829083341396686,0.0005241115626900409,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
