benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,135,200,13500,0.2815925873711112,0.3216365407818809,0.2687036984822223,4.331238478839491,0.3349436046736842,0.3257791801631743,0.11750000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,135,200,13500,0.11420424073795417,0.1502697089405898,0.10015666935122942,0.41111076054365675,0.11769994179608985,0.021441075564580147,0.0006405747277912582,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,135,200,13500,0.06652560162385551,0.08296249715537328,0.05112102748682809,0.515104778998983,0.16890601785595355,0.3654175605714636,0.10073817327033951,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,94.135950049026,0.007001706051481189,0.7501109094936567,0.3745477666032834,0.45888052390941375,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,135,200,13500,0.01786215906320606,0.022632426220782924,0.013560143326095252,0.32028909916858334,0.08626635420181887,0.20643761368781813,0.0415999656333131,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1492.0,0.0,1000.0,1000.0,4.0,0.97,1.479,0.421,3.109,1.0,0.22953539813344148,0.22808023251089077,1.0,0.24864259259259247,0.2446296296296293,1.0,0.0927259806835411,1.0,0.09216851851851848
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,135,200,13500,0.2932592539392593,0.33320284848979315,0.2737036983837038,4.51266885522347,0.3426691683789474,0.3188477084575749,0.11500000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,135,200,13500,0.113874378801038,0.14583213538180434,0.0949735579263401,0.40619696899469043,0.1100531228878379,0.022489285031642568,0.0007362797779213825,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,135,200,13500,0.071871385669151,0.08746175777816159,0.051445436120568754,0.513219097634741,0.16772839661320668,0.3668379554890217,0.10130241007678072,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,94.349778075707,0.0006252718062693469,0.7438438798668755,0.372070813899016,0.45922665026930837,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,135,200,13500,0.022500185415154878,0.026925334880884173,0.017600267932202783,0.3132532692734525,0.08420381852792277,0.2011472805365564,0.039900127359220286,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1905.0,0.0,1000.0,1000.0,4.0,0.97,1.567,0.386,3.185,1.0,0.204596531652797,0.20470860202682778,1.0,0.2258870370370369,0.2224074074074064,1.0,0.08694440916555546,1.0,0.0895611111111112
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,135,200,13500,0.26725925472740747,0.31029566253090385,0.25496295843111116,3.9185492557611763,0.32740601118947377,0.3742994821023705,0.13500000000000004,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,135,200,13500,0.11427104366553947,0.15917122508538067,0.0987755442887372,0.39153248060007895,0.11198142572490956,0.02369310557860331,0.0007875117449913272,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
