benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,135,200,13500,0.2733925876518519,0.331337296377091,0.2562481432074075,4.257111876535371,0.34115013987568926,0.3787962079300487,0.13233333333333339,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,135,200,13500,0.12226390819836036,0.15595965535814107,0.10473125559553668,0.4665409515521489,0.14082673651251768,0.022581656609248695,0.0010977323868268983,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,135,200,13500,0.061045935430540536,0.07694896243671547,0.045436488281571874,0.5232658844051743,0.17168971517487674,0.35144521566337944,0.09443498959074784,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,92.1655960436826,0.0017225991819403656,0.6493345197634095,0.33850548514770673,0.4917915422846073,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,135,200,13500,0.027172947465710435,0.032802903192071735,0.024973495706471657,0.3604636106662942,0.10750999972335973,0.17601022954650383,0.03481593329834721,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1901.0,0.0,1000.0,1000.0,4.0,0.97,1.24,0.378,3.452,1.0,0.2064169368914518,0.20584345417542116,1.0,0.2282574074074073,0.22962962962962963,1.0,0.1153608230617219,1.0,0.11511666666666664
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,135,200,13500,0.2390185139674075,0.3078044563488549,0.22868518063407411,3.9219686876020883,0.32568013398897244,0.41937826238611087,0.14583333333333337,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,135,200,13500,0.10567227626465747,0.14636102190688208,0.09229116044515034,0.51242136048738,0.1524630211750992,0.023403577086717527,0.0012338736434384188,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,135,200,13500,0.052044515814163465,0.0652894171282203,0.04127923441557761,0.5241478713782184,0.17250402426287947,0.3574919062016899,0.09710457341079312,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,92.8454068982658,0.004910052268018854,0.7015656453964187,0.2998529732803975,0.5021801909502608,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,135,200,13500,0.018644677059936835,0.02349080618131784,0.015372500426271661,0.38188982286780404,0.11654934929857919,0.18001491839282407,0.036695151992857236,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2314.0,0.0,1000.0,1000.0,4.0,0.97,1.35,0.343,3.384,1.0,0.19288844239183356,0.1921273764692371,1.0,0.2156629629629628,0.2148148148148148,1.0,0.10935296273952799,1.0,0.10963888888888884
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,135,200,13500,0.2438999959533334,0.3140471040640527,0.22730740336074082,3.757155806477117,0.3296242695498747,0.4136641635694721,0.14558333333333337,0.014814814814814815,0.82,0.8,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,135,200,13500,0.12619982680186123,0.15963636304141993,0.11243098153367571,0.5111512973477567,0.1512491948642037,0.02364693986772469,0.0010006707407320327,0.014814814814814815,0.82,0.8,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
