benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,random_uniform,Avg,0.2676962119715133,0.017098703279403063,0.33103050218821084,0.014779401624533898,0.2527784341937355,0.017084551760021226,4.33370133227377,0.37671340079198223,0.34113793935032893,0.010062093406957748,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,random_uniform,BayPIRE,0.02988345117712332,0.01264583295285037,0.034723997311802694,0.012341558500689728,0.027218319601717212,0.014233927338454019,0.37093540762663346,0.013150591049135704,0.11108598297116215,0.005896871039432521,1.0,0.9949999999999999,0.012692955176439868,0.21295317019975926,0.027508541641584318,0.21309472329843931,0.028486353964497856,1.0,0.0,0.2332709259259258,0.025943705603194752,0.23335185185185187,0.02753120328640208,0.9,0.31622776601683794,0.11093282795248798,0.0054638862462263686,0.9,0.31622776601683794,0.11036499999999996,0.005734105846579534
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,random_uniform,Bayes-MAP,0.06461303411022694,0.010068370624433921,0.07974776222074996,0.009025313793159564,0.05013093338119699,0.011877924765976492,0.527947851074263,0.008664063311490488,0.17406763153349208,0.004822895128181514,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,200.0,random_uniform,PE-Rasch,0.12143520776316936,0.011371541843378479,0.16029902376878397,0.012939531066798878,0.10571934364067373,0.011530026985896993,0.5087627858458056,0.03441660887545598,0.14920999034519053,0.007853219831586346,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,400.0,random_uniform,Avg,0.21431223014473305,0.016908885876811174,0.26697066750015663,0.017383422147009747,0.19929963755214047,0.015957855341056006,2.74809335635302,0.30315272548334843,0.30377887422628513,0.009338614474688664,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,400.0,random_uniform,BayPIRE,0.01916054670170165,0.00377566714225108,0.02341789741146818,0.004412963155924058,0.015220854056961294,0.004738980221606251,0.25958325435507124,0.011298449196041224,0.07291775345022626,0.005021587821460885,1.0,0.992,0.012292725943057194,0.13205160595321513,0.008116616342944222,0.13188306238463599,0.007916643496542494,1.0,0.0,0.1569779629629629,0.007026825949303879,0.1577777777777778,0.007027283689263077,1.0,0.0,0.06563991719231663,0.0015889818767112378,1.0,0.0,0.06677185185185185,0.0015654658835003556
mmlu:anatomy,meta_llama_llama_3_8b_instruct,400.0,random_uniform,Bayes-MAP,0.06383473042740842,0.005756439278835781,0.07840238350562163,0.005360534531762588,0.04873090772540729,0.006192074709150192,0.4480637062625676,0.005622556940665638,0.13955648827681624,0.003191238258291368,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,400.0,random_uniform,PE-Rasch,0.09160072633103875,0.007133957348792653,0.13011404228199816,0.007669125365746917,0.07555027508756745,0.0071594389503631195,0.4243137857760395,0.03641486134240277,0.1132924532343175,0.007992583239715648,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,800.0,random_uniform,Avg,0.14535856302162142,0.008669086190270297,0.18502206038485125,0.010246126874515628,0.1305577360707945,0.00872158130423768,1.1804788470244145,0.10658089018982686,0.2665619361194466,0.0041761566791935645,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,meta_llama_llama_3_8b_instruct,800.0,random_uniform,BayPIRE,0.01682929760381314,0.0007334677846335316,0.02080157856335186,0.0009423764794445476,0.01237802945348746,0.0014434502738729013,0.19005342714826293,0.008456692839602055,0.054154528526826104,0.002839887439389643,1.0,0.938,0.04638007234913621,0.08240016555884849,0.009778951607922201,0.08245524716971955,0.009811597508861373,0.998,0.0063245553203367545,0.11034518518518517,0.007887211572299904,0.11037037037037041,0.007366140192679648,1.0,0.0,0.035566913675200526,0.0015284151720814949,1.0,0.0,0.036003703703703704,0.0015239119315317272
