experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0182143809192856,0.0049099050793846,0.3055341431137216,0.0798099455700971,0.011116136136425,1.0,1.0,0.2666050783765901,1.0,0.0923431828675527,1.0,0.2818054276315788,1.0,0.0926123355263157
balanced,200.0,Bayes-MAP,0.0721785021549526,0.0039975261425251,0.4992058254807163,0.1626541261803417,0.061105957127338,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1280715069743176,0.016152389046419,0.3659826227463379,0.1061607915527387,0.1171555446542588,1.0,,,,,,,,
balanced,200.0,Avg,0.2996052573651315,0.0119803492928218,4.475255394107645,0.3306566621185333,0.2887631521019737,,,,,,,,,
balanced,400.0,BayPIRE,0.0152188159282098,0.0043204623304717,0.1826105958489974,0.044456262205501,0.0128252294351634,1.0,0.989,0.1033107964766765,1.0,0.0484840098898167,1.0,0.126686019736842,1.0,0.0493478618421052
balanced,400.0,PE-Rasch,0.0580196392243022,0.0077894338690912,0.2500277291332738,0.0637543154846508,0.0459677380637942,1.0,,,,,,,,
balanced,400.0,Bayes-MAP,0.0606923184882441,0.0058612985377846,0.4064414879337665,0.1213257371846511,0.0495015397927263,1.0,,,,,,,,
balanced,400.0,Avg,0.183618419173421,0.0167828644232087,1.7550936089228877,0.2688699311443243,0.1734210507523684,,,,,,,,,
balanced,800.0,BayPIRE,0.0136626810742814,0.0017138455680755,0.1465267085482089,0.0381813779887646,0.0104203778078324,1.0,0.957,0.0697761914462374,1.0,0.0285627098502665,0.997,0.0944256578947367,1.0,0.0292014802631579
balanced,800.0,PE-Rasch,0.0480371415476482,0.0041941716009506,0.2321553007783729,0.0569841078912215,0.037116113936808,1.0,,,,,,,,
balanced,800.0,Bayes-MAP,0.0493509836828804,0.0040021072900709,0.3163471374439757,0.0849507752498139,0.0384881134494824,1.0,,,,,,,,
balanced,800.0,Avg,0.135315789,0.0089277712101195,0.96206520055883,0.2465312496656944,0.1248421047894736,,,,,,,,,
balanced,1600.0,BayPIRE,0.0124263507640817,0.0006215427383929,0.1250825981879559,0.0345810032091992,0.0087742263284614,0.7,0.8240000000000001,0.0440067309926008,0.9,0.0169122688730953,0.99,0.0715595394736841,0.9,0.0179689144736841
balanced,1600.0,Bayes-MAP,0.0325340879988985,0.0029335819605955,0.2353677449541019,0.0561569857409613,0.0218719621308495,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0360340842616554,0.004518484342821,0.1815281882557431,0.0470102104658266,0.0256735247772178,1.0,,,,,,,,
balanced,1600.0,Avg,0.0912763157805263,0.0063140721623388,0.6712486161143112,0.2323322610223529,0.0800131578857894,,,,,,,,,
random,200.0,BayPIRE,0.0202438396939475,0.0113467971231771,0.3464591682176468,0.1015335724104991,0.016807073232995,1.0,1.0,0.20992957121132,1.0,0.1100905134262277,1.0,0.2275777960526314,1.0,0.1102513157894736
random,200.0,Bayes-MAP,0.061200908932649,0.0099703075590019,0.5099269110750676,0.1667300124296547,0.0507943600792526,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1148870013799611,0.015427821963233,0.4270899583050568,0.1302172218098432,0.1037699786817764,1.0,,,,,,,,
random,200.0,Avg,0.2622240174439567,0.0200429318583911,4.140370495894601,0.3248648225992723,0.2508271753386936,,,,,,,,,
random,400.0,BayPIRE,0.0166256134280839,0.0043797288571104,0.2326740973065403,0.0628830973894142,0.0139574719997262,1.0,0.999,0.1178586513829192,1.0,0.0640254790903672,1.0,0.1397192434210525,1.0,0.0648120065789474
random,400.0,Bayes-MAP,0.060041726923824,0.0051856767057053,0.4314018690983253,0.13320038395084,0.0482847070398525,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0734392162433523,0.0119402953151894,0.3304969135116268,0.0884311077309983,0.0611259693999746,1.0,,,,,,,,
random,400.0,Avg,0.211272405269974,0.0135335037278702,2.6978981098834893,0.2926485849917148,0.1992529315857635,,,,,,,,,
random,800.0,BayPIRE,0.0136471537541484,0.0017558749025723,0.1531015223269431,0.0391861416277691,0.0108231251629294,0.9,0.934,0.0655321646483823,1.0,0.0337942032467955,0.999,0.0920090460526315,1.0,0.0344504934210525
random,800.0,Bayes-MAP,0.0486039963365175,0.0053392461718873,0.3289577959090707,0.0904643245207009,0.0370275342756287,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0493693332861897,0.0053670271467257,0.2342512493677205,0.0578415892539137,0.037594432074863,1.0,,,,,,,,
random,800.0,Avg,0.1377849908649877,0.0156372019844352,1.1107302118146642,0.2497212176770976,0.1260687627948123,,,,,,,,,
random,1600.0,BayPIRE,0.0121858888602535,0.0013935681331123,0.1246582672912077,0.0345927155277587,0.0089068893710933,0.5,0.836,0.0446589087849233,1.0,0.0188520507660938,0.992,0.0729504934210525,1.0,0.0198442434210526
random,1600.0,Bayes-MAP,0.0326681008202431,0.0030082500285044,0.2419808066825291,0.0588854837401325,0.0222149421855516,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0362681338106417,0.0022522690553911,0.1761095942713678,0.047340991182347,0.026077047265479,1.0,,,,,,,,
random,1600.0,Avg,0.0909574087346175,0.0109507515957398,0.6892500460322135,0.2327396224640172,0.0801721609998961,,,,,,,,,
