benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,152,200,15200,0.2561892180155388,0.3299141299632257,0.24551377941904762,4.200911140457211,0.3278960228268118,0.3628081515289224,0.12765476190476194,0.013157894736842105,0.84,0.75,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,152,200,15200,0.11383885246512718,0.16235773741681025,0.10480355443230432,0.4671485394373895,0.14147720813876843,0.020187252558054838,0.0006398177388450424,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,152,200,15200,0.05408635427095997,0.06786487509745742,0.043601828929807386,0.5090207233056794,0.16602434536498137,0.3463257242496528,0.09441380582872068,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,90.16367934937965,0.002896060485496307,0.8322935924791524,0.3254689407205987,0.455358063573988,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,152,200,15200,0.013219768029444374,0.01671509392361889,0.008746691694468917,0.3542253666844716,0.10554366162086148,0.1678793159744287,0.03217648327093461,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2167.0,0.0,1000.0,1000.0,4.0,0.97,1.836,0.368,3.459,1.0,0.19359592793474018,0.19381780266451537,1.0,0.21173026315789464,0.21052631578947378,1.0,0.10450156658905929,1.0,0.10448190789473699
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,152,200,15200,0.27596490664780704,0.33658268994462015,0.2655701698057017,4.529749455961837,0.3326741435428149,0.30733242928520166,0.10708333333333338,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,152,200,15200,0.13003502615885124,0.16238607001861843,0.11967722119464973,0.47223691604514223,0.14583407664355777,0.02350246576961948,0.001251107365851496,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,152,200,15200,0.0736162818357585,0.08564496953000791,0.06643681963875919,0.5282838493944908,0.17626481335816813,0.32610497126993515,0.08953305258910094,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,84.72498119741762,0.0016897209111525534,1.0938273193802892,0.33660796246870806,0.4290045982184119,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,152,200,15200,0.04969561042269606,0.05237890216370515,0.04969561042269606,0.3854157223256972,0.11965108956908702,0.19093454770762466,0.042312777755364524,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1759.0,0.0,1000.0,1000.0,4.0,0.97,2.268,0.431,3.06,1.0,0.2188826299171827,0.21883450245222263,1.0,0.2353700657894736,0.23684210526315785,1.0,0.11062678826012484,1.0,0.1089588815789474
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,152,200,15200,0.23602631134078947,0.2951212589410777,0.22613332888464913,3.5027610997229193,0.3057702425352593,0.3849315009695398,0.13433333333333336,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,152,200,15200,0.1004922717426653,0.12997264490856134,0.09174154858023889,0.36812620676794205,0.10901556449443077,0.020578285975722057,0.0006343830913129743,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
