benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.2860999946100001,0.31858907057813535,0.27209999461,4.251686319486863,0.3263775467428571,0.31191623675197544,0.11250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.08603718561761044,0.12641907804988292,0.07126648696147783,0.3536012811969963,0.09565810978738519,0.021443582462213794,0.000789629392529168,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06280467837113583,0.0767150967413019,0.04795838940876497,0.4694453449339235,0.14930076634990266,0.34197184013355125,0.09236108565570175,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,89.61338828450447,0.0028591367588958524,0.8778994679811072,0.3564175019329833,0.549211835092827,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.019417847456445068,0.025677542859672175,0.01706000068349256,0.2819986112555787,0.07635299166522226,0.17536228485709868,0.03591461817009479,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1840.0,0.0,1000.0,1000.0,4.0,0.97,1.943,0.376,3.425,1.0,0.18003471453969022,0.18064941192675948,1.0,0.20862000000000003,0.21000000000000008,1.0,0.08147980307503677,1.0,0.0811099999999999
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.297699994316,0.3333151595062548,0.28369999431600007,4.55231398654762,0.33632652598571433,0.291121821635177,0.10500000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.07417181514797926,0.11002785893114451,0.05796877757685987,0.2940764663087398,0.07729497294329787,0.019944791354095662,0.000686750500019159,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06688947344307453,0.0784446034674005,0.05050029589448222,0.45945539762881765,0.14486857863725422,0.33438616960905265,0.0886925790117339,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,88.74034364502646,0.0006328526656293989,0.8571674324148574,0.3646577951773017,0.5556110840218362,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.01781641644877509,0.023178502182460686,0.01497657104058979,0.2453781009424966,0.06262688393363022,0.15039202157560927,0.027224766458934502,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2481.0,0.0,1000.0,1000.0,4.0,0.97,2.03,0.367,3.704,1.0,0.16335248417652096,0.16356054073283893,1.0,0.19241999999999998,0.19000000000000006,1.0,0.0779123681539805,1.0,0.07691749999999986
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.30669999451200003,0.3482800531967918,0.2908999945120001,4.663919317606203,0.34663264832857144,0.30498476504637595,0.11000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.0892249782209532,0.12272866424315663,0.07159978436652345,0.3580478284932063,0.09039369043340545,0.018719707121277164,0.0005224388980810736,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
