experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0209968190801446,0.0049345574723671,0.2577312437832847,0.0669609573380284,0.0167221135341074,1.0,0.996,0.1762726691056924,1.0,0.0783429660133375,1.0,0.2041587499999999,1.0,0.0787302499999999
balanced,200.0,Bayes-MAP,0.0683425529144789,0.0038812160694138,0.462724965109606,0.1454489179256755,0.0528521793318243,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0886983477682633,0.0139483227035497,0.3386587769646397,0.0901508954696102,0.0727373470695144,1.0,,,,,,,,
balanced,200.0,Avg,0.2964999945218,0.0086476713528363,4.475894470279496,0.3366377505742857,0.2817399945218001,,,,,,,,,
balanced,400.0,BayPIRE,0.0206140575536264,0.0062171212251477,0.1951647244118429,0.051855989269065,0.0172332637731758,1.0,0.924,0.0981176746184057,0.9,0.0457022595891029,0.989,0.1318167499999999,0.9,0.04663575
balanced,400.0,Bayes-MAP,0.0556671328801613,0.0051097442834911,0.3681441417489943,0.1048549038676613,0.0399044210955814,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0588601612025496,0.0053957460110156,0.3063111766204033,0.075216570082034,0.0443358464973019,1.0,,,,,,,,
balanced,400.0,Avg,0.1884399981375999,0.0124629403571188,1.8520109575356811,0.2754843736097917,0.1740199981376,,,,,,,,,
balanced,800.0,BayPIRE,0.0172933660940982,0.0009898508694337,0.1623632709369448,0.0446838663912713,0.0119641953569512,1.0,0.86,0.0697073026267096,1.0,0.0283173444060967,0.988,0.1067027499999999,1.0,0.029612
balanced,800.0,Bayes-MAP,0.0440507823663546,0.0038071796788495,0.2867789446049022,0.0744637628601317,0.0277123158720219,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0549824762125476,0.0057717762738528,0.27190094546015,0.067556613936531,0.0396961959738887,1.0,,,,,,,,
balanced,800.0,Avg,0.133224999632,0.0067684828589245,0.9324083079405968,0.2517547551519565,0.119124999632,,,,,,,,,
balanced,1600.0,BayPIRE,0.01592625802115,0.000797753137256,0.1508208078282397,0.0431532327486135,0.0101596333554413,1.0,0.75,0.0484131973560088,1.0,0.0173355588264976,0.978,0.0881999999999999,1.0,0.0189914999999999
balanced,1600.0,Bayes-MAP,0.0299014501304657,0.0018769914083806,0.2248790154454924,0.0554776379465088,0.0152036740700736,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0389860414707207,0.0027001344128253,0.2088734923672137,0.0556487531553962,0.025930907772886,1.0,,,,,,,,
balanced,1600.0,Avg,0.08503,0.0055133020958405,0.6720075733804107,0.2362261904761904,0.070505,,,,,,,,,
random,200.0,BayPIRE,0.0260429348916232,0.0088302103824981,0.3024565879987441,0.0850488471732138,0.0222801131852947,1.0,0.999,0.2000323330832,1.0,0.1057597687912383,1.0,0.2272112499999999,1.0,0.1057542499999999
random,200.0,Bayes-MAP,0.0614019808599456,0.0071601514819066,0.4777769805191483,0.1516642507642365,0.0456176167809192,1.0,,,,,,,,
random,200.0,PE-Rasch,0.0990415867810829,0.009818447767049,0.4052591778779552,0.1152538701675436,0.0830815384549071,1.0,,,,,,,,
random,200.0,Avg,0.2752933282292333,0.0183353113914889,4.412911304055848,0.3401110329827211,0.2596699948959,,,,,,,,,
random,400.0,BayPIRE,0.0199185673227948,0.0052351717874098,0.2194433720829459,0.0593486808625642,0.0162396006073185,1.0,0.967,0.1153794491338124,0.9,0.0595309280821175,0.996,0.1473504999999999,0.9,0.0596177499999999
random,400.0,Bayes-MAP,0.0547511724077097,0.003647164283672,0.3903467519782466,0.1157321274408802,0.0390214846848258,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0667081263471048,0.0088627540866245,0.3389795610712983,0.0847815646332763,0.0512346519657243,1.0,,,,,,,,
random,400.0,Avg,0.2054406465103493,0.01801546445005,2.581338165987645,0.2918588167972699,0.188827313177016,,,,,,,,,
random,800.0,BayPIRE,0.0172685254351274,0.0012950424294469,0.1674867067506765,0.0462285889519833,0.0128611954508778,1.0,0.866,0.0704642888687557,1.0,0.0315642098127736,0.986,0.1071447499999999,1.0,0.0328529999999998
random,800.0,Bayes-MAP,0.0437046871642108,0.0044673952806692,0.296512783221544,0.0791683315379379,0.0284389638908421,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0533111789446413,0.004670047419002,0.2835994578829418,0.0681546033703241,0.0378087033935371,1.0,,,,,,,,
random,800.0,Avg,0.134529974102341,0.0132190028988221,1.1349429059944622,0.2544601099797506,0.1191577763001432,,,,,,,,,
random,1600.0,BayPIRE,0.0161042381368898,0.001070707319292,0.1515540279044856,0.0431817841781322,0.0095848098824559,1.0,0.786,0.0541429911382857,0.9,0.0184022853037972,0.979,0.0925027499999999,0.9,0.01998325
random,1600.0,Bayes-MAP,0.0302740827098061,0.0020386384907827,0.2297849557695883,0.0572522791613476,0.0165648336825862,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0396692500342246,0.0020630791008706,0.2120828028838469,0.0572310515961392,0.0272030636454169,1.0,,,,,,,,
random,1600.0,Avg,0.0867597893477494,0.0059283255766145,0.6867764858794525,0.2372661629071186,0.0728940937502164,,,,,,,,,
