benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,100,200,10000,0.24603332861033336,0.3176280083331689,0.23003332861033335,4.051624090104883,0.32522641321315193,0.3943581417592014,0.13833333333333336,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.08281211373161831,0.1277771839830562,0.06790065969626842,0.39970004961523325,0.11448161655829357,0.02025213305659037,0.0009741998375577102,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.049384454487592676,0.06130016346713138,0.031245503704588486,0.4682459180174488,0.1472806472305304,0.3210807554958859,0.08264783716482782,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,86.87831315055618,0.0057171098664931756,0.7605600076037482,0.29267558752919387,0.6100511900645981,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.016990013930953504,0.021850476187482516,0.014128447518167714,0.3018320738917591,0.08768386330792184,0.1380827579241043,0.02626612210178405,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2576.0,0.0,1000.0,1000.0,4.0,0.97,1.993,0.335,3.744,1.0,0.16524729929352616,0.16499497548432784,1.0,0.19472999999999996,0.19512499999999977,1.0,0.10514185718416691,1.0,0.10460249999999993
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,100,200,10000,0.25183332910333334,0.31070474897446365,0.23649999577000003,3.6539396117707863,0.3205681370548753,0.4227762433220188,0.14908333333333337,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.09615303730817235,0.1293599589244752,0.08144889178103241,0.4016140060948369,0.11288422847777638,0.01994562533137555,0.0007488390314841068,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.05820326826295807,0.07374536358639998,0.04139491389621331,0.47318052692987106,0.14873735158876802,0.33104102404403163,0.08548503300440004,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,89.28051918094701,0.0006880723834801314,0.6408347578166343,0.2935669998080582,0.6163811949381252,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.03435159153344697,0.039702986435229855,0.03318934910623459,0.30088190947334387,0.08465768750607582,0.14616039799868638,0.027750413397487943,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2274.0,0.0,1000.0,1000.0,4.0,0.97,1.552,0.358,3.717,1.0,0.1810327504978054,0.18105696152661155,1.0,0.20882249999999988,0.20999999999999996,1.0,0.10903756407421361,1.0,0.10820999999999992
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,100,200,10000,0.264399994797,0.32970963011908605,0.2502666614636667,4.388229346589776,0.3337494286861678,0.32093879062785646,0.11175000000000004,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.11208398754281416,0.15508790034276662,0.09584807836348067,0.41164850213709836,0.11834699375266161,0.01946124833171067,0.0007306682928833726,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
