benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,265,200,26500,0.2918679190698113,0.32311809069913405,0.2822075417113207,3.904299182276966,0.3075190075064639,0.3119162367519754,0.11250000000000003,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,265,200,26500,0.17254510589740188,0.2069474697179637,0.16303567193513777,0.5336523899870891,0.16251908456831268,0.023553478640535967,0.0006513931721972878,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,265,200,26500,0.07620969600887932,0.08956585572532907,0.06654931865038877,0.5269025555474567,0.173807829658755,0.3890358733956192,0.11233522197782392,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,96.70017768857912,0.0006656498928858922,0.8446506024181436,0.3933677833499315,0.29172243725233055,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,265,200,26500,0.035567371341283065,0.044048613992422686,0.03447873057912804,0.516035144366165,0.16764528367441395,0.45751400653568547,0.14204520074216995,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.02,302.0,0.0,1000.0,1000.0,4.0,0.97,1.004,0.457,0.981,1.0,0.38213984946724616,0.37647452156347355,1.0,0.39258301886792446,0.38877358490566005,1.0,0.1177656888673666,1.0,0.11970660377358477
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,265,200,26500,0.28735848441283013,0.31172014897455097,0.27739622026188676,4.046289342553492,0.3003612126228137,0.26339593481277923,0.09500000000000003,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,265,200,26500,0.16716758404166465,0.1960773781605806,0.15720531989072128,0.5179657558825105,0.1575227141616817,0.02185798038181925,0.0005548009119465768,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,265,200,26500,0.07114145284403475,0.08132427374132133,0.06117918869309136,0.529279560254018,0.17636196468093723,0.3538427630955169,0.10166452970294518,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,88.54208400567876,0.0018765741486872095,1.1340747540534122,0.3920258731239785,0.2775182113401286,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,265,200,26500,0.03140526532422883,0.0375967443140646,0.023873172945372684,0.523335552352066,0.1733853377504763,0.4207591159586481,0.12974640057451534,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,345.0,0.0,1000.0,1000.0,4.0,0.97,1.345,0.541,0.922,1.0,0.3967879998191735,0.3769437749423428,1.0,0.40661792452830176,0.3886792452830189,1.0,0.10762539943376548,1.0,0.1087198113207547
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,265,200,26500,0.2893962208573584,0.3181011150863978,0.2783018812347169,3.884059994420066,0.3042965740608365,0.30498476504637595,0.11000000000000004,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,265,200,26500,0.16985300624351024,0.20166014646501143,0.15875866662086868,0.5227703827593493,0.15941659837674974,0.02305306591626225,0.0006104848671522416,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Bayes-MAP,100,265,200,26500,0.07412695492892148,0.08466410998594137,0.06303261530627999,0.5263374738098933,0.1739438947022332,0.3817170008507604,0.11028686873906673,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,94.89109377806531,0.0006896331998201321,0.9199644435035471,0.3897442015971264,0.28905038728690574,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,BayPIRE,100,265,200,26500,0.026615661899290897,0.0346415961780353,0.019815383822720085,0.5141114086069273,0.1673925936728565,0.4465175396017894,0.1380833168544767,0.007547169811320755,1.0,0.7547169811320755,False,2,2,0,1,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,294.0,0.0,1000.0,1000.0,4.0,0.97,1.101,0.463,1.001,1.0,0.3779156214891838,0.3727375278494479,1.0,0.38899716981132065,0.38117924528301883,1.0,0.1160273000884523,1.0,0.11542452830188688
