benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Avg,0.284049050807849,0.010316229939877996,0.3083087771910053,0.016189987187807366,0.2739811262795471,0.010406328748466214,3.869315558778081,0.26488712118441504,0.2983992356557415,0.010037593658052704,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,BayPIRE,0.02949941979029542,0.007133604418511486,0.03546589760072264,0.00851323037163981,0.02296551173570472,0.009238379945090842,0.5178666822996977,0.0057223612777590055,0.1702815389572302,0.0029540212041731344,1.0,1.0,0.0,0.3678183363076111,0.05707063824278626,0.3573166088074117,0.05004081657005911,1.0,0.0,0.37812971698113196,0.0557487193779725,0.3674150943396225,0.049914431744939584,1.0,0.0,0.11240035089647518,0.0038311202539655334,1.0,0.0,0.11250575471698117,0.003955899636575018
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Bayes-MAP,0.07070837273254096,0.003913464539985209,0.08131387909330914,0.004905541485712629,0.06063090829362414,0.003904756394204015,0.5273889648572596,0.003794664681120245,0.1750259236915247,0.0019641323976514634,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,PE-Rasch,0.16297761490853976,0.011867901653877402,0.19117450239311257,0.017854146032791514,0.15293233188967187,0.011919596170687646,0.513387318240997,0.023066573550556663,0.1538978451466967,0.009667343816297079,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Avg,0.17351792187890563,0.01701797164725981,0.21882028563471084,0.016795557549459914,0.1648273558411698,0.016914529959300234,1.9328195863291853,0.320921547486284,0.25124496969547894,0.007647286115493623,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,BayPIRE,0.014382150406083991,0.003065581240474562,0.0175093317184883,0.003290451182578654,0.01155452973359978,0.00400209508494262,0.23486965375578225,0.013445570626512455,0.057959582599195016,0.004839022314161453,1.0,1.0,0.0,0.13958309765409363,0.02384815965999438,0.1391338535835917,0.02357554249746612,1.0,0.0,0.15150396226415094,0.02234312713672846,0.15169811320754725,0.022275163392381035,1.0,0.0,0.05457352147108824,0.0026765413868374147,1.0,0.0,0.054858962264151066,0.002616472589226482
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Bayes-MAP,0.0655813663342025,0.00757169192712101,0.08064398878196037,0.0073560350285594,0.05588559730750573,0.008202456758212703,0.45851864120620334,0.00963004413222496,0.14595276993208373,0.005048471778925537,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,PE-Rasch,0.07221524065512018,0.01497991518589061,0.10272559014667378,0.021579623448221136,0.06184815912833998,0.014913999516191783,0.28883135847597335,0.04244436888554533,0.07429723090915545,0.01355445403134602,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,Avg,0.12302594284343397,0.008886688164067052,0.15363932095407346,0.0118169304792316,0.11360141454154718,0.008558692184522817,0.9141204340134715,0.0701522964830882,0.226838946654786,0.0038387027593864446,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,BayPIRE,0.01163474969948711,0.0016203049085021614,0.014400765278964786,0.0017969873034340217,0.00968873441073969,0.00192849285918594,0.15995765123143138,0.004991612565989455,0.039984547564577325,0.0012202622600612923,0.6,0.9650000000000001,0.0324037034920393,0.0629409463881492,0.004159799888927226,0.0628954720189534,0.004083335028678198,0.992,0.009189365834726801,0.07974094339622646,0.0037476176840023196,0.07963207547169818,0.004142465613606823,1.0,0.0,0.029113595492667642,0.001207933553769172,1.0,0.0,0.0297006603773584,0.001273005773288143
