experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0294994197902954,0.0071336044185114,0.5178666822996977,0.1702815389572302,0.0229655117357047,1.0,1.0,0.3678183363076111,1.0,0.1124003508964751,1.0,0.3781297169811319,1.0,0.1125057547169811
balanced,200.0,Bayes-MAP,0.0707083727325409,0.0039134645399852,0.5273889648572596,0.1750259236915247,0.0606309082936241,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1629776149085397,0.0118679016538774,0.513387318240997,0.1538978451466967,0.1529323318896718,1.0,,,,,,,,
balanced,200.0,Avg,0.284049050807849,0.0103162299398779,3.869315558778081,0.2983992356557415,0.2739811262795471,,,,,,,,,
balanced,400.0,BayPIRE,0.0143821504060839,0.0030655812404745,0.2348696537557822,0.057959582599195,0.0115545297335997,1.0,1.0,0.1395830976540936,1.0,0.0545735214710882,1.0,0.1515039622641509,1.0,0.054858962264151
balanced,400.0,Bayes-MAP,0.0655813663342025,0.007571691927121,0.4585186412062033,0.1459527699320837,0.0558855973075057,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0722152406551201,0.0149799151858906,0.2888313584759733,0.0742972309091554,0.0618481591283399,1.0,,,,,,,,
balanced,400.0,Avg,0.1735179218789056,0.0170179716472598,1.9328195863291853,0.2512449696954789,0.1648273558411698,,,,,,,,,
balanced,800.0,BayPIRE,0.0116347496994871,0.0016203049085021,0.1599576512314313,0.0399845475645773,0.0096887344107396,0.6,0.965,0.0629409463881492,1.0,0.0291135954926676,0.992,0.0797409433962264,1.0,0.0297006603773584
balanced,800.0,PE-Rasch,0.0455075380582551,0.0044516373366866,0.2301066279318813,0.0561620976743737,0.0351306837687473,1.0,,,,,,,,
balanced,800.0,Bayes-MAP,0.0534222919513028,0.0034270422037977,0.364976360214193,0.1062619010790886,0.0434349751608318,1.0,,,,,,,,
balanced,800.0,Avg,0.1230259428434339,0.008886688164067,0.9141204340134716,0.226838946654786,0.1136014145415471,,,,,,,,,
balanced,1600.0,BayPIRE,0.0106432605693778,0.0008638800796714,0.1283030064646949,0.0345653750960638,0.0083956806113609,0.1,0.891,0.0456579132899436,1.0,0.0176561211946809,0.983,0.0631052830188679,1.0,0.0181462264150942
balanced,1600.0,PE-Rasch,0.0358028729772439,0.0036198464898764,0.1799743083114638,0.0456816148008864,0.0271324969317263,1.0,,,,,,,,
balanced,1600.0,Bayes-MAP,0.0376114719469694,0.0028196152999159,0.2757640979587236,0.0707832474330701,0.0282380814488435,1.0,,,,,,,,
balanced,1600.0,Avg,0.0887561320190943,0.00647183928289,0.6580206837574946,0.2151396523237751,0.0799226414530566,,,,,,,,,
random,200.0,BayPIRE,0.0160511901211361,0.0063552540736514,0.4329300128721485,0.1352500081111172,0.0108959117908508,1.0,1.0,0.2515123696325455,1.0,0.115810475416408,1.0,0.2605676415094339,1.0,0.1165304716981132
random,200.0,Bayes-MAP,0.0589570407846185,0.004725925694174,0.5330265299158736,0.176669090389952,0.0489770103169948,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1587092414905091,0.0156793338716997,0.5756262683978891,0.1795872448220705,0.1487365588873464,1.0,,,,,,,,
random,200.0,Avg,0.256454648774088,0.0255721365650322,3.9721902211039497,0.3073778376347954,0.2463418455395866,,,,,,,,,
random,400.0,BayPIRE,0.0137308857488313,0.0038089939847959,0.2962464238526431,0.0846405994626094,0.0108206942109104,1.0,0.999,0.1387201357447378,1.0,0.0718571197568509,0.999,0.1504872641509434,1.0,0.0724114150943396
random,400.0,Bayes-MAP,0.0619737483954456,0.0021929754740377,0.4737607211032257,0.1521164128289371,0.0521980785866448,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0952777028397623,0.0105228032850534,0.3965101692826282,0.1136589282539239,0.0859147159618105,1.0,,,,,,,,
random,400.0,Avg,0.2090017103559874,0.0114719532191159,2.6670320444052513,0.2733365177550872,0.1993045270675777,,,,,,,,,
random,800.0,BayPIRE,0.0125977116246892,0.0025569001036442,0.1903357527133617,0.0501800220321619,0.0104042004791071,0.9,0.984,0.0777920203365718,1.0,0.041221980639941,0.996,0.0933662264150943,1.0,0.0415882075471698
random,800.0,Bayes-MAP,0.0510237699179618,0.0050059658133708,0.3849425013931798,0.1152092325841646,0.0414806148360254,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0607625462296659,0.0074914232902718,0.2791393731930855,0.0716813439540207,0.0504773304376016,1.0,,,,,,,,
random,800.0,Avg,0.1265617442671813,0.0123633744146913,1.0871598029285283,0.2294834619425543,0.1168372121954794,,,,,,,,,
random,1600.0,BayPIRE,0.0106924458118541,0.0005703283504369,0.1315933006835488,0.0350224416266703,0.0078691806061558,0.0,0.919,0.0482462848606296,1.0,0.0215588342304781,0.983,0.0658204716981132,1.0,0.0220512264150943
random,1600.0,Bayes-MAP,0.039159899742558,0.0035457731210724,0.2889972097304641,0.0768645157087655,0.0290524177663446,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0405233545335138,0.0053571385085487,0.1889287751086244,0.0486179473731096,0.0304113523732105,1.0,,,,,,,,
random,1600.0,Avg,0.0887643168141274,0.0072177234372766,0.66014059435746,0.2154821366707604,0.0791585761949514,,,,,,,,,
