benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,265,200,26500,0.26508710175333333,0.3280566056292223,0.25579087533823897,3.9074988585830845,0.3107257116792565,0.3353728770447144,0.1169166666666667,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,265,200,26500,0.1645660594915633,0.2079827278933666,0.15533918291057155,0.5944424697606425,0.18552155045744506,0.02043558729839542,0.0005502639115812179,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,265,200,26500,0.059721605726175554,0.07584679179183701,0.05008595666828437,0.5353544394250686,0.17741971425554542,0.3514275072345051,0.09741997403449862,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,90.32236753901992,0.0017325793415355283,0.9232163054084069,0.3631894035586785,0.31988980360262587,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,265,200,26500,0.01898552370853591,0.022359491429721483,0.013649951672371265,0.43589294611427415,0.13694109180585362,0.20965044993219834,0.043404287299501354,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1051.0,0.0,1000.0,1000.0,4.0,0.97,1.889,0.529,2.877,1.0,0.2843095404877968,0.2825592299584271,1.0,0.29220283018867915,0.29066037735849015,1.0,0.11495252025002567,1.0,0.1156471698113205
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,265,200,26500,0.24834339086603768,0.3096853372992316,0.23807923992264146,3.842343386824151,0.29900920718326995,0.30106162596192687,0.10525000000000005,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,265,200,26500,0.15601073103363436,0.20185677517816147,0.14627788933626568,0.5672782116419263,0.17765407833258906,0.019419799015403267,0.000499529208109084,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,265,200,26500,0.061956591037469276,0.0743915072139143,0.05242223706772531,0.5347222393696828,0.17778799354002173,0.3320902185381616,0.09252119891815798,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,85.33028257105352,0.0014890572012999476,1.0850969054782116,0.3593896678544661,0.3079597162284254,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,265,200,26500,0.013554868052020979,0.0169083405582364,0.0030667294253579553,0.42828775420290033,0.13289288262478838,0.19950098145689674,0.04186623606615559,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1252.0,0.0,1000.0,1000.0,4.0,0.97,2.057,0.493,2.885,1.0,0.2672396979639531,0.2672625516501733,1.0,0.2755528301886792,0.2754716981132076,1.0,0.11402585630194173,1.0,0.11415849056603788
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,265,200,26500,0.22572609626062892,0.2931654731097118,0.21636760569459118,3.3094944509983257,0.28877927595462616,0.3726464763415344,0.1309166666666667,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,265,200,26500,0.1428093147136493,0.17218907919157822,0.13231408865893196,0.5462417346740607,0.16962300104134814,0.021082672239162905,0.0006285409449169827,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
