benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,random_uniform,Avg,0.256454648774088,0.02557213656503226,0.3221187432294377,0.023956170611033455,0.24634184553958663,0.02541752883352851,3.9721902211039493,0.4562660473448212,0.3073778376347954,0.01571806440926635,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,random_uniform,BayPIRE,0.0160511901211361,0.006355254073651498,0.01993046351259563,0.007506054023883558,0.010895911790850815,0.008155826521612902,0.4329300128721485,0.009315991252995183,0.13525000811111723,0.003762016133465786,1.0,1.0,0.0,0.25151236963254553,0.05060093013114062,0.2510629109808776,0.049946240001088535,1.0,0.0,0.2605676415094339,0.04913802715212109,0.2596745283018867,0.048881836984572075,1.0,0.0,0.11581047541640802,0.003052136538992648,1.0,0.0,0.11653047169811326,0.0032217495737024457
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,random_uniform,Bayes-MAP,0.0589570407846185,0.004725925694174006,0.07142823501923103,0.006837324359099127,0.04897701031699481,0.0045702989652030585,0.5330265299158736,0.0032562351672763648,0.176669090389952,0.0014925367538172498,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,200.0,random_uniform,PE-Rasch,0.1587092414905091,0.015679333871699768,0.200744203152389,0.019907995209928454,0.14873655888734644,0.015493569754564304,0.5756262683978891,0.032654869916017785,0.17958724482207059,0.009725313419411229,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,random_uniform,Avg,0.2090017103559874,0.01147195321911591,0.2638837477637142,0.014806341751389321,0.1993045270675777,0.011882978698555152,2.6670320444052513,0.2080876540807182,0.27333651775508727,0.008174143989156175,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,random_uniform,BayPIRE,0.013730885748831332,0.0038089939847959285,0.0167913056495023,0.003954481790999745,0.01082069421091043,0.0048230680983195875,0.2962464238526431,0.0108111378562005,0.08464059946260949,0.004734907206643765,1.0,0.999,0.0031622776601683716,0.1387201357447378,0.014272676423116788,0.13869409582595843,0.014364507939615046,0.999,0.0031622776601683716,0.1504872641509434,0.01330577132457599,0.15059433962264152,0.014016344496951997,1.0,0.0,0.0718571197568509,0.002706692378484373,1.0,0.0,0.07241141509433968,0.0028454997946799803
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,random_uniform,Bayes-MAP,0.06197374839544566,0.0021929754740377455,0.07627296505141605,0.0035962972099443623,0.052198078586644846,0.0021924156625155104,0.4737607211032257,0.004576129698631302,0.15211641282893715,0.002296081672558129,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,400.0,random_uniform,PE-Rasch,0.0952777028397623,0.010522803285053438,0.1357709158026,0.017213980669312075,0.08591471596181056,0.011435151619075554,0.3965101692826282,0.03257322556836108,0.11365892825392392,0.008386390245101853,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,random_uniform,Avg,0.12656174426718136,0.012363374414691358,0.1616353413027067,0.01528002514667623,0.11683721219547949,0.011815792577816345,1.0871598029285283,0.14501444061328878,0.22948346194255437,0.005280172398173008,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,random_uniform,BayPIRE,0.012597711624689204,0.0025569001036442546,0.01564664444262123,0.002522181520078454,0.010404200479107195,0.002900740673675549,0.19033575271336173,0.01127308544672094,0.05018002203216197,0.0048081216001782025,0.9,0.984,0.0107496769977314,0.07779202033657184,0.009758850246693394,0.07770127765524275,0.009824566725119662,0.9960000000000001,0.006992058987801025,0.09336622641509437,0.00797340192179966,0.09304245283018871,0.007450350209681762,1.0,0.0,0.04122198063994108,0.0013723364467998543,1.0,0.0,0.04158820754716983,0.0013826062582190538
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,random_uniform,Bayes-MAP,0.051023769917961835,0.005005965813370813,0.06315526106990386,0.005542942440245385,0.041480614836025484,0.005082545765684288,0.3849425013931798,0.008466992124204528,0.11520923258416467,0.004596202147363322,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,800.0,random_uniform,PE-Rasch,0.060762546229665995,0.00749142329027188,0.09073622385011079,0.010429272873201527,0.05047733043760168,0.008172417603040176,0.27913937319308557,0.02794998581126374,0.07168134395402072,0.006978333495634859,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,1600.0,random_uniform,Avg,0.08876431681412747,0.00721772343727665,0.11088430159276327,0.008950820089687238,0.07915857619495148,0.007999831117760217,0.66014059435746,0.037934799357370944,0.21548213667076044,0.0020774313508941976,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,1600.0,random_uniform,BayPIRE,0.010692445811854108,0.0005703283504369108,0.013506218616742066,0.0006507395467527303,0.007869180606155862,0.0007515524164604322,0.13159330068354883,0.003869648361256018,0.03502244162667032,0.0010241287938083667,0.0,0.9189999999999999,0.03784471194529328,0.04824628486062966,0.005830725172190764,0.04833487184521257,0.005845351786066566,0.983,0.01059349905471382,0.06582047169811325,0.004498116330435572,0.0664150943396227,0.004429387889725525,1.0,0.0,0.021558834230478163,0.00048637920419366875,1.0,0.0,0.022051226415094362,0.0005418769251713398
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,1600.0,random_uniform,Bayes-MAP,0.039159899742558076,0.003545773121072401,0.04862034344042914,0.004582109764819868,0.029052417766344624,0.0039016124169924653,0.2889972097304641,0.0033495964127457298,0.07686451570876554,0.0019517031032840486,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,meta_llama_llama_3_8b_instruct,1600.0,random_uniform,PE-Rasch,0.04052335453351384,0.005357138508548709,0.056543776632367836,0.007800622136890919,0.030411352373210538,0.005568053588876386,0.18892877510862446,0.008710454399007772,0.0486179473731096,0.0027048998426584484,1.0,,,,,,,,,,,,,,,,,,,,
