benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,144,200,14400,0.2531249935902778,0.2608034106424593,0.2346527713680556,3.1458045810989996,0.24510563065070426,0.24260151969598087,0.08750000000000008,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,144,200,14400,0.08548402668481626,0.10848916351829589,0.06742847112926069,0.25572260982024786,0.06600750545022667,0.019882492779668443,0.0005454484836084391,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,144,200,14400,0.06564286303835426,0.07450426058963777,0.04864032416589923,0.4340129142259335,0.14064010265630317,0.2905682523918154,0.08303030612334988,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,73.4640723061713,0.00046529148745086206,1.5744862488363083,0.32681753395876517,0.37516134807707047,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,144,200,14400,0.03026747306429384,0.03641030996202324,0.029030585816912348,0.28139831975767293,0.07833410044900764,0.19626642634034083,0.04641573741311399,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1134.0,0.0,1000.0,1000.0,4.0,0.97,2.665,0.405,2.473,0.99,0.1967194539287075,0.19582789324633165,1.0,0.21552604166666658,0.2152777777777778,1.0,0.08608610537285943,1.0,0.089314236111111
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,144,200,14400,0.2640972162069445,0.28461294779921315,0.2525694384291667,3.229311402637729,0.2581337996042254,0.2703274065183787,0.09750000000000006,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,144,200,14400,0.09938775530121183,0.1337694897252309,0.08758219974565623,0.28016110800028354,0.07958051871575744,0.020425552639180045,0.0005732219826601641,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,144,200,14400,0.05586858329416731,0.06300853937460416,0.04434080551638954,0.4177265939231424,0.13073168958984463,0.31722976979638834,0.08870827480471116,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,81.44071713341492,0.0008632001089730789,1.30409372445993,0.35046307775161484,0.4082190025017571,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,144,200,14400,0.014308218177110747,0.019303117629630433,0.008835151534773256,0.26165957806273865,0.06799449291887444,0.19903687631562939,0.043807413763591825,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1415.0,0.0,1000.0,1000.0,4.0,0.97,2.493,0.429,2.758,1.0,0.2116361595199724,0.20981296398257637,1.0,0.22934201388888883,0.22916666666666663,1.0,0.08638378215361564,1.0,0.08598437500000011
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,144,200,14400,0.2588194383305556,0.2754371819818695,0.2467361049972223,3.173085151478472,0.2529577433197184,0.2633959348127793,0.09500000000000003,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,144,200,14400,0.09815139549079813,0.13677533497317756,0.08490687092963278,0.28974456987234914,0.08242749945161545,0.02083913502800276,0.0006487872355505982,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
