experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0196277022173471,0.0049790417569466,0.2627512814358859,0.0692916646819637,0.0149617894925451,1.0,0.998,0.2080197921386844,1.0,0.0843027918750805,0.999,0.2253072916666665,1.0,0.0849696180555555
balanced,200.0,Bayes-MAP,0.0596711314642246,0.0042295614439338,0.4243276439861371,0.1346473958448859,0.0459103020965542,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0931695005296618,0.0147541056024501,0.2830008458596816,0.0774609366308149,0.0792742675567173,1.0,,,,,,,,
balanced,200.0,Avg,0.2641805492148611,0.0083823658490471,3.361067485646644,0.2582781656335212,0.2506527714370833,,,,,,,,,
balanced,400.0,BayPIRE,0.0152209738913709,0.0024278178685565,0.1603857758315866,0.0385964205179665,0.0130308255966927,1.0,0.95,0.0882939836841967,1.0,0.0433856146545068,0.982,0.1115427083333332,1.0,0.0437126736111111
balanced,400.0,PE-Rasch,0.0408005829309765,0.0048463628140004,0.1999600994362232,0.0483268425775814,0.0253603291158041,1.0,,,,,,,,
balanced,400.0,Bayes-MAP,0.050139435203077,0.0027927574562294,0.3455881845374264,0.1029007066862491,0.0354017885981995,1.0,,,,,,,,
balanced,400.0,Avg,0.1569166631569444,0.0080624834301118,1.960885811722277,0.2189857125785714,0.1448888853791666,,,,,,,,,
balanced,800.0,BayPIRE,0.0151187188597023,0.0021948728078585,0.1176836700852453,0.0301339859828193,0.0128318680675967,0.9,0.8630000000000001,0.0566036672150899,0.8,0.0258450109854315,0.974,0.0823298611111111,0.8,0.0265295138888888
balanced,800.0,PE-Rasch,0.037328264549232,0.0034518664221447,0.1706989850146005,0.0424424228286958,0.0249592986438175,1.0,,,,,,,,
balanced,800.0,Bayes-MAP,0.0391368646292096,0.0026799012516385,0.2590464979842436,0.0682546925344328,0.0256676614054271,1.0,,,,,,,,
balanced,800.0,Avg,0.1159444434433333,0.0084195766636896,0.9806932750281752,0.1974623156748529,0.1036111101099999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0134564112173126,0.0009612130989135,0.1033384623693014,0.0282812504150325,0.0100724165998888,0.3,0.786,0.0412102797259059,0.8,0.0154181867067842,0.952,0.0669194444444444,0.8,0.0163206597222221
balanced,1600.0,Bayes-MAP,0.0285994984548866,0.0016446493514626,0.1946645281847032,0.0466796749953782,0.0161832866111157,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0300150522452677,0.002313141903747,0.144975478934997,0.0379186300625667,0.0186260234788307,1.0,,,,,,,,
balanced,1600.0,Avg,0.0843333331733333,0.0054272608816893,0.6463804179179932,0.188212890534375,0.0725694442844444,,,,,,,,,
random,200.0,BayPIRE,0.0241864267139931,0.0097561055318267,0.2980828543535693,0.0842473464908716,0.0221098468968238,1.0,0.996,0.184558379183189,1.0,0.100417641826476,1.0,0.202444097222222,1.0,0.1005453124999999
random,200.0,Bayes-MAP,0.053313121033302,0.0089844367729256,0.4358737800277646,0.1377423418815671,0.040145380127621,1.0,,,,,,,,
random,200.0,PE-Rasch,0.0969221442437778,0.0098575679767618,0.3548340543777163,0.1044610493351548,0.0832613164555923,1.0,,,,,,,,
random,200.0,Avg,0.2340963433625297,0.0135450801264406,3.5345268423010863,0.2649398411604254,0.2196196766958631,,,,,,,,,
random,400.0,BayPIRE,0.0173598855648949,0.0041336168711773,0.202026616861002,0.0540948583759032,0.0151724246780738,1.0,0.965,0.1040299943748786,1.0,0.0583455825241792,0.987,0.1265826388888888,1.0,0.0590006944444444
random,400.0,Bayes-MAP,0.0510810174480471,0.006279646388125,0.3697801715326633,0.1132048354792748,0.0380562416096165,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0551003237726414,0.0090724813178102,0.2614843937653431,0.0685066475738408,0.0407089081917772,1.0,,,,,,,,
random,400.0,Avg,0.1838430441951317,0.014485540718866,2.357576829818675,0.2289334076366709,0.1708224886395761,,,,,,,,,
random,800.0,BayPIRE,0.01387769293296,0.0006217156501638,0.1282195709899335,0.0329166647732184,0.0110866811980386,1.0,0.917,0.0629108337288726,1.0,0.0307118915953747,0.981,0.0876687499999999,1.0,0.0311565972222222
random,800.0,Bayes-MAP,0.0402465022430407,0.003937446454899,0.2739410802812729,0.0748550618373117,0.0264045894663242,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0419872990039126,0.0059797057426897,0.1955670999866873,0.0486276635052649,0.0287791234441386,1.0,,,,,,,,
random,800.0,Avg,0.1257283945348707,0.0110202570625611,1.2223303061798556,0.202231974510359,0.1127892003956766,,,,,,,,,
random,1600.0,BayPIRE,0.0129497572854409,0.0004265000239854,0.1045828527718426,0.0282673902146834,0.0095482447591921,0.5,0.808,0.0423655923342136,1.0,0.0167379170881642,0.96,0.0685277777777777,1.0,0.0175501736111111
random,1600.0,Bayes-MAP,0.0276714629041291,0.0017827495406026,0.1994092958917131,0.0485331043827638,0.0146321160568478,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0314409863382633,0.0016373297816785,0.1489190666929791,0.0386327459084953,0.0196795711632367,1.0,,,,,,,,
random,1600.0,Avg,0.0810039699306279,0.0067391527201942,0.6399306740280333,0.1872724738293841,0.068018952726806,,,,,,,,,
