benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,144,200,14400,0.230079756572123,0.29971580745824844,0.21706864546101196,3.3820080386361897,0.26694060926758645,0.31210724129277895,0.10761904761904767,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,144,200,14400,0.11915910054534272,0.16386121097259698,0.10639221366993096,0.3549970184166134,0.10797833900509779,0.016873100945748412,0.00044097097204124367,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,144,200,14400,0.04867823940522909,0.07135273284115529,0.03357430796739584,0.4251580703710856,0.13179741366302192,0.29509007876144466,0.07765070047462377,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,79.29793147210368,0.004407142101246668,1.1770558595673795,0.33816163458313575,0.45218084961198385,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,144,200,14400,0.04224781495830771,0.045872401609498376,0.04099758493296829,0.2847580651168814,0.07604748805425807,0.1449804081144082,0.02745859080848997,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1486.0,0.0,1000.0,1000.0,4.0,0.97,2.508,0.527,3.421,0.98,0.23352409542650435,0.2329159663327383,1.0,0.24749305555555537,0.25,1.0,0.11049951629458521,1.0,0.10988541666666629
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,144,200,14400,0.24183054963125003,0.30970349001046543,0.22563054963125007,3.718856070332089,0.2732367661812207,0.28414680916002977,0.09883333333333338,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,144,200,14400,0.0955814928819319,0.13211708419637658,0.08079633719502664,0.38448666574929646,0.11180280079645544,0.0181010695568654,0.0005339949290163505,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,144,200,14400,0.04898235891412664,0.05937228966154965,0.03422254448425181,0.4328415298731296,0.13570916010988418,0.2836555925592429,0.07527090123771837,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,75.93587507652052,0.0008165243968064039,1.3635900398912604,0.31516637466752745,0.4470248077195284,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,144,200,14400,0.014464652698541525,0.018769286882747534,0.01061218246890796,0.3039993720036051,0.08700234459123224,0.1269269797346746,0.021953505591483874,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2185.0,0.0,1000.0,1000.0,4.0,0.97,3.102,0.373,3.52,1.0,0.16427672682431071,0.1640948448882521,1.0,0.18438541666666663,0.1840277777777778,1.0,0.09357802789950775,1.0,0.09419444444444436
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,144,200,14400,0.2185694392229167,0.2865962324139042,0.20473610588958335,3.237094686240965,0.25930257895680753,0.2751242548341487,0.0960833333333334,0.013888888888888888,0.82,0.7638888888888888,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,144,200,14400,0.10146343506595301,0.1333045201144871,0.08887360256634208,0.37132001555463356,0.11083345263318752,0.016757860999258543,0.0004629416750268116,0.013888888888888888,0.82,0.7638888888888888,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
