benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Avg,0.27073999507060004,0.025219753614787146,0.35050372357574056,0.019468919353817993,0.2573399950706,0.02473055634716051,4.9677090851507675,0.4833094164506132,0.37522958681714286,0.014339411995053232,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,BayPIRE,0.019131291132213825,0.0020577863796570318,0.023770188284851508,0.002166688428344265,0.014571678949288897,0.0023647695961283607,0.26117498239113485,0.011514706815552386,0.06622255804343433,0.004345946898647255,1.0,1.0,0.0,0.17542356898157704,0.018172420379976816,0.17537478822674568,0.017938089812241032,1.0,0.0,0.20498474999999988,0.017214679275822792,0.20501249999999996,0.018991998497905515,1.0,0.0,0.08204122512950514,0.003308097614362761,1.0,0.0,0.08246999999999997,0.0033551668281092124
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,Bayes-MAP,0.07062652588173632,0.006132847723905346,0.08867836725888523,0.0044726947151888016,0.053917195351496715,0.006440055762778865,0.49659027722078986,0.005049234199585386,0.15671943159535068,0.0025237519219507786,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,200.0,two_way_balanced,PE-Rasch,0.09542125928132769,0.009599914616928202,0.1292235395744879,0.012404788222004448,0.07740023240815477,0.010679366966652098,0.3530137569772781,0.02215140708420228,0.09473446115027684,0.006561960967090674,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Avg,0.1954799987712,0.013055590415694141,0.2428074117525632,0.01147749655733416,0.1804399987712,0.01369429714348048,1.8360462189126459,0.1641139271230708,0.3110156237375,0.005938375438712517,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,BayPIRE,0.018238550410520457,0.001660805778318619,0.022923782628774807,0.002006126862688131,0.014380799724160015,0.0021450527667396567,0.19341369888609589,0.006721298886165789,0.050299615169735135,0.002187210285559222,1.0,0.967,0.01828782229912688,0.10222867934386796,0.00875831837813275,0.10223889326298027,0.008664775340815988,0.9970000000000001,0.004830458915396508,0.13671574999999997,0.007637642165434435,0.13504999999999978,0.007032464401300463,1.0,0.0,0.0476328605114802,0.002375882208886083,1.0,0.0,0.04820449999999998,0.002097341505069884
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,Bayes-MAP,0.06097003917662715,0.0034588492456813936,0.07628287501196317,0.003396292847393586,0.04367946952217952,0.005000203989300661,0.3946120398280632,0.003021940691580694,0.11204741001881305,0.001364161855115385,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,400.0,two_way_balanced,PE-Rasch,0.06457858856432466,0.0059281881989760405,0.10065740567726914,0.01035019080014316,0.04794223794541706,0.006142696379307123,0.304825644875271,0.028798171964303444,0.07619267928225044,0.006341043400851183,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,Avg,0.139529999908,0.006566590527050964,0.17083079585502664,0.007422870460813396,0.12414999990799999,0.007106530649323743,0.8458121050740385,0.0836251133252912,0.281327445555,0.0029637810083360918,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,meta_llama_llama_3_8b_instruct,800.0,two_way_balanced,BayPIRE,0.017176445898724073,0.0009116599475101502,0.02150926568583212,0.0012869522458468859,0.012195296319235898,0.00104220881229069,0.16348425498522315,0.004847844563604756,0.04590715007205616,0.0015537763168732694,1.0,0.8939999999999999,0.04971027168615266,0.07228440973414363,0.010110664510638691,0.07250752257334,0.010289635531263316,0.99,0.008164965809277279,0.10926649999999993,0.007035764903532344,0.10899999999999999,0.007378647873726226,1.0,0.0,0.02921287883159001,0.0009168181007076612,1.0,0.0,0.030744,0.001262091628122849
