experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0191312911322138,0.002057786379657,0.2611749823911348,0.0662225580434343,0.0145716789492888,1.0,1.0,0.175423568981577,1.0,0.0820412251295051,1.0,0.2049847499999998,1.0,0.0824699999999999
balanced,200.0,Bayes-MAP,0.0706265258817363,0.0061328477239053,0.4965902772207898,0.1567194315953506,0.0539171953514967,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0954212592813276,0.0095999146169282,0.3530137569772781,0.0947344611502768,0.0774002324081547,1.0,,,,,,,,
balanced,200.0,Avg,0.2707399950706,0.0252197536147871,4.9677090851507675,0.3752295868171428,0.2573399950706,,,,,,,,,
balanced,400.0,BayPIRE,0.0182385504105204,0.0016608057783186,0.1934136988860958,0.0502996151697351,0.01438079972416,1.0,0.967,0.1022286793438679,1.0,0.0476328605114802,0.997,0.1367157499999999,1.0,0.0482044999999999
balanced,400.0,Bayes-MAP,0.0609700391766271,0.0034588492456813,0.3946120398280632,0.112047410018813,0.0436794695221795,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0645785885643246,0.005928188198976,0.304825644875271,0.0761926792822504,0.047942237945417,1.0,,,,,,,,
balanced,400.0,Avg,0.1954799987712,0.0130555904156941,1.836046218912646,0.3110156237375,0.1804399987712,,,,,,,,,
balanced,800.0,BayPIRE,0.017176445898724,0.0009116599475101,0.1634842549852231,0.0459071500720561,0.0121952963192358,1.0,0.8939999999999999,0.0722844097341436,1.0,0.02921287883159,0.99,0.1092664999999999,1.0,0.030744
balanced,800.0,Bayes-MAP,0.0463931666145721,0.0026491570100325,0.3044541147641595,0.0778232670165823,0.0292064156468798,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0545022097894837,0.0058443981582785,0.2668911545257342,0.0683406852770027,0.0385242019481706,1.0,,,,,,,,
balanced,800.0,Avg,0.139529999908,0.0065665905270509,0.8458121050740385,0.281327445555,0.1241499999079999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0159385611775801,0.0010846817423801,0.1464199779683454,0.0426796083672762,0.0106153853995061,1.0,0.743,0.0468455810674785,1.0,0.0180680137215233,0.977,0.0882299999999999,1.0,0.0196019999999999
balanced,1600.0,Bayes-MAP,0.0312983959992207,0.0027794974918778,0.2350071298684303,0.0565963839737091,0.0157767303437771,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0388376839043478,0.002680596129056,0.1936074388908656,0.0553997071589641,0.0257592669089024,1.0,,,,,,,,
balanced,1600.0,Avg,0.09095,0.007731025158412,0.7251181543629522,0.2644564732142857,0.074535,,,,,,,,,
random,200.0,BayPIRE,0.021280177795794,0.004968429629429,0.319367879183066,0.0907340886491351,0.0166725226426269,1.0,1.0,0.2010545207954771,1.0,0.1111322816677195,1.0,0.2299787499999999,1.0,0.1114432499999999
random,200.0,Bayes-MAP,0.0621541930517642,0.0052225522700324,0.5129549321607495,0.1650722187174373,0.0460357825950977,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1014753502675494,0.0167125412855811,0.4172964284028317,0.1200656880962496,0.0850419176003795,1.0,,,,,,,,
random,200.0,Avg,0.2777949954107,0.0144511692004672,4.6550030480154545,0.3723164040950567,0.2616749954107,,,,,,,,,
random,400.0,BayPIRE,0.0185403119751596,0.0016290052180325,0.2170656089231283,0.0579399772499965,0.0146782125170267,1.0,0.982,0.1147938565474966,1.0,0.0617543231079738,0.997,0.1490602499999999,1.0,0.0630244999999999
random,400.0,Bayes-MAP,0.0588718267000061,0.0043570161583367,0.4164611794963672,0.1226580950609781,0.0419988795135689,1.0,,,,,,,,
random,400.0,PE-Rasch,0.070100271824497,0.008430896182829,0.3426498315708612,0.0876661004382244,0.0524910688102989,1.0,,,,,,,,
random,400.0,Avg,0.2173284862591884,0.008136063642072,2.6799659898078665,0.327697818374312,0.2015326565333587,,,,,,,,,
random,800.0,BayPIRE,0.0170846885366427,0.0009253413925176,0.1665234769880124,0.0462017353899524,0.0121220715325072,1.0,0.884,0.0738918332726163,1.0,0.0327003696370771,0.992,0.1115057499999999,1.0,0.0337442499999999
random,800.0,Bayes-MAP,0.0465768004851175,0.0035283084631899,0.3147992874261526,0.0821935778516395,0.0306630314493535,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0549301109704743,0.0064070786686946,0.2638877485789488,0.0681047681846084,0.0392420115407604,1.0,,,,,,,,
random,800.0,Avg,0.1408370295676544,0.0102579146432902,1.097114946864724,0.284598577348894,0.12531803522866,,,,,,,,,
random,1600.0,BayPIRE,0.0164134852798312,0.0016753344486554,0.1488718464687041,0.0436149561353705,0.0104390579458936,1.0,0.7769999999999999,0.0537889033743427,0.9,0.0186850632429418,0.986,0.0916919999999999,0.9,0.0204009999999999
random,1600.0,Bayes-MAP,0.0323946036097386,0.0032365727716604,0.2400110515913124,0.0584456346277395,0.0185653526389149,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0417797435571,0.0032962223254689,0.2081051170499246,0.0579600443426259,0.0290962588291485,1.0,,,,,,,,
random,1600.0,Avg,0.0966650894701261,0.006712410317518,0.7317877284942471,0.2669991743746438,0.0820466634362357,,,,,,,,,
