experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0213377721298902,0.0043977374341253,0.302585919462927,0.0817415155041344,0.0150593045858723,1.0,0.999,0.2027796435398545,1.0,0.0843362123431227,1.0,0.2309182499999998,1.0,0.0851569999999999
balanced,200.0,Bayes-MAP,0.071800865170346,0.0049885264244035,0.511768867308709,0.1637046985084794,0.0540273574141921,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1101508765425341,0.0117471408132991,0.4317994692513115,0.1160083700968831,0.0919917465509192,1.0,,,,,,,,
balanced,200.0,Avg,0.2592799952078,0.0224875664464262,4.895459912812807,0.3742806073142857,0.2453199952078,,,,,,,,,
balanced,400.0,BayPIRE,0.018993859798739,0.002828279291187,0.2348116176133413,0.0646418443269102,0.0142549639421053,1.0,0.973,0.115691519896061,1.0,0.0511485115556221,0.999,0.1512599999999999,1.0,0.0523357499999999
balanced,400.0,Bayes-MAP,0.0620628831721685,0.0050540224952121,0.4159523507214323,0.1215414729217289,0.0441085722350314,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0782536429131414,0.0102293985814476,0.4002048638936409,0.0982928449091277,0.0605100756199453,1.0,,,,,,,,
balanced,400.0,Avg,0.1865699989248,0.0144558367703801,1.7408779276343904,0.31046874885625,0.1722699989248,,,,,,,,,
balanced,800.0,BayPIRE,0.0176411244223767,0.0009884752746672,0.203399611282775,0.0584884846578567,0.0103844938873972,1.0,0.936,0.0858972772577201,1.0,0.0315746957817361,0.996,0.1234547499999999,1.0,0.03297275
balanced,800.0,Bayes-MAP,0.0483246249058061,0.0043685225925681,0.3291074526616893,0.0881484328837749,0.032052293328858,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0672022773199898,0.0071374950075949,0.3613739732761523,0.087047643296694,0.0517079129123102,1.0,,,,,,,,
balanced,800.0,Avg,0.1359299998988,0.0088419516967913,0.8583032954614793,0.2817853259743478,0.1214899998987999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0161931494998935,0.0006421716469189,0.1849108040657403,0.0550609539609504,0.0092420884182621,1.0,0.774,0.0515522701767455,1.0,0.0196916998715173,0.994,0.0970102499999999,1.0,0.0212915
balanced,1600.0,Bayes-MAP,0.0330935641788959,0.0028639448664111,0.2644021585630242,0.0680860777929305,0.0186242197188489,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0445906615455487,0.0030099135946927,0.2442121799298377,0.068933055307764,0.0308589336897624,1.0,,,,,,,,
balanced,1600.0,Avg,0.09041,0.0088219517870669,0.7283813345275634,0.266,0.077385,,,,,,,,,
random,200.0,BayPIRE,0.0346328411579117,0.0112796506769988,0.3615526695483323,0.1071679568079476,0.0324837853453352,1.0,0.996,0.2176440673434236,0.9,0.1092478421084021,1.0,0.2444377499999998,1.0,0.10988875
random,200.0,Bayes-MAP,0.0727858961093063,0.0150545885550781,0.5340643323076486,0.1749231998741622,0.0574054442347136,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1116952799967487,0.0177413371195359,0.4948104075946968,0.1409291563022059,0.0960559061210581,1.0,,,,,,,,
random,200.0,Avg,0.286184995324,0.0208307155954972,4.798180752233216,0.3792049583572335,0.269934995324,,,,,,,,,
random,400.0,BayPIRE,0.0216486857514915,0.0056571951270391,0.2612223944777995,0.0732268422391931,0.0171661258720842,1.0,0.977,0.1272135487308824,0.9,0.0638822983004624,0.998,0.1614984999999999,0.9,0.06428575
random,400.0,Bayes-MAP,0.0611677690722854,0.0042418528476311,0.435734496521767,0.131057965059611,0.0436955352445169,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0836001369225224,0.0103236715015469,0.4335755251367265,0.1089290073741413,0.067089405686421,1.0,,,,,,,,
random,400.0,Avg,0.2187495252175274,0.0148511625821834,2.7157606435273856,0.3312425454438685,0.2028095252175274,,,,,,,,,
random,800.0,BayPIRE,0.0193398422319513,0.0034034067984526,0.2065294600032763,0.0587524661715545,0.0136994099562128,1.0,0.8869999999999999,0.0811448027000356,0.9,0.0342889323392615,0.992,0.1193957499999999,0.9,0.035483
random,800.0,Bayes-MAP,0.0498699130891894,0.0026372071538462,0.3380109698072294,0.0918996085428494,0.0336605385566425,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0624478568220243,0.004836447991688,0.3406840503001257,0.0839265265681197,0.0468633886415225,1.0,,,,,,,,
random,800.0,Avg,0.1431758459890945,0.0086604337112004,1.0056847252459904,0.2866415843906978,0.1272956550689036,,,,,,,,,
random,1600.0,BayPIRE,0.0179246689143258,0.0013590391682517,0.1899428415298596,0.0563286516268117,0.0106990191499905,1.0,0.768,0.057509925791,0.9,0.0208222540919327,0.977,0.0999722499999999,0.9,0.0222024999999999
random,1600.0,Bayes-MAP,0.0351616495148841,0.003182253013605,0.2702132900922182,0.0702633300864759,0.0197267303279094,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0463999702039086,0.0036633248635775,0.256769491905427,0.0714140668838451,0.0320928170054295,1.0,,,,,,,,
random,1600.0,Avg,0.0947650021903309,0.0043870821075935,0.7329946298929475,0.267781121730202,0.0781662409122736,,,,,,,,,
