benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,100,200,10000,0.27313332928833334,0.3354075405807721,0.2519333292883334,4.195986805241618,0.36500226349410436,0.45630575423772113,0.15900000000000003,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.10500878493578122,0.15154546803176763,0.08755558980437758,0.4877653315076177,0.13843896783518583,0.023945558988321434,0.0010831592804886605,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06286664069925928,0.07650390820733285,0.03993971152109516,0.5244556174576878,0.16995050759276595,0.3697167492674038,0.09905401164117837,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,96.74089032959496,0.0022049101433773088,0.1333324330707909,0.3016797984726741,0.607902683282622,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.018470606700160107,0.022845974960205965,0.012273500036366701,0.3529903389421928,0.10325341421374859,0.20520746780859114,0.046208697148475454,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2230.0,0.0,1000.0,1000.0,4.0,0.97,0.287,0.356,3.323,1.0,0.2029393192248926,0.20150906568993648,1.0,0.23302999999999988,0.23000000000000004,1.0,0.11250462448689391,1.0,0.11221749999999986
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,100,200,10000,0.2957166615596667,0.3659394613735508,0.2807166615596667,5.180195323006245,0.38761634962426306,0.34561280425955604,0.12158333333333339,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.14967192536298682,0.18792831174296754,0.13491072541346893,0.5694479960906946,0.16835333710799683,0.022872294029140885,0.0011442535832575465,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.07977085602952885,0.0933749664620255,0.06496060820809382,0.5469290721111703,0.1815358543056231,0.3522510132117,0.09257401191654108,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,93.60815961196516,0.00045478551612815153,0.28116708247456007,0.37752140019212604,0.570364012626042,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.0393208675509489,0.04501593988659663,0.03569407974423154,0.38580150544094965,0.1157894194014181,0.22694855654829468,0.05393223043816462,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,876.0,0.0,1000.0,1000.0,4.0,0.97,0.663,0.608,3.01,1.0,0.32481886036595575,0.32569214359065113,1.0,0.3437549999999998,0.34,1.0,0.11985337990446099,1.0,0.12051750000000006
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,100,200,10000,0.2502833293003333,0.33125698548496224,0.23628332930033333,4.256936383161945,0.362313119421542,0.43184233801744765,0.1524166666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.1111501410462421,0.15670745744236358,0.09552511513739459,0.49929595358985,0.13822577586038826,0.024848158105019245,0.001316721148680873,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
