benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.30619999412000004,0.35173284603579474,0.28999999412,5.091071465491344,0.36132652538571436,0.27725887822397816,0.10000000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1209743863811758,0.16052628413124576,0.10144142738044618,0.45184238194777876,0.12251765657825123,0.020428601028873495,0.0006559822411136658,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07904651300270116,0.09314553017518785,0.06012336578749532,0.5020600337593464,0.1630574531197781,0.34722048395298877,0.09290713684941737,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,91.38817008848613,0.0005312479362229012,-0.7525543014931275,0.3928028105319419,0.5376063281822747,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.032502615650657596,0.03868499260986675,0.029423808663257528,0.3108563903525529,0.08557553019033444,0.20254199081100638,0.04433164638827054,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1322.0,0.0,1000.0,1000.0,4.0,0.97,-1.572,0.427,3.205,1.0,0.22183417500757216,0.22048602798647732,1.0,0.24662749999999986,0.24999999999999997,1.0,0.08472673276015746,1.0,0.08440499999999995
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.26739999559,0.3176727815887285,0.25119999559,4.061607777616155,0.3372959143714286,0.38123095380796995,0.1375,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.09449537300476842,0.13053281545515202,0.07482482382160859,0.43175191438130667,0.11480380245265674,0.02233999924833252,0.0008233233402413933,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06916362387873162,0.08156006490374426,0.05194767796860533,0.4890432754517324,0.15458846472126556,0.3738813991576895,0.10134580537328301,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,97.18348137599386,0.000805141015568053,-0.482521163702523,0.34261166923241654,0.5790405705530107,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.028901527794382577,0.03531405225440437,0.02615890660930527,0.3061165280190268,0.08506304167229703,0.1813756568278319,0.03615662928865349,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2251.0,0.0,1000.0,1000.0,4.0,0.97,-1.107,0.341,3.556,0.99,0.17326722857932764,0.1726403012853215,1.0,0.20374249999999988,0.20012499999999933,1.0,0.08015974032473466,1.0,0.08130499999999996
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.30639999461,0.3556908702378514,0.28419999461,4.943401677914083,0.3639285664,0.3119162367519754,0.11250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.09836213672607458,0.1286576106323846,0.07516419337058244,0.4042458953556388,0.1063473050010681,0.019665371676244263,0.0006075326342438859,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
