experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.027047579363043,0.005803735855542,0.3104780637752575,0.0859012262995413,0.0228075728418821,1.0,0.996,0.1931730078471601,1.0,0.0825984660594764,1.0,0.2210124999999999,1.0,0.0832984999999999
balanced,200.0,Bayes-MAP,0.0732636860626836,0.0047459605731333,0.4966213012255697,0.1592693077785733,0.05374702436902,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1058180425731727,0.0104531462318132,0.4335912280022422,0.1160743851533788,0.0853879906706006,1.0,,,,,,,,
balanced,200.0,Avg,0.293499994708,0.0177571889890013,4.723833963116339,0.3541326482785714,0.275899994708,,,,,,,,,
balanced,400.0,BayPIRE,0.0210934587095042,0.0014000884592991,0.2402848795204356,0.0680786650271379,0.0160908340956412,1.0,0.978,0.123724754403408,1.0,0.0508117999110796,0.999,0.1570987499999999,1.0,0.0518467499999999
balanced,400.0,Bayes-MAP,0.0620046122092252,0.0059749594420611,0.4070196960983285,0.1205949362413142,0.0433593573931134,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0776929020034577,0.0114573585668445,0.4184031386713017,0.1034898178869731,0.0596481579158115,1.0,,,,,,,,
balanced,400.0,Avg,0.2035299983008,0.0163383696217446,1.9434481617563224,0.2948854152195833,0.1856099983008,,,,,,,,,
balanced,800.0,BayPIRE,0.0207771915534287,0.0015165929929357,0.2105859090500904,0.0627214953550585,0.0145969813625647,1.0,0.892,0.0888704173591656,0.9,0.0318751502031271,0.99,0.1258662499999999,0.9,0.0329849999999999
balanced,800.0,Bayes-MAP,0.0476682091820792,0.0042021262980797,0.3262489862907209,0.0896377534751004,0.028175509339178,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0639480748889034,0.0058957248646089,0.3495058881788012,0.0873854902651461,0.0459627113767179,1.0,,,,,,,,
balanced,800.0,Avg,0.1284999998068,0.0121698168757992,0.8643540652118988,0.2633804346163043,0.1080999998068,,,,,,,,,
balanced,1600.0,BayPIRE,0.0186002553193312,0.0014621982953564,0.1893598424025597,0.0584997462194287,0.0112986514424757,1.0,0.749,0.0592906655561178,1.0,0.0204860086401735,0.982,0.1045827499999999,1.0,0.0221529999999999
balanced,1600.0,Bayes-MAP,0.0353090365740262,0.0025385543762009,0.2664120571627981,0.0712250020839033,0.0173103824815319,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0461281026252337,0.0055124943161596,0.2414509905323148,0.0721721534899104,0.0300732735209104,1.0,,,,,,,,
balanced,1600.0,Avg,0.08782,0.0064277588110735,0.6969766455708373,0.249024181547619,0.069795,,,,,,,,,
random,200.0,BayPIRE,0.0298607839523902,0.0116976295422919,0.3544685292070303,0.1043325413184161,0.0259536614018137,1.0,0.993,0.2056756636416807,1.0,0.1078493440541627,1.0,0.2341227499999998,1.0,0.1088142499999999
random,200.0,Bayes-MAP,0.0669193788852289,0.0100249496225512,0.5112594576685047,0.1654684986633264,0.0474111851498363,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1099106876293532,0.0155332454481018,0.5142618205749747,0.1426437343501714,0.0897672129503315,1.0,,,,,,,,
random,200.0,Avg,0.2849999951698,0.0224610798777536,4.6083871548061275,0.3600660498070748,0.2649233285031333,,,,,,,,,
random,400.0,BayPIRE,0.0228334867288451,0.0027706743010069,0.2651296515973728,0.0759799242735088,0.0180218067873582,1.0,0.972,0.1282839229804497,1.0,0.0631111372085474,0.998,0.1629104999999999,1.0,0.0635962499999999
random,400.0,Bayes-MAP,0.0583557099245539,0.0046833291817219,0.4252380993469938,0.1289967435106299,0.0397669735826457,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0851686770251189,0.0092933443917563,0.4432460634396006,0.1112976131809411,0.0659582663715283,1.0,,,,,,,,
random,400.0,Avg,0.2059084101765126,0.0110416250725328,2.627160765493348,0.3060154797192232,0.1872650768431793,,,,,,,,,
random,800.0,BayPIRE,0.0220252148414355,0.0020223648047135,0.2144042243089081,0.0634373828702576,0.0153349074133765,1.0,0.897,0.1016105212462291,0.9,0.0356529330809812,0.992,0.1368552499999999,0.9,0.0367834999999999
random,800.0,Bayes-MAP,0.0495929854385403,0.0049233228020697,0.3359709260839044,0.0938598129150987,0.0303805753304702,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0654564177710492,0.0063384212374241,0.3481863316227397,0.088647487301949,0.0474339561295314,1.0,,,,,,,,
random,800.0,Avg,0.1423454090535692,0.008775429907196,1.0928590521642196,0.2706152706890361,0.1229664879746481,,,,,,,,,
random,1600.0,BayPIRE,0.0182218890378059,0.000878308401639,0.1938249036008908,0.0599662642219041,0.0108926112361532,1.0,0.8160000000000001,0.0640525701542253,1.0,0.0213110835810174,0.986,0.1064522499999999,1.0,0.0232427499999999
random,1600.0,Bayes-MAP,0.0354781349220469,0.0020057864649878,0.2721273848507667,0.0735312044001096,0.0183894441476231,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0494625728953549,0.0041864373473746,0.26170989989085,0.076379142701829,0.0344971031353755,1.0,,,,,,,,
random,1600.0,Avg,0.0904978051044641,0.0034390942773465,0.7008977222164248,0.2502883237709435,0.073042131728469,,,,,,,,,
