benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Avg,100,100,200,10000,0.27153332861133334,0.3409033687429199,0.25299999527800004,4.460226420394716,0.3530228980453515,0.37923184050192404,0.13183333333333336,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.11685682329126328,0.16174254233141522,0.09620272780342365,0.6157155178641982,0.16532280225345525,0.03141110369839379,0.0029255547226195357,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.05725615568602027,0.07540581331922364,0.03794774904939267,0.5277079080689696,0.17271013131318416,0.35261698718874585,0.09522110025676855,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,91.92657312786599,0.0025117007686060967,-0.575903819636979,0.3338434435191845,0.5665120852743862,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.021603473977059896,0.026509835845109575,0.015401971696948808,0.3999223808187195,0.12026639533007998,0.22195515389825096,0.05298756403257512,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1896.0,0.0,1000.0,1000.0,4.0,0.97,-1.152,0.367,3.049,1.0,0.21304437030268936,0.21419206285294112,1.0,0.2425349999999999,0.24,1.0,0.11217969087902935,1.0,0.11321999999999977
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Avg,100,100,200,10000,0.2797166625346667,0.3424518157493694,0.26004999586800004,4.133384427147324,0.35369106739387757,0.43062496537848705,0.15200000000000005,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.1327523287647966,0.17138677164324553,0.11700631114730234,0.5344432798932598,0.14742555024309065,0.023195577227414086,0.0010681971455817625,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.08607190391511141,0.10730018058210437,0.07342015053670346,0.5173362066672973,0.1668301168282698,0.3642338785465786,0.09670750869080205,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,95.90764008925676,0.00926203822793389,-0.26333769139722557,0.33001592630714177,0.5974659279036355,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.05263957383276292,0.05842829275342764,0.05211635793498136,0.35993124090217854,0.10511050456393793,0.20938658021469309,0.04806528534205835,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2144.0,0.0,1000.0,1000.0,4.0,0.97,-0.804,0.391,3.336,0.96,0.21617946883232111,0.21538865037921198,1.0,0.2449349999999999,0.24999999999999994,1.0,0.11443002925918,1.0,0.1161124999999999
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Avg,100,100,200,10000,0.24204999577599998,0.304288371507402,0.22364999577599998,3.8625586879008393,0.32869599963197277,0.40411645124504986,0.14266666666666672,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10855386846978421,0.1502798511202872,0.09086170014714891,0.5310425089796704,0.14267191183478808,0.027775565228379796,0.0017529264216722886,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.0629434261959067,0.07835823113297485,0.04662938245451603,0.5144812909143449,0.16901090766534627,0.3591357903838361,0.10011459690427561,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,91.71270435938764,0.0011123644607602774,-0.7732445923484456,0.30717246704800333,0.5544125568688936,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.029408360864189485,0.035367358708537036,0.024851216406490045,0.36072362377099887,0.1063954048437496,0.23570429322778538,0.05872686126199694,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1699.0,0.0,1000.0,1000.0,4.0,0.97,-1.377,0.381,2.835,1.0,0.2290817263704472,0.2295935371208591,1.0,0.2559374999999999,0.26,1.0,0.11234763845629125,1.0,0.11210749999999992
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,3,random_uniform,Avg,100,100,200,10000,0.3331333279183334,0.39917052205947173,0.3119333279183334,5.50133207827293,0.3972902438086168,0.34613796185809725,0.11883333333333336,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.13541059693425914,0.18511234838279905,0.11391067055961893,0.537493138162016,0.15750289049828087,0.01985616034267573,0.0008326186572296476,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.08357176424276849,0.10232422255273452,0.06485968120718422,0.5161606645231427,0.16677770712934806,0.3399449239043571,0.087511805915729,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,91.59388468266005,0.0048480598217883674,-0.32999680537627013,0.36031850183120434,0.589098669061762,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,3,random_uniform,BayPIRE,100,100,200,10000,0.04942987902011854,0.05536118166526517,0.04855344519040562,0.3559771529663928,0.1062304272514389,0.18307571171795975,0.03912819724304134,0.02,0.87,0.85,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1604.0,0.0,1000.0,1000.0,4.0,0.97,-0.838,0.472,3.449,0.98,0.24499526760240073,0.2466023751091193,1.0,0.2680299999999999,0.27,1.0,0.11409137164985916,1.0,0.11681499999999995
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,4,random_uniform,Avg,100,100,200,10000,0.2821333284133334,0.3476965406883263,0.25893332841333333,4.6262958064497415,0.3576872969424037,0.38899015013777244,0.13716666666666671,0.02,0.9,0.85,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,4,random_uniform,PE-Rasch,100,100,200,10000,0.1038358068118411,0.14586174181954445,0.07930734181849097,0.483562357737392,0.13786536236776706,0.02339666391469451,0.0014387385424584726,0.02,0.9,0.85,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,meta_llama_llama_3_8b_instruct,200.0,4,random_uniform,Bayes-MAP,100,100,200,10000,0.0609576653005149,0.07458860584417165,0.03798629300603463,0.5091786290334528,0.16524017452338846,0.33698782743421574,0.08839586708533945,0.02,0.9,0.85,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,89.87579709079793,0.00078638165900659,-0.6600172054504565,0.3099821033116549,0.5983450378377037,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
