benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Avg,100,102,200,10200,0.2568627403921569,0.33507043814666815,0.24450979921568633,4.6524551492704465,0.36299999534000005,0.3604365386911716,0.13000000000000003,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,PE-Rasch,100,102,200,10200,0.09720541868794204,0.1290710174548374,0.08179752729354867,0.36912028775367123,0.1002515249825039,0.021380783450831612,0.0007011295984295425,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,Bayes-MAP,100,102,200,10200,0.072651824575606,0.09067568041340374,0.05965940078077112,0.5047912474182679,0.16148266774039222,0.37308673116706503,0.1004010140725733,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,97.41590255654313,0.0016158976883874287,-0.41593824261484824,0.35994837163742016,0.5696133171054661,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,0,two_way_balanced,BayPIRE,100,102,200,10200,0.03465960617108247,0.040091065039618096,0.0340538713048239,0.2883501694987883,0.0766414529894954,0.18458927318764298,0.03672128015495975,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2147.0,0.0,1000.0,1000.0,4.0,0.97,-0.957,0.349,3.547,0.99,0.17618624658622473,0.1756668144590322,1.0,0.20629901960784308,0.20588235294117646,1.0,0.08151231856354885,1.0,0.08148284313725485
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Avg,100,102,200,10200,0.28833332813725493,0.36295038532400486,0.27225489676470593,5.218311982470818,0.383099994688,0.3257791801631743,0.11750000000000003,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,PE-Rasch,100,102,200,10200,0.08518363929260359,0.11080434543222067,0.06746465507897871,0.3049834559797684,0.08027282824384877,0.018806677688822906,0.0005053219084343095,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,Bayes-MAP,100,102,200,10200,0.0758651111435639,0.09263470773707948,0.058475399528217314,0.4950041249634899,0.1560044895840456,0.3641580244426732,0.09510413957316916,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.88754737456728,0.002323880157394845,-0.2061301868749559,0.38023519790281135,0.5784802827401403,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,1,two_way_balanced,BayPIRE,100,102,200,10200,0.020735041312433533,0.02588201968416136,0.016690506725994685,0.25055413041285013,0.0627395689960742,0.1507032996920388,0.024717557222825218,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2127.0,0.0,1000.0,1000.0,4.0,0.97,-0.495,0.357,3.942,1.0,0.1611925678934839,0.16114353493918804,1.0,0.19024509803921558,0.18651960784313593,1.0,0.0754413337185042,1.0,0.07598774509803918
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Avg,100,102,200,10200,0.2663725442156863,0.34437730436042746,0.2522548971568628,4.8113098040855,0.36949999516000004,0.3535050669855721,0.12750000000000003,0.0196078431372549,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,PE-Rasch,100,102,200,10200,0.07855347046013067,0.11096605341870987,0.06114693944318071,0.32104442427955954,0.0821946348330394,0.018595420168476078,0.0004680430959851528,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,meta_llama_llama_3_8b_instruct,200.0,2,two_way_balanced,Bayes-MAP,100,102,200,10200,0.06668500838002556,0.08679014984491878,0.049132630584857874,0.494152627786658,0.15576124796353202,0.36673578028010473,0.09654317302468207,0.0196078431372549,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,97.10321450934293,0.002085382632284576,-0.2908434152094827,0.3648044230247224,0.5830694849827226,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
