experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0228907432079073,0.0073008384264841,0.261548425022681,0.0661446979369016,0.0190700787285782,1.0,0.998,0.1750435148204529,1.0,0.0807906748677496,1.0,0.2036083333333332,1.0,0.0818313725490195
balanced,200.0,Bayes-MAP,0.0736176938776629,0.0058361773068571,0.4999507973087171,0.1587431942586142,0.0568087759147286,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0951301498671955,0.0111888712130934,0.3525766675821764,0.0934088230465862,0.0776603391563187,1.0,,,,,,,,
balanced,200.0,Avg,0.2780686223823529,0.0216579671148772,5.03961615909168,0.3761599948918,0.2635588184607843,,,,,,,,,
balanced,400.0,BayPIRE,0.0175283323432906,0.0011458697511447,0.1975172858576788,0.0514728730664342,0.013511668380414,1.0,0.967,0.1007743115082662,1.0,0.046729387207696,1.0,0.1355764705882352,1.0,0.0476426470588235
balanced,400.0,Bayes-MAP,0.0627651678836541,0.0030995775862265,0.3990127329599423,0.1140774562255263,0.0453003100456429,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0676405988659814,0.0064754434560867,0.322405010951397,0.0800020340437083,0.0508206291137605,1.0,,,,,,,,
balanced,400.0,Avg,0.2023529400043137,0.0101042504813872,1.7948995631969769,0.3112806110353061,0.1864901949062745,,,,,,,,,
balanced,800.0,BayPIRE,0.0172791580807631,0.0011659723559292,0.1654250568638523,0.0455638805040666,0.0131356842940866,1.0,0.881,0.0670307864942894,1.0,0.0290883804882828,0.993,0.1058453431372548,1.0,0.0301112745098039
balanced,800.0,Bayes-MAP,0.0466691762762003,0.0018834275028311,0.3065558791277722,0.078376831933075,0.0304013278051694,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0528529876463118,0.0039973725661672,0.2644426851762488,0.0667236129591417,0.0393457825418417,1.0,,,,,,,,
balanced,800.0,Avg,0.1433039214672549,0.0061926573589639,0.860500883791491,0.2817819147810638,0.1284411763692156,,,,,,,,,
balanced,1600.0,BayPIRE,0.015701510596654,0.001015185360305,0.1486048962120802,0.0429959347290907,0.0099157318993541,1.0,0.77,0.0490463694755216,0.9,0.0179786304610619,0.991,0.0894610294117646,1.0,0.0195110294117646
balanced,1600.0,Bayes-MAP,0.0321305914479495,0.0035013798155186,0.2377004776602061,0.0574266287152939,0.0175456480238764,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0408473506540366,0.003114634356943,0.2009228938285377,0.0563418555500456,0.0279534984654913,1.0,,,,,,,,
balanced,1600.0,Avg,0.0934031862745098,0.0092434498447935,0.7246050525023826,0.2641165515988372,0.0774889705882353,,,,,,,,,
random,200.0,BayPIRE,0.0324668837542053,0.0131488833919139,0.3335570380270506,0.0960069582543424,0.0301647503205405,1.0,0.996,0.2011001083260431,0.9,0.1091823848590821,1.0,0.2295063725490194,0.9,0.109775
random,200.0,Bayes-MAP,0.0714328121474278,0.0078884367551714,0.5229272825025251,0.1701007019402706,0.0582234484429702,1.0,,,,,,,,
random,200.0,PE-Rasch,0.104606461983839,0.0094146060017539,0.4545525917401457,0.1285605489442878,0.0892787150759807,1.0,,,,,,,,
random,200.0,Avg,0.2867881465439356,0.0200680493009263,4.72041317086416,0.3737904765306979,0.2714394350593417,,,,,,,,,
random,400.0,BayPIRE,0.0169085683546214,0.0008123384960546,0.2159663009998228,0.0571321114479383,0.0122221386752487,1.0,0.996,0.1181675037166429,1.0,0.0605919877443468,1.0,0.1507575980392155,1.0,0.0613468137254901
random,400.0,Bayes-MAP,0.0596541338319856,0.0028410139188618,0.4177168082337948,0.1230066559295794,0.0436742151939637,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0759060905480624,0.0122761439150856,0.3415701184179603,0.0886330326579261,0.0597948712347741,1.0,,,,,,,,
random,400.0,Avg,0.2188556420900561,0.0132037411516552,2.6534187970448087,0.3277026162973023,0.2038937513337535,,,,,,,,,
random,800.0,BayPIRE,0.0171193945151057,0.0015490769947943,0.1730786493658907,0.0474007932074753,0.0128125642896041,1.0,0.8880000000000001,0.0709774988258422,1.0,0.0327233900064247,0.994,0.107836519607843,1.0,0.0338276960784314
random,800.0,Bayes-MAP,0.0456098552478529,0.0026358650038225,0.3153268731880547,0.0821350237808213,0.0301913269938761,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0535358671479149,0.0053917920846732,0.28078412421855,0.0696244290916297,0.0383794877653544,1.0,,,,,,,,
random,800.0,Avg,0.1452863538339031,0.0054588335992035,1.0649029604881408,0.2859344751871434,0.1296950601602565,,,,,,,,,
random,1600.0,BayPIRE,0.0150285682499657,0.0011045200904385,0.1516011319008957,0.0433733815454123,0.0086087046125856,1.0,0.8470000000000001,0.0577636353716606,1.0,0.018462153524031,0.995,0.0933649509803921,1.0,0.0199142156862744
random,1600.0,Bayes-MAP,0.0306273199331822,0.0021921898111424,0.2405976976251609,0.0581298701727401,0.0176483729079634,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0405181517210737,0.0028240856088403,0.2153645632330312,0.0576770307385632,0.0283746960500076,1.0,,,,,,,,
random,1600.0,Avg,0.0905089726439137,0.0075882428602542,0.7330455223573638,0.263790350114543,0.07711664573756,,,,,,,,,
