experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0208064659992981,0.0069748345421467,0.2754903225798171,0.0746953742976207,0.0158872435647679,1.0,0.998,0.1914653710369948,1.0,0.0796389979412751,1.0,0.2181372499999999,1.0,0.0802357499999999
balanced,200.0,Bayes-MAP,0.0619420451301549,0.0040082191925084,0.4387569192664742,0.1381679688680298,0.0485515357806999,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0888741622743098,0.0100454410930372,0.3592750749208725,0.0973908792388503,0.07514795711021,1.0,,,,,,,,
balanced,200.0,Avg,0.2805799942474,0.0115806156834435,3.807063371077605,0.2943826492385714,0.2673199942474,,,,,,,,,
balanced,400.0,BayPIRE,0.0173148675907125,0.0026822464346028,0.2113658000612214,0.0582120036703822,0.013509165465348,1.0,0.977,0.1067829141464318,1.0,0.0469825493484638,0.999,0.1407467499999999,1.0,0.0481437499999999
balanced,400.0,Bayes-MAP,0.0515478047980095,0.0056113272513799,0.3599355107639929,0.1057580504428442,0.0383023142006174,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0643506269240984,0.0057711721077975,0.3464992375146049,0.0864534429431095,0.0499563370040443,1.0,,,,,,,,
balanced,400.0,Avg,0.1670599971872,0.0117819255624318,2.022950410500332,0.2481927066408333,0.1553999971872,,,,,,,,,
balanced,800.0,BayPIRE,0.01725469852332,0.0019360094567121,0.1821858624769047,0.0520380328283527,0.0119370653894696,1.0,0.902,0.0770233380886225,0.8,0.0299667267808245,0.991,0.1137127499999999,0.8,0.0311934999999999
balanced,800.0,Bayes-MAP,0.0420441411968412,0.002413397514385,0.2851569030532923,0.0770395849203443,0.0267670706662348,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0573913256038072,0.0031153175340619,0.3140526446718825,0.0761454905809121,0.0433050689821564,1.0,,,,,,,,
balanced,800.0,Avg,0.1188049993744,0.0103163691164422,0.9622005073418204,0.223614809382826,0.1040449993744,,,,,,,,,
balanced,1600.0,BayPIRE,0.0160483520840771,0.0010264608393314,0.1683355115594579,0.049760206136966,0.0086520941618189,1.0,0.808,0.0534734094190758,1.0,0.0184643800958134,0.984,0.0932322499999999,1.0,0.0200924999999999
balanced,1600.0,Bayes-MAP,0.0315575019212701,0.0024159542668715,0.23172194509136,0.0606825546582249,0.0167974126715287,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.043436367270452,0.0035240518503514,0.2358934729115373,0.0642525305284669,0.0299935608862446,1.0,,,,,,,,
balanced,1600.0,Avg,0.0832349999832,0.0043171524785204,0.6350545019708924,0.2121238839164285,0.0694049999832,,,,,,,,,
random,200.0,BayPIRE,0.0239089097867624,0.0072975521990584,0.3194939817923705,0.0928985256792388,0.0201833122915711,1.0,0.996,0.1872624385085111,1.0,0.099563352491286,1.0,0.2138089999999998,1.0,0.1002524999999999
random,200.0,Bayes-MAP,0.0584248361392109,0.0079363001436488,0.4567951745423756,0.1463324637496319,0.0460816707529855,1.0,,,,,,,,
random,200.0,PE-Rasch,0.083416722191727,0.0156993596197223,0.4089202384855441,0.1142338488912318,0.0674935022456718,1.0,,,,,,,,
random,200.0,Avg,0.2415049946061,0.0188804242985481,3.7516531968953353,0.290522249645034,0.2268849946061,,,,,,,,,
random,400.0,BayPIRE,0.0196425495652407,0.0045666198962931,0.237167050858314,0.0662223379840533,0.0146893221414785,1.0,0.956,0.1242588605011771,0.9,0.0588088759407721,0.996,0.1554812499999999,0.9,0.0595569999999999
random,400.0,Bayes-MAP,0.0530060552292745,0.0049005116083209,0.3775536096984094,0.1132326354072648,0.0378951633517885,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0723562208456315,0.0112651626187277,0.3823064185465105,0.0966248955895669,0.056985748520429,1.0,,,,,,,,
random,400.0,Avg,0.1995757180662214,0.0146598947367806,2.5655591972242067,0.2650556576653908,0.1850692894947929,,,,,,,,,
random,800.0,BayPIRE,0.0168734236938015,0.0018947063517105,0.1885728043765767,0.0535831315065605,0.0113789839607805,1.0,0.921,0.0773588214979341,1.0,0.0330982955182421,0.994,0.1152969999999999,1.0,0.0343747499999999
random,800.0,Bayes-MAP,0.0442628226446917,0.0033238115456515,0.2993230261840257,0.0833491327117681,0.0295884205450346,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0601031628322023,0.0045847319860979,0.3150880711264759,0.0788657963538028,0.0462190119446077,1.0,,,,,,,,
random,800.0,Avg,0.1326803585405034,0.0080030133704914,1.1512785203990827,0.2296573608316209,0.1181824076025525,,,,,,,,,
random,1600.0,BayPIRE,0.0161235371717247,0.0012984381450829,0.1727674321425857,0.0504169336400621,0.0093141166703217,1.0,0.764,0.0523431636792719,0.9,0.0193885774829384,0.986,0.0934097499999999,1.0,0.0209622499999999
random,1600.0,Bayes-MAP,0.0318405796491373,0.0037384163302174,0.2367618905152017,0.0624711266853552,0.017500618216014,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.043785200787989,0.005444125466101,0.2404799808415102,0.0651411282149379,0.02985550457994,1.0,,,,,,,,
random,1600.0,Avg,0.0872671885838386,0.0066510749757851,0.6747050074022365,0.2137024524688443,0.0727277677998196,,,,,,,,,
