benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,100,200,10000,0.23219999459300003,0.29199847182574634,0.21699999459300004,3.6916838285726867,0.2861698375759637,0.3341095193486358,0.11633333333333339,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.10475136558145819,0.1394248956234248,0.08712778671195191,0.4793557166872294,0.13469577095561056,0.026446591477175447,0.0019681544586142054,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.060753975386394064,0.0698146130474282,0.04886303408852224,0.4654828054766105,0.15063603589695396,0.3043984830267428,0.08273961226894228,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,79.68703534710104,0.0011170489175837829,-1.2535714565301481,0.30934697166880937,0.5331516559727701,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.02084550293447686,0.026679874756807956,0.016615894813082163,0.33260568378450056,0.09864563678188219,0.19768187340854065,0.04837419091945101,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1711.0,0.0,1000.0,1000.0,4.0,0.97,-2.276,0.42,2.865,1.0,0.21184968666171397,0.21193943807751464,1.0,0.2380249999999999,0.24,1.0,0.10759163622868465,1.0,0.10711999999999991
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,100,200,10000,0.2150833286153334,0.27160760561899683,0.19978332861533338,3.214602413294986,0.27410104562630394,0.3791423153752584,0.13308333333333336,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.06550085656383926,0.10131941203851891,0.050560862010825686,0.3789928890220292,0.10599597666635258,0.01805994535946113,0.0006220684712331112,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.0480630521405949,0.05712672349733082,0.033740630235200804,0.4447702681405583,0.14032982182646517,0.2950288431353669,0.07652539748779946,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,79.76685239378965,0.0003323161304518921,-1.1731632542710366,0.27216501331971915,0.5876580971004723,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.019365428999473036,0.024313310623687082,0.01772024965413596,0.31529268855041903,0.09125830272732853,0.12816204412580387,0.023813430566115776,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,2688.0,0.0,1000.0,1000.0,4.0,0.97,-2.762,0.342,3.67,1.0,0.15019832027011953,0.15095399972248613,1.0,0.17993249999999986,0.17999999999999997,1.0,0.09775877893908883,1.0,0.09770499999999996
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,100,200,10000,0.222649995283,0.2730384024778974,0.20794999528300007,3.200084907374767,0.2750509889573697,0.36161037041058436,0.12550000000000003,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.06179743981685313,0.08454858517561395,0.04539565481328958,0.34592769817619345,0.09519196920063752,0.019042962115233045,0.0007126212870311701,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
