benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Avg,0.2415049946061,0.018880424298548117,0.2980609341381497,0.026411646985379993,0.22688499460610007,0.01927062181764972,3.7516531968953353,0.4768847545967471,0.29052224964503404,0.01700490758263734,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,BayPIRE,0.02390890978676247,0.0072975521990584135,0.02864534940994063,0.007512066063227932,0.020183312291571193,0.009482549555055841,0.31949398179237054,0.011179771658504246,0.09289852567923886,0.00440888077474701,1.0,0.9960000000000001,0.006992058987801023,0.18726243850851115,0.023608227297175568,0.1870778846558361,0.02350704281620001,1.0,0.0,0.21380899999999986,0.02162718184882677,0.21401249999999994,0.02316969779331052,1.0,0.0,0.09956335249128609,0.004475196169911085,1.0,0.0,0.10025249999999994,0.004848161593154002
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Bayes-MAP,0.05842483613921097,0.007936300143648883,0.06875023964761397,0.007929584118522652,0.04608167075298557,0.010943765639363319,0.4567951745423756,0.010103159468243592,0.14633246374963196,0.00521115433111318,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,PE-Rasch,0.08341672219172705,0.015699359619722363,0.11839024217698076,0.02039330006184093,0.06749350224567184,0.015648402662439276,0.4089202384855441,0.03984398727665904,0.11423384889123181,0.012399937715189659,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Avg,0.19957571806622149,0.014659894736780615,0.24987026267121276,0.023166700233441587,0.18506928949479295,0.01571857734047854,2.5655591972242067,0.4140893434795557,0.26505565766539085,0.012205550029470885,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,BayPIRE,0.019642549565240773,0.004566619896293148,0.02429943521473997,0.004802040793126889,0.014689322141478578,0.006457449028363408,0.23716705085831405,0.016910179460036676,0.06622233798405336,0.005989069745671628,1.0,0.9560000000000001,0.09191783770786217,0.12425886050117714,0.026517947210113548,0.12455238309758274,0.0263471201172084,0.9960000000000001,0.012649110640673537,0.15548124999999993,0.022498158697806046,0.156,0.022705848487901865,0.9,0.31622776601683794,0.05880887594077211,0.004170518647404822,0.9,0.31622776601683794,0.05955699999999995,0.004184173687174613
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Bayes-MAP,0.053006055229274575,0.0049005116083209125,0.06449792387100864,0.005425103016668527,0.037895163351788566,0.005531664200308032,0.3775536096984094,0.007511754667128495,0.11323263540726483,0.003974808282863636,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,PE-Rasch,0.0723562208456315,0.01126516261872772,0.1110818715488957,0.022063650838123172,0.05698574852042907,0.011970224296867357,0.3823064185465105,0.04578394568684002,0.09662489558956697,0.010502590298379764,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,Avg,0.13268035854050347,0.008003013370491488,0.16557849633286809,0.011940185847611586,0.11818240760255257,0.007376212787256197,1.1512785203990827,0.15408195601244035,0.2296573608316209,0.004323865957611355,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,BayPIRE,0.016873423693801515,0.0018947063517105256,0.021071397817337828,0.0020875729844053417,0.011378983960780565,0.0027528494897085163,0.18857280437657672,0.006463330832664498,0.053583131506560536,0.002238614868190521,1.0,0.921,0.03984692933938295,0.07735882149793417,0.008880150867985775,0.07738484005352876,0.008877724069129279,0.994,0.0051639777949432294,0.11529699999999994,0.006522035384414576,0.11600000000000002,0.006992058987801002,1.0,0.0,0.03309829551824217,0.0015253359946601627,1.0,0.0,0.03437474999999997,0.0014686896323291474
