benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,135,200,13500,0.26040740277703706,0.33448299022383937,0.25181481018444457,4.563959184444978,0.3603195443157895,0.367368010396771,0.13250000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,135,200,13500,0.11191312360988617,0.14739724364524928,0.10167911590391085,0.34675772611177713,0.09819581181082104,0.021555338585630395,0.0006076342044132464,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,135,200,13500,0.06632189253344378,0.08801176258524093,0.05496608000205655,0.5236175070202695,0.1698078024467923,0.38845549676600377,0.10632332245133867,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,100.16847136017326,0.0019425883960708878,0.34124877564991113,0.3725221385332673,0.48265622615327564,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,135,200,13500,0.014469440187881499,0.01732662894690778,0.008896433936785977,0.2829362567578007,0.06966657634482626,0.19733302830399943,0.036262577814063404,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1818.0,0.0,1000.0,1000.0,4.0,0.97,0.767,0.405,3.366,1.0,0.21598322786093235,0.21660025322887647,1.0,0.23604629629629614,0.23703703703703705,1.0,0.0895553881548039,1.0,0.08949074074074059
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,135,200,13500,0.2385185143807408,0.3141260376852506,0.22992592178814825,4.118016827626461,0.3467293192736842,0.4020253689247683,0.14500000000000005,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,135,200,13500,0.08893712016021783,0.12190405491584973,0.07802198483186737,0.3676962108947949,0.09813807293361045,0.023718901831027074,0.0007800033781109803,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,135,200,13500,0.0599566000617934,0.081523659651523,0.047794141786354896,0.5268477243268358,0.17108602787775884,0.39875552903076505,0.11126148253462068,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,101.443623623523,0.0018932888591774329,0.35098418252517805,0.3442970288243301,0.4859943773950032,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,135,200,13500,0.011973696994275293,0.014814783252995702,0.0077897752722196414,0.3060421087438205,0.08014144493567267,0.19781896761229512,0.03664920451181488,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2169.0,0.0,1000.0,1000.0,4.0,0.97,0.733,0.341,3.375,1.0,0.1904727031858431,0.190416378488217,1.0,0.21447962962962955,0.2148148148148148,1.0,0.09394774318023036,1.0,0.09372222222222226
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,135,200,13500,0.23466666272592593,0.31217454324818683,0.22459258865185192,4.015538629620892,0.3454135299263158,0.41588831233596724,0.15000000000000002,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,135,200,13500,0.10216380859442649,0.13943563861459476,0.09038819509314772,0.3138494553759504,0.08693291110660815,0.022202073733630125,0.0006357687633111135,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Bayes-MAP,100,135,200,13500,0.06371977718316657,0.08331067076342676,0.05306901982780708,0.5157368286113854,0.16547229643787761,0.39892610486532915,0.11042476035238799,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,101.99878455519621,0.00760433846819584,0.2771205397176572,0.34591071261504136,0.49309681755236207,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,BayPIRE,100,135,200,13500,0.012266809361184622,0.015381365350223098,0.005799356460956223,0.2653434229728407,0.06221811200677537,0.19549178204241052,0.03571913642058727,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1940.0,0.0,1000.0,1000.0,4.0,0.97,0.67,0.363,3.402,1.0,0.19993219593859687,0.2001050264739664,1.0,0.22233518518518502,0.2222222222222222,1.0,0.09340835093399058,1.0,0.09335185185185169
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,Avg,100,135,200,13500,0.2767777727533333,0.34751655970009376,0.26729629127185195,4.88941176275517,0.3694924762631579,0.3396421235743732,0.12250000000000004,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,PE-Rasch,100,135,200,13500,0.10739946203214519,0.1460662146629352,0.09731494963159606,0.3329186512588592,0.0949978139645873,0.02048080032555739,0.000542963458228605,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,Bayes-MAP,100,135,200,13500,0.07021865559478072,0.0918319740789969,0.05844311054658753,0.5264516995234891,0.17152171209309236,0.38113823683920134,0.10344657845496374,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,98.89915838301754,0.0037824808288288297,0.3646242504921408,0.38561326607405594,0.47803984505019453,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,BayPIRE,100,135,200,13500,0.013124801958336142,0.01595597738350303,0.006247131056819991,0.2801955780176193,0.06918322066606486,0.1871999470350039,0.03281398380426157,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1616.0,0.0,1000.0,1000.0,4.0,0.97,0.745,0.416,3.447,1.0,0.22065875519733433,0.22072941589896927,1.0,0.2403259259259259,0.23722222222222153,1.0,0.08828430761313599,1.0,0.08859444444444453
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,Avg,100,135,200,13500,0.2919259206059259,0.36015580432115324,0.2822962909762964,5.176090364400206,0.37868420525263163,0.3188477084575749,0.11500000000000003,0.014814814814814815,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,PE-Rasch,100,135,200,13500,0.1304890546781162,0.16119921173268734,0.11944157985382141,0.392776718263491,0.11354989748919855,0.02217534191628355,0.000708916045900443,0.014814814814814815,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
