experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0142921449222417,0.0028037799473002,0.2791931671251587,0.0683017058884503,0.0094958111473813,1.0,1.0,0.2104433480835935,1.0,0.0894841156722338,1.0,0.2312288888888888,1.0,0.0899146296296296
balanced,200.0,Bayes-MAP,0.0711520718819074,0.0078875812213286,0.5250780396239688,0.1703647809169334,0.0598340968062239,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1151154594914629,0.0179013180126694,0.3505028290194253,0.1000120885171207,0.1040914023047404,1.0,,,,,,,,
balanced,200.0,Avg,0.2714222173948148,0.0243823323178678,4.7643578432498765,0.3669511230305263,0.2617185136911112,,,,,,,,,
balanced,400.0,BayPIRE,0.0117969125161083,0.0019763101241147,0.1692393137409641,0.0397004844708324,0.0094437176863226,1.0,0.994,0.0902099615959354,1.0,0.0464190533661234,1.0,0.1181831481481481,1.0,0.0469183333333333
balanced,400.0,PE-Rasch,0.0521429758165844,0.0119912430920783,0.2344937652326889,0.059243829532867,0.041400745808953,1.0,,,,,,,,
balanced,400.0,Bayes-MAP,0.0638320747034721,0.0032723388509066,0.4168283424193629,0.121122827285957,0.0537030850029893,1.0,,,,,,,,
balanced,400.0,Avg,0.1968481469642963,0.010481309704612,1.7418935608619257,0.3053520980760306,0.1870851840013334,,,,,,,,,
balanced,800.0,BayPIRE,0.0107079097547083,0.0006439213795032,0.1373414199961813,0.0349878777923182,0.0076924163476208,1.0,0.958,0.0557716829835908,1.0,0.0277106617779488,1.0,0.0872642592592592,1.0,0.0285146296296296
balanced,800.0,PE-Rasch,0.0437895257053904,0.0067251341251662,0.2117785441640857,0.0527756830139962,0.0339537960126924,1.0,,,,,,,,
balanced,800.0,Bayes-MAP,0.046051804810254,0.0034214234897639,0.3163386523323391,0.0801667747461458,0.0366239722008527,1.0,,,,,,,,
balanced,800.0,Avg,0.1371583332392592,0.0099294372917919,0.8324968076231073,0.2768975146722834,0.1281805554614815,,,,,,,,,
balanced,1600.0,BayPIRE,0.0109578937984112,0.001661716214792,0.1173143088493608,0.0321648538003532,0.007301608025098,0.8,0.8320000000000001,0.0389601395528208,0.9,0.0168847954042679,0.998,0.0713931481481481,0.9,0.0178161111111111
balanced,1600.0,Bayes-MAP,0.0307994822491843,0.0021506961236242,0.2347027764936317,0.0529408161958568,0.0215229430954377,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0345272454457439,0.0016450035765643,0.1632966494802198,0.0436445286959545,0.0259855781457839,1.0,,,,,,,,
balanced,1600.0,Avg,0.0905481481393333,0.0051884314126883,0.7281639427776355,0.26177186186,0.0804287036948889,,,,,,,,,
random,200.0,BayPIRE,0.0235986900549301,0.0102998892338245,0.3550538502429914,0.1041029049461253,0.0221346601825323,1.0,1.0,0.2059456717029263,1.0,0.1134030907688604,1.0,0.2273818518518517,1.0,0.1139742592592592
random,200.0,Bayes-MAP,0.0691281100250666,0.0099016281943755,0.5442943303117799,0.1798322819100631,0.0597345633807106,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1164272846235553,0.0154727173463009,0.4579090526101095,0.1381941452587942,0.1065841034384056,1.0,,,,,,,,
random,200.0,Avg,0.2857121910319365,0.0322822189043099,4.688723881353384,0.3713338300775878,0.2760858947356402,,,,,,,,,
random,400.0,BayPIRE,0.0157048072167618,0.0057616599082129,0.2092164388927911,0.0537529805207659,0.0130859954752747,1.0,0.993,0.1172794081780975,1.0,0.0647054536237426,1.0,0.1423429629629629,1.0,0.0652762962962962
random,400.0,Bayes-MAP,0.0665624556982098,0.0029829373889213,0.4465133472227972,0.1356696592398912,0.056402616608665,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0800299976775332,0.0083124606695275,0.3124310699184759,0.0849377506396751,0.0703477405695816,1.0,,,,,,,,
random,400.0,Avg,0.232084535706279,0.0137304726671454,2.9184004046598546,0.3330025601383074,0.2219194563411996,,,,,,,,,
random,800.0,BayPIRE,0.0125744045504915,0.0027769011370903,0.1465960905190642,0.0375580250436356,0.0094300086577637,1.0,0.937,0.0640746061866935,0.9,0.0327014396824919,0.999,0.0939842592592592,0.9,0.0331312962962963
random,800.0,Bayes-MAP,0.0485462818612795,0.0045741310226213,0.3334934094699601,0.0880458698779513,0.0381971609687472,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0491180871224885,0.0071362680863902,0.2275421318574195,0.0579753843225572,0.039835061909243,1.0,,,,,,,,
random,800.0,Avg,0.1478572150470814,0.0124309644659459,1.0814491774615402,0.2841405641433238,0.1375158129306793,,,,,,,,,
random,1600.0,BayPIRE,0.0108991023728644,0.0008575893158628,0.1218366778364669,0.0327101962873723,0.0066287429609138,0.6,0.853,0.0424704574192409,1.0,0.0177484635483676,0.995,0.0725733333333333,1.0,0.0189135185185185
random,1600.0,Bayes-MAP,0.0318904623086574,0.0021102211549502,0.2414775770497074,0.0553673331132822,0.0222486308782005,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0356063249672007,0.0040510274570309,0.1811519008455639,0.0456190904474635,0.02619663474463,1.0,,,,,,,,
random,1600.0,Avg,0.096063521786259,0.0052692663724628,0.7317605639534632,0.2634232662855623,0.0866188852136813,,,,,,,,,
