benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,135,200,13500,0.288448143205926,0.3478335421283791,0.27822592098370375,4.725080323645201,0.36950567822205516,0.3896072780505493,0.13650000000000004,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,135,200,13500,0.11243055923488032,0.14646696767312878,0.10305614409336825,0.4740255389279316,0.14422964174353753,0.020285135828344316,0.0007318619509105851,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,135,200,13500,0.07504815545935281,0.08846985976851304,0.0653124825918234,0.550777798959374,0.18362595608524465,0.354347409747448,0.09354887230533471,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,93.87095763876839,0.0005176607117277063,0.4706588764513355,0.3401983208786409,0.5077400654163264,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,135,200,13500,0.016217044822359354,0.019236917404882675,0.013001408367820124,0.36035924104446193,0.10753949497321112,0.15906284093105127,0.02826578233675197,0.014814814814814815,0.86,0.7703703703703704,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1866.0,0.0,1000.0,1000.0,4.0,0.97,0.885,0.394,3.699,1.0,0.20897140019622337,0.20950984893115568,1.0,0.22922222222222208,0.22962962962962963,1.0,0.114874046600694,1.0,0.11482592592592578
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,135,200,13500,0.2770185139681482,0.34105159704184895,0.26644073619037045,4.470056663687339,0.36457923116190477,0.4246107438737564,0.14875000000000005,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,135,200,13500,0.11677978181633328,0.15485705921202125,0.10705887338976144,0.46896203866993164,0.1429653083595496,0.030675745995879505,0.0032097700171521255,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,135,200,13500,0.061306064552847095,0.07400059362968084,0.050403558574333096,0.5421537031990687,0.17863126070606825,0.37689209810550794,0.10238423579164864,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,97.77882055244501,0.00045527587448533494,0.29278210627268175,0.3192502891444342,0.5089545026813967,236.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,135,200,13500,0.016392409325661036,0.020463772670621723,0.014961934325823677,0.36347112492606964,0.10651914202131936,0.20036862713913753,0.04243637732364517,0.014814814814814815,0.87,0.762962962962963,False,0,6,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1614.0,0.0,1000.0,1000.0,4.0,0.97,0.538,0.378,3.332,1.0,0.21898154874765433,0.21839849605153785,1.0,0.24026296296296287,0.23722222222222186,1.0,0.11909774986688021,1.0,0.119788888888889
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,135,200,13500,0.21184444157407406,0.2913270648580079,0.20295555268518517,3.222766593800523,0.33223808602656646,0.5063000108344221,0.17691666666666667,0.014814814814814815,0.82,0.8,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,135,200,13500,0.08791069968588375,0.12161920360092719,0.07746201102989224,0.393414185481108,0.11845205006815464,0.021754063360093837,0.000730335311350977,0.014814814814814815,0.82,0.8,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
