benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Avg,0.28571219103193657,0.03228221890430994,0.34969881928428304,0.02489865513281357,0.27608589473564027,0.032202335356293986,4.688723881353384,0.6419805320532226,0.37133383007758786,0.017402728641919475,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,BayPIRE,0.023598690054930146,0.010299889233824536,0.026723797597695175,0.010057352961045717,0.022134660182532313,0.011587289852880262,0.3550538502429914,0.01857907460466673,0.10410290494612535,0.007818260353331163,1.0,1.0,0.0,0.20594567170292638,0.019034549848762045,0.2061010413190322,0.01923899166475828,1.0,0.0,0.22738185185185172,0.01786314273763641,0.2267129629629628,0.017191288760194687,1.0,0.0,0.11340309076886043,0.003319535822069782,1.0,0.0,0.11397425925925926,0.003462924830889732
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Bayes-MAP,0.06912811002506664,0.009901628194375562,0.08357826021828672,0.010120292775772973,0.059734563380710634,0.010629941151238914,0.5442943303117799,0.00948057634646598,0.17983228191006315,0.0051676972514440095,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,PE-Rasch,0.1164272846235553,0.015472717346300919,0.1518881368534194,0.016765588596571398,0.10658410343840567,0.015817493110465618,0.4579090526101095,0.044988855826135196,0.1381941452587942,0.012129346378293573,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Avg,0.232084535706279,0.013730472667145478,0.28853036582491454,0.014817828037741612,0.22191945634119964,0.013486958761870548,2.9184004046598546,0.34615641367589983,0.3330025601383074,0.009016055128115005,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,BayPIRE,0.015704807216761887,0.0057616599082129395,0.018640228568373475,0.005937209418988298,0.013085995475274744,0.007160611561896878,0.20921643889279112,0.012814166495746604,0.0537529805207659,0.0050296549118149245,1.0,0.993,0.02213594362117863,0.11727940817809754,0.01203339929925715,0.11752590579945092,0.012419107375964201,1.0,0.0,0.14234296296296295,0.010753023975382454,0.14223148148148146,0.010349815203408455,1.0,0.0,0.06470545362374269,0.0032546026854983986,1.0,0.0,0.06527629629629628,0.003364067592914839
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Bayes-MAP,0.06656245569820986,0.002982937388921375,0.08168541829695448,0.0030006232386802357,0.056402616608665,0.003097094791618809,0.44651334722279723,0.0060759832564531375,0.13566965923989124,0.0031629228904535133,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,PE-Rasch,0.08002999767753324,0.008312460669527505,0.1152854534346863,0.011766047885441989,0.07034774056958161,0.00827372491733776,0.3124310699184759,0.03190963405142342,0.0849377506396751,0.00875844585256941,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,Avg,0.14785721504708144,0.012430964465945977,0.18661342959701016,0.015256114693789949,0.13751581293067933,0.012143462086352672,1.0814491774615402,0.12708106258073168,0.2841405641433238,0.005978562952157795,,,,,,,,,,,,,,,,,,,,,
mmlu:anatomy,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,BayPIRE,0.012574404550491561,0.0027769011370903274,0.015388547887059506,0.0029240079949943635,0.009430008657763733,0.0038748464676833785,0.14659609051906425,0.009173145812089393,0.03755802504363565,0.0029448799756855363,1.0,0.9369999999999999,0.077610136794966,0.06407460618669358,0.008116271106693374,0.06407329949967958,0.00821327304808603,0.999,0.003162277660168374,0.09398425925925924,0.006873031510733713,0.09335185185185184,0.006256500962848575,0.9,0.31622776601683794,0.03270143968249194,0.002028276867166997,0.9,0.31622776601683794,0.03313129629629632,0.002135928500170745
