benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,152,200,15200,0.2915131527631579,0.34305977003035365,0.2770394685526315,4.6591145328775765,0.35486666196933336,0.3327106518687738,0.12000000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,152,200,15200,0.14126462947566398,0.17694645604754639,0.12607985908376435,0.5843591529556538,0.1623512475439109,0.02226942670693942,0.0006275630292790929,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07875392069096454,0.09291325491602044,0.06366166441720174,0.5559369342063278,0.18567439437966726,0.39245306444461986,0.10957328616313029,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,99.87685068632817,0.00039198554053875234,0.4837399925989409,0.39457637598609,0.4256597097334861,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,152,200,15200,0.027208561437003464,0.033148041747434145,0.022874524183131774,0.4082373690980428,0.12035375133954422,0.2533333047550186,0.054791575809729286,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1084.0,0.0,1000.0,1000.0,4.0,0.97,0.861,0.466,2.732,1.0,0.28892469506462043,0.2876000326725453,1.0,0.30504440789473675,0.302796052631578,1.0,0.0968661039458083,1.0,0.09468421052631582
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,152,200,15200,0.29703946825657895,0.3443040354196671,0.27888157351973686,4.794281881205066,0.35583332846666665,0.3119162367519754,0.11250000000000003,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,152,200,15200,0.14798819730113397,0.18672885288268654,0.1291018138426635,0.5741206848952611,0.1587429452830244,0.02181374996047374,0.0006159895852814992,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07684613530306703,0.09636868665402823,0.05663526935641415,0.5567720872917792,0.18671979629468696,0.38001946900777483,0.10588744292005386,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,96.9836121986438,0.000901997263447001,0.6618982679311872,0.3977331185887882,0.41732723405660904,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,152,200,15200,0.027107873447996114,0.034432659275766324,0.020549751457482793,0.4081699318899202,0.1203571390402256,0.25764392055924623,0.05770186503396504,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1046.0,0.0,1000.0,1000.0,4.0,0.97,1.212,0.518,2.607,1.0,0.30908927783943985,0.30786472275654264,1.0,0.32320559210526306,0.32236842105263164,1.0,0.09864562677994337,1.0,0.09947532894736844
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,152,200,15200,0.32046052059210517,0.37159755375513986,0.3017763100657894,5.2782141182535,0.3757333279186667,0.2911218216351771,0.10500000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,152,200,15200,0.1554136399757017,0.1958540416490483,0.13596762534278423,0.607315860086383,0.1699642060594128,0.0220357951686956,0.0006579523151784606,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Bayes-MAP,100,152,200,15200,0.08814955996612034,0.10304971615671685,0.06931152287107722,0.5581872956704503,0.18655693469239065,0.3856593369424774,0.1063175138899911,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,99.03047794660313,0.00037563620736920627,0.46213572160426575,0.41619570303917863,0.42009580786820533,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,BayPIRE,100,152,200,15200,0.028233539138946665,0.033837233926335135,0.01888535629690622,0.4028939632052638,0.11843334448803847,0.24922344974974578,0.053222941072437316,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1037.0,0.0,1000.0,1000.0,4.0,0.97,0.904,0.502,2.769,1.0,0.31230070370294494,0.3098486236693377,1.0,0.32617434210526297,0.3225328947368418,1.0,0.09495102884743567,1.0,0.09605921052631583
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,Avg,100,152,200,15200,0.32401315177631573,0.371686065425947,0.3112499938815789,5.438379174857455,0.37593332771466664,0.26339593481277923,0.09500000000000006,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,PE-Rasch,100,152,200,15200,0.16235078377095363,0.19480716524659392,0.14708762587621677,0.63912210884406,0.17878882369293267,0.020703311600454972,0.0005752004384185815,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,Bayes-MAP,100,152,200,15200,0.08078679237288335,0.09539770653706658,0.06696952674780002,0.5621128000819502,0.1890508789607878,0.37194594063920866,0.10109780302088478,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,96.5461882326333,0.0010730760763733927,0.5677576046899199,0.42571154250174076,0.41791186035717526,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,3,two_way_balanced,BayPIRE,100,152,200,15200,0.020580562480634022,0.024926463483704846,0.00796960378594765,0.4082581571016527,0.12125169237673727,0.22734076900141012,0.04605915652569669,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,938.0,0.0,1000.0,1000.0,4.0,0.97,1.186,0.547,2.913,1.0,0.31013855588537675,0.3078272822581843,1.0,0.32458717105263146,0.32236842105263164,1.0,0.09523869414800124,1.0,0.0956677631578946
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,Avg,100,152,200,15200,0.270328942631579,0.31725468107301813,0.25440788999999997,4.182113767567235,0.3374666625173333,0.3604365386911715,0.13000000000000003,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,PE-Rasch,100,152,200,15200,0.12762132780762805,0.16182285099444416,0.11072713988762241,0.5479281004586052,0.15060980691720444,0.02398110453959836,0.0007555216769001297,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,Bayes-MAP,100,152,200,15200,0.06933238598468902,0.08638774970702777,0.0512211994962541,0.5503903800929929,0.18367722590716118,0.3959102961755954,0.11267236706018935,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,99.39717424425649,0.006936949144721254,0.6216165722214636,0.3706935172200805,0.4214943087934583,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,4,two_way_balanced,BayPIRE,100,152,200,15200,0.019754825559983348,0.02530493046978155,0.0107426378519134,0.40632381031542064,0.11935195515996003,0.27918019280280737,0.06571313622639838,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1394.0,0.0,1000.0,1000.0,4.0,0.97,1.059,0.41,2.465,1.0,0.26904455735227595,0.2683513090203049,1.0,0.2874144736842104,0.28305921052631516,1.0,0.0977446590882296,1.0,0.09954769736842095
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,5,two_way_balanced,Avg,100,152,200,15200,0.31203946825657897,0.36651704213971215,0.29730262615131575,5.089012773088329,0.3718333281466667,0.3119162367519754,0.11250000000000003,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,5,two_way_balanced,PE-Rasch,100,152,200,15200,0.16605662450173952,0.21008649980973648,0.14931467311294797,0.5538407474292865,0.16016288927815936,0.02264768783715999,0.0006602492855030345,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,5,two_way_balanced,Bayes-MAP,100,152,200,15200,0.09147401707992943,0.10826637259934038,0.07673717497466627,0.5508897959721637,0.1828538633582181,0.3981684173750578,0.11085817333136117,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,101.43535879337477,0.0007258867644997262,0.35581400608200603,0.41799998661057997,0.4173844428473053,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,5,two_way_balanced,BayPIRE,100,152,200,15200,0.042471470317287034,0.05016013301825836,0.03934562634713287,0.40078267269812984,0.11519155379726007,0.2963302812668572,0.07003425633289927,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,788.0,0.0,1000.0,1000.0,4.0,0.97,0.661,0.59,2.375,1.0,0.3700064063213867,0.3690221904906833,1.0,0.38275164473684187,0.381578947368421,1.0,0.10102159338988037,1.0,0.10107072368421033
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,6,two_way_balanced,Avg,100,152,200,15200,0.27914473180921046,0.32695646864890265,0.2641447318092105,4.417980837308334,0.343899995572,0.33964212357437323,0.12250000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,6,two_way_balanced,PE-Rasch,100,152,200,15200,0.1392953043033238,0.1748657423791463,0.12284381607325673,0.6103607439686957,0.1662881281983518,0.024154798099973025,0.0007691691721843723,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,6,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07187721589709514,0.0904234492214258,0.05327483866725834,0.5596000312610705,0.18807108628413038,0.3935970450155257,0.1120348291610669,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,98.81846797493314,0.0017277381345551656,0.6553020527148845,0.3829981220535782,0.41235914190273,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,6,two_way_balanced,BayPIRE,100,152,200,15200,0.02409288932522132,0.031106135300845123,0.018556555398322173,0.435179145604788,0.13188504806980164,0.30603308603433904,0.07628510451258225,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,889.0,0.0,1000.0,1000.0,4.0,0.97,1.074,0.432,2.233,1.0,0.2974285316412831,0.2951375455803318,1.0,0.31361513157894716,0.3157894736842105,1.0,0.1018177975893021,1.0,0.10256743421052616
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,7,two_way_balanced,Avg,100,152,200,15200,0.3042763101644737,0.352144565364282,0.2888815733223684,4.975678153580799,0.3614333282546667,0.29805329334077646,0.10750000000000004,0.013157894736842105,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,7,two_way_balanced,PE-Rasch,100,152,200,15200,0.16026744192187858,0.2015264052913242,0.1427919006187267,0.6360205739967197,0.17460128223456195,0.02208978699474907,0.0006429801581384433,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,7,two_way_balanced,Bayes-MAP,100,152,200,15200,0.07970289112010712,0.09629656300715123,0.06208603310018096,0.5628287413080008,0.18946439919068406,0.3843824936614294,0.10725944570729684,0.013157894736842105,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,97.95222959324258,0.002832965020941318,0.601512126748674,0.414329716589766,0.40816354518598413,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
