experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0282354842072011,0.0092064034571083,0.4108743367209906,0.121432831746441,0.0200591681933249,1.0,1.0,0.3142073329740804,1.0,0.0985911699528233,1.0,0.3291749999999999,1.0,0.0988467105263157
balanced,200.0,Bayes-MAP,0.0799021776712773,0.0071697245580392,0.5574425037070867,0.1868712082883309,0.0632987393647431,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1490178611471471,0.0120695790425398,0.5882704154551545,0.1639260239862131,0.131981612506028,1.0,,,,,,,,
balanced,200.0,Avg,0.2991447314046053,0.0169152738223168,4.848973580811237,0.3585899950732,0.2836052577203947,,,,,,,,,
balanced,400.0,BayPIRE,0.0190961127271422,0.0036972092149376,0.2994441880359964,0.0845781574172104,0.0136578414767674,1.0,0.99,0.1461318311182682,1.0,0.0561359407767844,0.998,0.1684901315789472,1.0,0.0566958881578947
balanced,400.0,Bayes-MAP,0.0701590599153907,0.006070433553651,0.4734804887104548,0.1488320988889555,0.055144910470558,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0978654198109957,0.0099978371574227,0.5298266566926597,0.1292771179500743,0.0824124802146092,1.0,,,,,,,,
balanced,400.0,Avg,0.2002763141828947,0.0152674673233313,1.8848461763353488,0.2938969580840541,0.1863815773407894,,,,,,,,,
balanced,800.0,BayPIRE,0.0182015992567822,0.0011190145453491,0.2547600482849911,0.0742219407172214,0.0113279690255997,1.0,0.963,0.1064348618790261,1.0,0.0353107701642503,0.994,0.132392269736842,1.0,0.0363583881578946
balanced,800.0,Bayes-MAP,0.0556640490363105,0.0046979185466267,0.3879472602181995,0.1127931499266136,0.0404585425089334,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0792675989858426,0.0073637051305488,0.4496113145013547,0.1093288857600931,0.0640998475658991,1.0,,,,,,,,
balanced,800.0,Avg,0.1327763156189473,0.0098234256503242,0.8493118597477473,0.2653593748593055,0.1166184208821052,,,,,,,,,
balanced,1600.0,BayPIRE,0.0162589027766695,0.0016601375988036,0.2283768929482216,0.0683556479963613,0.0084715986944131,1.0,0.91,0.0764818919556196,1.0,0.0230266341647782,0.991,0.1070014802631578,1.0,0.0243983552631578
balanced,1600.0,Bayes-MAP,0.0425852242052676,0.0038099365523213,0.3186270975951061,0.0880623477571115,0.0275422298189905,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0540528520374343,0.0043702499836699,0.302249876007847,0.085546192703543,0.0404041500396831,1.0,,,,,,,,
balanced,1600.0,Avg,0.0967532894736842,0.0061307892738115,0.7036122155413724,0.2518995863970588,0.0803848684210526,,,,,,,,,
random,200.0,BayPIRE,0.026512818852342,0.0098532638637915,0.4556775298810412,0.1440693664969149,0.0190379651182109,1.0,0.999,0.3003098395218879,1.0,0.1179331379908141,1.0,0.3150003289473683,1.0,0.1180921052631577
random,200.0,Bayes-MAP,0.0708677537183839,0.0100155238266117,0.570567689302273,0.192716112810845,0.0546947237198387,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1529995485622384,0.0206119930382477,0.680699791664833,0.196696008009255,0.1369875729818597,1.0,,,,,,,,
random,200.0,Avg,0.2802863108544079,0.0235131033742331,4.527562091420354,0.3546925718920805,0.2641542055912499,,,,,,,,,
random,400.0,BayPIRE,0.0214801712000651,0.0058617005257667,0.3381391499500555,0.1006006658563851,0.0169499318114359,1.0,0.981,0.1488672688862468,1.0,0.0707779667534768,0.996,0.1710792763157893,0.9,0.071139967105263
random,400.0,Bayes-MAP,0.0680370929603891,0.0043209281719934,0.4919721170903735,0.1580368085681396,0.0519252977288339,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1015878248938981,0.0101509527271232,0.5664389927165419,0.1435557384818086,0.0851503739985922,1.0,,,,,,,,
random,400.0,Avg,0.2158810753289068,0.0153716531810719,2.6076094911245145,0.3092894411447041,0.1993301183911077,,,,,,,,,
random,800.0,BayPIRE,0.018158696173836,0.0015512621310727,0.2650667674685587,0.0771446738036201,0.0124753111543168,1.0,0.957,0.1016639556020821,1.0,0.0401542506570326,0.995,0.1288129934210525,1.0,0.0409661184210525
random,800.0,Bayes-MAP,0.0566237584683793,0.0038813060743966,0.40037612741328,0.1182902952719714,0.0399407791573494,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0796011225893506,0.0074079242502656,0.4551863145556261,0.1118841107548384,0.0642217080958574,1.0,,,,,,,,
random,800.0,Avg,0.1429677375064144,0.0111976688174145,1.0355945127697228,0.2698682784927224,0.1267231636592089,,,,,,,,,
random,1600.0,BayPIRE,0.0183930526340301,0.0020835141287555,0.2302250989726097,0.0686816947578471,0.0102511228340171,1.0,0.881,0.0800804145639404,0.8,0.0241809766982007,0.99,0.1098105263157894,0.8,0.025554769736842
random,1600.0,Bayes-MAP,0.0446865569294879,0.004491598028262,0.3250961882633508,0.0906211618601087,0.0298702403843195,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0560576829269363,0.0057271247783122,0.3105332393525524,0.0866542539934536,0.0418739963562655,1.0,,,,,,,,
random,1600.0,Avg,0.0979618170842459,0.0067590513356496,0.7524993056062435,0.2532539126446959,0.0839567244622062,,,,,,,,,
