benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,152,200,15200,0.2781883409192669,0.34050689295873127,0.26024097249821426,4.465366057705148,0.3529329360086319,0.37667109489012135,0.13240476190476197,0.013157894736842105,0.84,0.75,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,152,200,15200,0.14691701755971598,0.17587268781610713,0.13114792992431096,0.6433273523830749,0.19117746311075376,0.023112251106953648,0.0008709008034974846,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,152,200,15200,0.06780997527449824,0.08146268422885683,0.04953009644518459,0.5665287401718468,0.1909377745896171,0.37028489806792725,0.10132356418405455,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,95.67583572319546,0.0007314045703698561,0.5655430980408205,0.35665687991400985,0.4504927643475196,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,152,200,15200,0.020944278270836378,0.02638689061413536,0.012547613197873907,0.4522211107353485,0.14297890550390135,0.21946123143893836,0.04761376696841069,0.013157894736842105,0.84,0.75,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1141.0,0.0,1000.0,1000.0,4.0,0.97,1.032,0.513,3.048,1.0,0.29420019089862554,0.2937814726566615,1.0,0.3079983552631578,0.3092105263157895,1.0,0.12124823045740485,1.0,0.1215263157894736
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,152,200,15200,0.262139469131579,0.3207574470040674,0.24405525860526314,4.073283564363292,0.3395546004391112,0.40868826415037063,0.14325000000000002,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,152,200,15200,0.1382408991341457,0.17933699976796955,0.12321570636509596,0.6052995179299225,0.17901923287920277,0.02413923533117175,0.0009515249022275801,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,152,200,15200,0.06533875618094459,0.07930124991490879,0.04911551145819623,0.5604336917889834,0.18840412236042584,0.3764444009796874,0.10456215635269174,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,96.17287414360501,0.0014717025805973767,0.6481468943885549,0.3342335777621487,0.4509628514816424,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,152,200,15200,0.022735311229239316,0.02909805776028547,0.01768528058700036,0.43862532277639804,0.13851091259012077,0.2412936105029452,0.05630051090392197,0.013157894736842105,0.88,0.743421052631579,False,0,5,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1465.0,0.0,1000.0,1000.0,4.0,0.97,1.241,0.438,2.836,1.0,0.2604530625287476,0.25939178409484853,1.0,0.2772730263157893,0.2763157894736843,1.0,0.11638331702256477,1.0,0.1159342105263158
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,152,200,15200,0.24785525890986843,0.31425853643313484,0.2308815746993421,3.914153808602155,0.3354615517408889,0.38890062476110676,0.13658333333333336,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,152,200,15200,0.14501005174646087,0.18270951750921754,0.13053557901167093,0.657077911498486,0.18761985168635856,0.024728400582418174,0.0010204561798844158,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:astronomy,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Bayes-MAP,100,152,200,15200,0.0631922394417037,0.08101139128209299,0.04801127323468636,0.5659945259168936,0.19064075556801477,0.3760318412834813,0.10436832897187807,0.013157894736842105,0.84,0.7697368421052632,False,0,6,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,96.22321364234794,0.0020158298994763374,0.6149287318694274,0.3551106292428871,0.4423704838920127,253.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
