benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.25499999539400003,0.3302968296223868,0.2473999953940001,4.53081778788333,0.35852040364285714,0.367368010396771,0.13250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.08276345612061048,0.12442627469103185,0.07106871164817821,0.3524964030746525,0.09829083210667405,0.021159455813857447,0.0006731783131718174,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06131402436961252,0.07939841890360008,0.04975304670934953,0.489779751835793,0.15382077672884129,0.37534847939510846,0.10052804657359456,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,98.2498909159074,0.0008620475686678746,0.2973761569362445,0.36063954212236315,0.5815719121726807,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.017095668971898233,0.021608476009168494,0.012791654298625546,0.263024786053275,0.06691047073719551,0.18155211719602934,0.03571098934288961,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1990.0,0.0,1000.0,1000.0,4.0,0.97,0.691,0.357,3.6,1.0,0.18071234180968904,0.17987376919092812,1.0,0.21113499999999996,0.21000000000000002,1.0,0.08292725937943435,1.0,0.0842050000000002
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.28279999490400004,0.3556627546884268,0.26919999490400004,5.058179157812368,0.37653060711428565,0.3327106518687738,0.12000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.11783482054808445,0.1488070124897515,0.10295548108587867,0.38871017954672743,0.10763798327030943,0.023393828011313702,0.0009329391823225278,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07260084304247809,0.09063673274869201,0.05709217158094778,0.49898069406979817,0.15818968137927414,0.378794001682607,0.1023400365802228,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,98.5632490959766,0.0060096094689246265,0.2741298715729264,0.38027157457470323,0.5622183415578096,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.01878492630394664,0.024395704641097485,0.01228388597646198,0.26805561515757664,0.0677572621251629,0.20837675566771527,0.044759383445492754,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1851.0,0.0,1000.0,1000.0,4.0,0.97,0.594,0.377,3.348,1.0,0.20382516973323078,0.20268587445552702,1.0,0.23083249999999988,0.23000000000000004,1.0,0.0838532318095554,1.0,0.08300249999999998
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.25959999529600003,0.3330105036996882,0.24919999529600007,4.604711752000947,0.3604081586571429,0.3604365386911716,0.13,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.08719220579643704,0.12420738957250979,0.06925559304995874,0.4004244839615395,0.10048659600362475,0.020662724951610142,0.0006921378009177684,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
