experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0204648203068782,0.0034838284625374,0.270484742499201,0.0698495130856785,0.0163995115324417,1.0,0.994,0.1719148522381037,1.0,0.0797578714448856,0.998,0.2024297499999999,1.0,0.08088925
balanced,200.0,Bayes-MAP,0.067718381114331,0.0080713858647808,0.4948712943922217,0.156117832539383,0.0510274012921386,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0914600489564455,0.0195127847910814,0.3824611881571794,0.1004823818038685,0.0737528975276674,1.0,,,,,,,,
balanced,200.0,Avg,0.2617799953842,0.0255578553699937,4.608882449143377,0.3625459137614286,0.2480599953842,,,,,,,,,
balanced,400.0,BayPIRE,0.020726035441313,0.0035827882912673,0.2086237781889652,0.0554165933172937,0.01666635534066,1.0,0.948,0.1084579253793657,0.9,0.0476287652624479,0.991,0.1422592499999999,0.9,0.0487884999999999
balanced,400.0,Bayes-MAP,0.0626558411813752,0.0057380235541574,0.399962205016047,0.114844530660948,0.0449428609519097,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0680632528851415,0.0097474036587273,0.341516060440224,0.0850822249415256,0.0508574749681861,1.0,,,,,,,,
balanced,400.0,Avg,0.1980499987136,0.0199346288989364,1.8551791356324407,0.30828645703875,0.1816699987136,,,,,,,,,
balanced,800.0,BayPIRE,0.017600228120535,0.0012332936180555,0.17611967350001,0.0489378922548093,0.0119496691821202,1.0,0.905,0.0792568999686847,1.0,0.029311935963659,0.989,0.1152939999999999,1.0,0.03059275
balanced,800.0,Bayes-MAP,0.0477311536612595,0.0033276888638475,0.3103341138042795,0.0803411533354874,0.0304839594492083,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0577499150836122,0.0052713219873762,0.2941210450212596,0.073250220616589,0.0434974494357027,1.0,,,,,,,,
balanced,800.0,Avg,0.1438749998712,0.0092820989517242,0.8775100839608875,0.2814979618230435,0.1270249998712,,,,,,,,,
balanced,1600.0,BayPIRE,0.0165358284079053,0.0012675314408142,0.1590587008337138,0.045755415823312,0.0101511943351403,1.0,0.787,0.0549609821362317,0.9,0.0184121167951043,0.978,0.0946389999999999,0.9,0.020032
balanced,1600.0,Bayes-MAP,0.0322277017659716,0.0032838896804705,0.2426810853798617,0.0594505111002057,0.0184236940146965,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0414873877913588,0.0045325737892551,0.2134577425908191,0.0591576215663889,0.0291272782943512,1.0,,,,,,,,
balanced,1600.0,Avg,0.0898675,0.0077950932750459,0.7213220260355904,0.2622810639880952,0.0750725,,,,,,,,,
random,200.0,BayPIRE,0.0329938322921602,0.016723951348798,0.3386962291575378,0.0983188949208095,0.0301747637878164,1.0,0.993,0.2077720685423948,0.9,0.110963877564279,1.0,0.2358694999999999,0.9,0.1122182499999999
random,200.0,Bayes-MAP,0.0690453662954402,0.0105189143469668,0.5200075801793705,0.168500359137261,0.0527249744088963,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1076507233003294,0.01274245313509,0.4630854809944617,0.1312834374314814,0.0904859269042154,1.0,,,,,,,,
random,200.0,Avg,0.2859583286285334,0.0138533102743262,4.741946017465649,0.3736572203156689,0.2698783286285334,,,,,,,,,
random,400.0,BayPIRE,0.0214135453630039,0.0050674930360304,0.2380124418093565,0.0651457805901859,0.0182390666012197,1.0,0.97,0.1194883786847747,1.0,0.0628460026722338,0.996,0.1529134999999999,1.0,0.0632442499999999
random,400.0,Bayes-MAP,0.0617050039690938,0.00558946391021,0.4239297339813189,0.1266661497180465,0.0463515180047026,1.0,,,,,,,,
random,400.0,PE-Rasch,0.077045873136998,0.010345631036668,0.3778524438766572,0.0966184666740592,0.0606018457329017,1.0,,,,,,,,
random,400.0,Avg,0.2203182263521287,0.0166427035209793,2.7515893458781284,0.3266319695375522,0.2044762061501085,,,,,,,,,
random,800.0,BayPIRE,0.0185531617274161,0.0017961817860646,0.1795610984662275,0.0494719374322566,0.0127561166143133,1.0,0.904,0.0813396308587897,0.9,0.033440209696015,0.985,0.1169037499999999,0.9,0.0345737499999999
random,800.0,Bayes-MAP,0.0501515287210354,0.0041415584865309,0.3214678950476329,0.0852336985011385,0.0326683708076155,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0622502525857599,0.0062281122159505,0.3060821065699958,0.0760071076060362,0.0456729654647885,1.0,,,,,,,,
random,800.0,Avg,0.1467086584433439,0.0077380536513753,1.0937608095877631,0.2848901201231559,0.1296490207126536,,,,,,,,,
random,1600.0,BayPIRE,0.0160243000551338,0.0006688533852065,0.1598698274992923,0.0458095682597727,0.0102929552179011,1.0,0.767,0.0487066999474732,1.0,0.0188449175351524,0.978,0.0907627499999999,1.0,0.02019175
random,1600.0,Bayes-MAP,0.0317967038451775,0.0019525523163542,0.2459738398746248,0.0605975672043106,0.016439301895415,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.041193138123196,0.0030867731501296,0.2136362542127088,0.0592605206280456,0.0282218832907054,1.0,,,,,,,,
random,1600.0,Avg,0.0911197482823583,0.0060288949726597,0.7238636870192658,0.2631362093048512,0.0748725094781778,,,,,,,,,
