benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,100,200,10000,0.2891333286103334,0.3471413352037339,0.2731333286103334,4.676529060826594,0.370167795784127,0.3812769381650878,0.13233333333333336,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.1291295644399906,0.1647417868303272,0.1144887809869903,0.49261914583848765,0.14393697559147103,0.017701246032084825,0.0005249037780975646,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.09453364483580827,0.10885304628271233,0.08289909287915229,0.5421365785797261,0.18086282364573383,0.32563735038805747,0.08383678898719221,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,88.05532357904933,0.006104032703301275,0.6548236971715361,0.3315046359315825,0.5943850906064201,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.06514717275488706,0.06882752867998787,0.06459398984848891,0.3622384734719944,0.11025161839229312,0.16084939599815168,0.03292011156951461,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2046.0,0.0,1000.0,1000.0,4.0,0.97,1.412,0.426,3.588,0.96,0.211495091763394,0.21195928520340473,1.0,0.2376249999999999,0.24,0.0,0.1148231641265316,0.0,0.11580749999999984
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,100,200,10000,0.271049995672,0.33795055729188167,0.25284999567200006,4.380181720803052,0.3634689582687075,0.4141457812484654,0.14575000000000005,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.09397611832840111,0.12179158348604811,0.07127329632195198,0.41684941845552176,0.11546115329075536,0.021369510444418673,0.0008934529238927484,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.060795995967379016,0.07659324065620558,0.03867592549061508,0.5122038424233466,0.16455626845144977,0.34572808862491117,0.08939246929096661,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,92.77570881914937,0.005247228033325478,0.28696367150934526,0.30496795994818776,0.6199759027173082,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.017733994732411468,0.023106961858875452,0.014270610822064631,0.3220945967551143,0.09170621459233712,0.14762193739003115,0.027404873668310147,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2393.0,0.0,1000.0,1000.0,4.0,0.97,0.76,0.312,3.823,1.0,0.17025544170171245,0.17025249998194075,1.0,0.20162249999999995,0.20000000000000007,1.0,0.11209674526610736,1.0,0.11270249999999993
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,100,200,10000,0.26896666224066673,0.3398161204760599,0.24896666224066677,4.470240217117971,0.3648527166639456,0.40241746077709595,0.1411666666666667,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:business_ethics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.09664804308284991,0.13608184468113366,0.07645515335035613,0.45812609571497387,0.12710724468020035,0.019265473251253627,0.0006084479512535327,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
