experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0305870671365907,0.00784141417195,0.576753311365984,0.1944840300658228,0.0169128597381882,1.0,1.0,0.4060317235260589,1.0,0.1227341470461881,1.0,0.4167369811320753,1.0,0.1229874528301886
balanced,200.0,Bayes-MAP,0.0779206997223189,0.0041163196345397,0.5834308211141369,0.1986494408069889,0.0625495572325089,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1763743154774868,0.0118370248833163,0.613857458824339,0.186671346165783,0.1622460135906944,1.0,,,,,,,,
balanced,200.0,Avg,0.2867433911053584,0.0117595502735248,4.432999073672234,0.343441060189962,0.2728113156336603,,,,,,,,,
balanced,400.0,BayPIRE,0.0195618296185949,0.0038010341324659,0.3013571871615458,0.0809051718604468,0.0149403442556494,1.0,0.994,0.1598955366124305,1.0,0.0597826266372447,1.0,0.1718849999999999,1.0,0.0603107547169811
balanced,400.0,Bayes-MAP,0.0774565066615525,0.006945266467479,0.5166874206054699,0.1686826475633268,0.0605364558929062,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0970709615441185,0.0138197473455635,0.4172531491338954,0.110063755587171,0.0793882017597488,1.0,,,,,,,,
balanced,400.0,Avg,0.1980877341550188,0.0169722789215414,1.8381673021298264,0.2868278243321839,0.1816273567965283,,,,,,,,,
balanced,800.0,BayPIRE,0.0177953330591615,0.0015026153413413,0.2183633200110865,0.058810613582452,0.0142374939281328,1.0,0.934,0.0936349607995722,1.0,0.0329576371651786,0.974,0.108033396226415,1.0,0.0336000943396226
balanced,800.0,Bayes-MAP,0.062940374420015,0.0033892548361286,0.4207185496348762,0.1261137748619825,0.0465611083378631,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0681352622889928,0.0080044903636489,0.3423722806736798,0.084012700616623,0.0527370252693039,1.0,,,,,,,,
balanced,800.0,Avg,0.1345193392444151,0.0064225389707744,0.9505380101281816,0.2609802404760311,0.1187929241500754,,,,,,,,,
balanced,1600.0,BayPIRE,0.0167774052140987,0.0007695504105604,0.1809132438095003,0.050737630645773,0.0122749363860811,0.7,0.8880000000000001,0.0699867445758519,1.0,0.0205821078149702,0.957,0.0858875471698112,1.0,0.0213538679245282
balanced,1600.0,Bayes-MAP,0.0429896448519736,0.0037185158935308,0.3254862451834777,0.087305611035088,0.0277844807023446,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0488876450470939,0.0028715792207887,0.2568514268476963,0.0661564955512419,0.0341598805430223,1.0,,,,,,,,
balanced,1600.0,Avg,0.090879481113283,0.0085474089851642,0.70187393157076,0.2454910422789959,0.0762360848868679,,,,,,,,,
random,200.0,BayPIRE,0.036181230812197,0.0196847785045076,0.4940871917954398,0.1606198550617834,0.0319101370981604,1.0,0.997,0.2614118836955783,0.8,0.1241959402911025,0.998,0.2711784905660376,0.9,0.1249860377358489
random,200.0,Bayes-MAP,0.0727075984949593,0.0091900683383113,0.5949417035298069,0.2037013044047512,0.056823998529405,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1704689817962917,0.0115895833693773,0.6676640806708618,0.2099378639846126,0.1547023686797629,1.0,,,,,,,,
random,200.0,Avg,0.2678861633829416,0.0148872204734211,4.245550926491256,0.3445106565138819,0.2515841508043251,,,,,,,,,
random,400.0,BayPIRE,0.0221174165800177,0.0061764708210384,0.3642073532291362,0.1101544994411984,0.0192377640812987,1.0,0.983,0.1472375206588874,0.9,0.0784301202562982,0.991,0.1602873584905659,0.9,0.0784502830188678
random,400.0,Bayes-MAP,0.0690735508938335,0.0055387139506645,0.5328264133780427,0.1762655318707144,0.0525227340509368,1.0,,,,,,,,
random,400.0,PE-Rasch,0.114251918492722,0.0107943367917274,0.5187345354639966,0.147532330945365,0.0980639727056307,1.0,,,,,,,,
random,400.0,Avg,0.2062036773792931,0.0105775720900665,2.572966245749296,0.3007608209681497,0.1897184258069661,,,,,,,,,
random,800.0,BayPIRE,0.0195145172390176,0.0032116107911283,0.2495866480183328,0.0698468541832544,0.0168870978883477,1.0,0.933,0.094104850814112,1.0,0.0448710381908285,0.977,0.1096092452830187,1.0,0.0452317924528301
random,800.0,Bayes-MAP,0.0606256120011399,0.0039040859511071,0.4392477053584812,0.1346407973529133,0.0450565631469147,1.0,,,,,,,,
random,800.0,PE-Rasch,0.082564848991052,0.009943647956238,0.3877037566358634,0.1007595720443354,0.0683807457926361,1.0,,,,,,,,
random,800.0,Avg,0.141376526059037,0.0083594094193331,1.0335442216996653,0.2645884394773405,0.1261366169115807,,,,,,,,,
random,1600.0,BayPIRE,0.0172534605463623,0.0021296120496581,0.1912309185257323,0.0536709872585555,0.0126847570767906,0.8,0.868,0.0711733898256768,0.9,0.0242259944732247,0.936,0.0880755660377358,0.9,0.0248872641509433
random,1600.0,Bayes-MAP,0.0447099518346119,0.0032542471488173,0.3406870243346449,0.094103223934999,0.028241323260348,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0502232984265711,0.0032360482071474,0.266544104059304,0.0689508084205601,0.0346913832518603,1.0,,,,,,,,
random,1600.0,Avg,0.095895819457742,0.0092788696702051,0.7055313572188332,0.2466981463091563,0.0796053440339197,,,,,,,,,
