benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,265,200,26500,0.2629503096944653,0.3292414439989427,0.24685219648691817,4.20540593738316,0.34067134141782845,0.3763010387459864,0.1299166666666667,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,265,200,26500,0.1610689961598706,0.1964654511382429,0.14508495330232518,0.6057706316406843,0.1930638876423378,0.02182778109793992,0.0006247160642364074,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,265,200,26500,0.07193863720493432,0.08420836450480675,0.05527238358528424,0.5888906189264188,0.20155234543306264,0.37622676830357404,0.1056255994863195,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,95.5226474906906,0.0039772465437759585,0.7260025279227462,0.3509844861096716,0.32774925056908044,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,265,200,26500,0.022080225581965686,0.02961028484507414,0.01833370319803982,0.4700573674670715,0.15110155961490682,0.213643325760496,0.042794038547449384,0.007547169811320755,0.85,0.5660377358490566,False,0,6,0,4,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1379.0,0.0,1000.0,1000.0,4.0,0.97,1.426,0.437,2.99,1.0,0.25290736231379346,0.2536614237679673,1.0,0.2618216981132075,0.2603773584905661,1.0,0.11923561815077643,1.0,0.1200462264150941
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,265,200,26500,0.2648345874172327,0.3338178258600345,0.2519540842725786,3.8421051463291844,0.34351400031846224,0.4508482373396264,0.15816666666666668,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,265,200,26500,0.18000145495639092,0.22427463264857117,0.16650881660890537,0.72877245734616,0.22376361531369043,0.02735465419754888,0.0012007567444910921,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,265,200,26500,0.08896309405574941,0.10908041112384213,0.07930129538361144,0.6037991993070267,0.20704405281653657,0.4126831375336499,0.11730590684932585,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,103.42239256323236,0.00047923285524695524,0.27144520645676185,0.3317706002412772,0.34197747536147993,366.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,265,200,26500,0.0642225975753422,0.06843008718942398,0.0640855723385134,0.513559997741767,0.16709932927763846,0.26791957753716156,0.06129962880817656,0.007547169811320755,0.86,0.5358490566037736,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1688.0,0.0,1000.0,1000.0,4.0,0.97,0.611,0.376,2.682,0.98,0.2611442063489723,0.261721606583052,0.99,0.2724933962264149,0.2717452830188678,0.0,0.12702823702463995,0.0,0.1278226415094338
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,265,200,26500,0.259954713206415,0.3330524699801202,0.24357735471584901,3.860153859524158,0.34308781208272077,0.41981389510798633,0.1465833333333334,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,265,200,26500,0.19349325956177563,0.2351570947895605,0.1770718981427885,0.6957332671202594,0.22350559958830823,0.023366244799333608,0.000842259040481859,0.007547169811320755,0.81,0.4981132075471698,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
