benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Avg,0.2678861633829416,0.014887220473421125,0.3349455579896353,0.009518584115791786,0.25158415080432517,0.015415242398031829,4.245550926491256,0.35146245926078584,0.3445106565138819,0.0065663074510361515,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,BayPIRE,0.03618123081219702,0.01968477850450769,0.041591633994552527,0.01881146499519168,0.03191013709816043,0.023429586188119165,0.4940871917954398,0.015025194735051862,0.16061985506178345,0.0061030918496467424,1.0,0.9970000000000001,0.00674948557710554,0.2614118836955783,0.02732458093252574,0.26091853151406924,0.027015023109361044,0.998,0.004216370213557832,0.2711784905660376,0.026255492646495904,0.26988679245283,0.026346179570475275,0.8,0.4216370213557839,0.12419594029110255,0.004748832074429175,0.9,0.31622776601683794,0.12498603773584893,0.005450510790472918
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,Bayes-MAP,0.07270759849495936,0.009190068338311326,0.0885781270028685,0.011608792599737777,0.05682399852940502,0.012268447717654419,0.5949417035298069,0.0063669732457293645,0.20370130440475126,0.0029377134561624925,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,200.0,random_uniform,PE-Rasch,0.17046898179629172,0.011589583369377314,0.20826889050537414,0.014061720351582636,0.15470236867976297,0.011433094548070902,0.6676640806708618,0.0396267663425172,0.20993786398461262,0.010655290056488539,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Avg,0.20620367737929318,0.010577572090066564,0.2607610715840383,0.015258722855875605,0.18971842580696613,0.011190911372940838,2.572966245749296,0.20693886738405026,0.3007608209681497,0.008144865057270344,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,BayPIRE,0.02211741658001773,0.006176470821038493,0.027673456153922072,0.006254403137364095,0.019237764081298757,0.0074256813660902934,0.3642073532291362,0.019243077755749877,0.11015449944119848,0.00760722163376959,1.0,0.983,0.028693785622209787,0.14723752065888746,0.012182606448824091,0.1469910778938391,0.012119662155640011,0.991,0.02233582075700125,0.16028735849056594,0.010976572850244603,0.16094811320754712,0.010822098719536058,0.9,0.31622776601683794,0.07843012025629821,0.002387774698565339,0.9,0.31622776601683794,0.07845028301886785,0.002104888445421145
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,Bayes-MAP,0.06907355089383357,0.005538713950664519,0.08525045275742,0.006359516672275764,0.052522734050936895,0.007764985397646087,0.5328264133780427,0.011116514193340284,0.17626553187071442,0.0055731158431950355,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,400.0,random_uniform,PE-Rasch,0.11425191849272202,0.010794336791727456,0.1498701048165408,0.009591500906569716,0.09806397270563073,0.011281827823986524,0.5187345354639966,0.03861132301772499,0.147532330945365,0.008092123903419462,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,Avg,0.14137652605903706,0.00835940941933317,0.17863475251651237,0.013069300858460538,0.12613661691158073,0.009156208659639467,1.0335442216996653,0.1715208673775004,0.26458843947734056,0.004974543991968169,,,,,,,,,,,,,,,,,,,,,
mmlu:clinical_knowledge,mistralai_mistral_7b_instruct_v0_2,800.0,random_uniform,BayPIRE,0.0195145172390176,0.0032116107911283024,0.024069054606492706,0.0027096570895108114,0.01688709788834777,0.0038740260638240927,0.24958664801833286,0.011150016300628809,0.06984685418325443,0.004175479657593788,1.0,0.933,0.057744648621707265,0.09410485081411206,0.008712834756596951,0.0940676045143893,0.008538554401035257,0.977,0.024517567397911073,0.10960924528301878,0.007704119617447627,0.110188679245283,0.00707092796103406,1.0,0.0,0.04487103819082856,0.0016547447239513534,1.0,0.0,0.045231792452830134,0.0015492611300387438
