benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,144,200,14400,0.31645832702222226,0.3513827058358079,0.2993749936888889,4.9818318156989,0.3469014033126761,0.24953299140158033,0.09000000000000007,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,144,200,14400,0.14242725265264788,0.1768114524371105,0.1243716970970923,0.41164332468624143,0.11930341066116273,0.019394979220219054,0.0004997643554488254,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,144,200,14400,0.08174831698935262,0.09567621337225017,0.06305141101404646,0.5138289185554521,0.1699545752402971,0.34307529258394936,0.09378118125764402,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,89.16764335497204,0.00253610781463505,0.9302951149342176,0.4027315533794186,0.4185229768257516,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,144,200,14400,0.025577242211268142,0.03069602631419657,0.01865389514676572,0.31014948223668143,0.08234379827293123,0.19973569450948048,0.03966758390754097,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1160.0,0.0,1000.0,1000.0,4.0,0.97,1.808,0.517,3.015,1.0,0.2727375813617618,0.2688515703155543,1.0,0.2862968749999999,0.2847222222222222,1.0,0.09198428288273675,1.0,0.09229340277777764
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,144,200,14400,0.28909721689722223,0.32220650065349105,0.2736805502305556,4.217026975697295,0.3266197140774648,0.3188477084575749,0.11500000000000003,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,144,200,14400,0.09877843926177132,0.1297412564334008,0.08202150364345617,0.35985030225032344,0.09523565369229797,0.019913728023574204,0.0004883815881507929,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,144,200,14400,0.06890306227620839,0.08208325648120295,0.05309614376851518,0.4993245838351393,0.16210521527157043,0.3557346012564443,0.09758708377782967,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,92.07501406039657,0.008489416565459583,0.8503716727587508,0.3644094573794986,0.44806933584342323,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,144,200,14400,0.019734668035080078,0.023893681255485005,0.016139949210536655,0.29005758987889296,0.07494545938281039,0.17018978750017794,0.02900408577820357,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1938.0,0.0,1000.0,1000.0,4.0,0.97,1.944,0.386,3.415,1.0,0.19114618512061818,0.19157694958443738,1.0,0.2104531249999999,0.20842013888888838,1.0,0.08546592564297983,1.0,0.08618750000000008
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,144,200,14400,0.28368055042777784,0.3201524398525758,0.27409721709444446,4.112841894751442,0.32521126350140844,0.33271065186877374,0.12000000000000004,0.013888888888888888,1.0,1.0,False,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,144,200,14400,0.1030974333080072,0.140422216823955,0.09235743420719514,0.3517686759921267,0.09804935239261613,0.02080197760887793,0.0005517192074356352,0.013888888888888888,1.0,1.0,False,2,2,1,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
