benchmark,model_id,budget,mask_type,method,prompt_mae_mean,prompt_mae_std,prompt_rmse_mean,prompt_rmse_std,wasserstein_1_mean,wasserstein_1_std,test_log_loss_mean,test_log_loss_std,test_brier_mean,test_brier_std,converged_rate,cover_prompt_latent_95_mean,cover_prompt_latent_95_std,mean_interval_width_latent_95_mean,mean_interval_width_latent_95_std,median_interval_width_latent_95_mean,median_interval_width_latent_95_std,cover_prompt_predictive_95_mean,cover_prompt_predictive_95_std,mean_interval_width_predictive_95_mean,mean_interval_width_predictive_95_std,median_interval_width_predictive_95_mean,median_interval_width_predictive_95_std,cover_avg_latent_95_mean,cover_avg_latent_95_std,avg_interval_width_latent_95_mean,avg_interval_width_latent_95_std,cover_avg_predictive_95_mean,cover_avg_predictive_95_std,avg_interval_width_predictive_95_mean,avg_interval_width_predictive_95_std
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,Avg,0.29740277223583333,0.015383723095760004,0.33339309966364805,0.01641336823129245,0.2839861055691667,0.013527045305768759,4.446046342327255,0.3949301372073252,0.3343802771925352,0.011391595316915958,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,BayPIRE,0.0191729904786108,0.0032560182552771183,0.02350999001510673,0.003915894148541115,0.011991561293444836,0.004242111762527954,0.302250886752732,0.010796343367858261,0.07889534277247315,0.003843685817493124,1.0,1.0,0.0,0.24612077978289348,0.034766863193002366,0.24448304236986512,0.03335750639765581,1.0,0.0,0.2626645833333332,0.0328213303386093,0.2618663194444442,0.0320754339008028,1.0,0.0,0.0908081442842319,0.0034082558268580137,1.0,0.0,0.09126041666666664,0.0035233536542122043
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,Bayes-MAP,0.07303982007250066,0.005935996208248073,0.08588473658702242,0.0062124707706108714,0.059190476464463126,0.004258642690433635,0.502493848653123,0.005705940666346904,0.1634185865797802,0.003195113627513505,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,two_way_balanced,PE-Rasch,0.12205630696877694,0.018459403823957138,0.15997079433313927,0.018661257401243556,0.10741183840071795,0.017590477693212776,0.38944564322804587,0.028428581828629656,0.1105154507869508,0.010801799702563902,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,Avg,0.19397222019027777,0.011395934426848638,0.2316284454960556,0.013118197098974115,0.18152777574583331,0.01168708691116733,1.895536847546635,0.18083282376561025,0.2767410699857143,0.006702434951916042,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,BayPIRE,0.014993259397211744,0.0014285837619954639,0.018679436674518497,0.001607564698912924,0.010922627521802692,0.0021232810990584917,0.19679918342038677,0.004757112601651016,0.05001989510598579,0.002107192979496911,1.0,0.9970000000000001,0.004830458915396479,0.11257649984790152,0.020469515762262424,0.11250547408733835,0.020459187850439826,1.0,0.0,0.1362901041666666,0.01822440697800577,0.13751736111111104,0.016678005803855693,1.0,0.0,0.0495364231640623,0.0016646985934039235,1.0,0.0,0.04991163194444439,0.001569584729011811
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,Bayes-MAP,0.06457196333380504,0.004773726257084595,0.07800965106737508,0.005116898528316798,0.05155556989650819,0.0048457559439573075,0.41293673491109784,0.005917523337946005,0.12424699045324558,0.00295705693931539,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,400.0,two_way_balanced,PE-Rasch,0.06706885293637317,0.011736011162447497,0.10612922168267266,0.015949037545308725,0.052559808406157184,0.011694993358244516,0.2935869733593434,0.027247841452711953,0.0756712446366049,0.007970605883178087,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,Avg,0.13154166631722225,0.007538822564102292,0.16072813603978023,0.008728540753194533,0.11819444409499999,0.008350868749578409,0.9040099175812075,0.11730622331135569,0.24882812474514707,0.0030237564931592472,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,BayPIRE,0.014539223097280545,0.0014212467809109448,0.017857130578802255,0.001506442561679023,0.011283843999800496,0.0017967466673990125,0.1559815583709871,0.008006800877072909,0.04221941600276093,0.001690650775568245,1.0,0.9099999999999999,0.06,0.0625036490820041,0.006956823523668911,0.06250658283883748,0.007072908959822879,0.9970000000000001,0.009486832980505146,0.09090624999999997,0.005716479475355738,0.09065104166666663,0.006193758709639301,1.0,0.0,0.028352738466718142,0.0007363056271497217,1.0,0.0,0.029245486111111087,0.0008852873755759563
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,Bayes-MAP,0.04736938472737849,0.0026978105514930705,0.05906221521877284,0.0036447286182118223,0.03327609115997578,0.002563863219081967,0.31695669733242826,0.002841657724207632,0.08474100959989668,0.0012215155181683904,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,800.0,two_way_balanced,PE-Rasch,0.04671273577131464,0.006448393189293924,0.06902859753254997,0.009625552477145307,0.032090695680201155,0.006089871063315645,0.23788698018264715,0.016204604155723574,0.0593385491952206,0.0028397467078432473,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,1600.0,two_way_balanced,Avg,0.08946527775999999,0.004586494648490394,0.11294596353175371,0.006280738319272828,0.07779861109333333,0.005054683181020727,0.6843857330191143,0.022849059221136735,0.2359736327984375,0.0017660280739816136,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,1600.0,two_way_balanced,BayPIRE,0.014060551120912562,0.0008098357353832319,0.017513183693659957,0.0010978471618356257,0.009239211143305556,0.002200634395586267,0.13516395130291764,0.005067384508933963,0.038979187636945856,0.0009175847423124027,0.6,0.807,0.08832389886724377,0.0496993598053009,0.011742828436731545,0.049613975524051765,0.011444630839514199,0.9879999999999999,0.015491933384829662,0.07788350694444443,0.00804922018536422,0.0770920138888889,0.007650328354071504,0.9,0.31622776601683794,0.017667634213269567,0.0004520528344130298,0.9,0.31622776601683794,0.01877986111111112,0.0007223802355634068
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,1600.0,two_way_balanced,Bayes-MAP,0.03290938336839752,0.0027175221051127844,0.041616550843496074,0.003545129348324063,0.0208567447087894,0.0026661820178127435,0.2419809571406723,0.002051185376498318,0.059150802353034916,0.0008078277979731511,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,1600.0,two_way_balanced,PE-Rasch,0.038794617308752055,0.004241652274222053,0.04894169469234288,0.005684329145387907,0.02655395103579968,0.004274684543976935,0.1907543946235172,0.016578878778190802,0.05146063179673839,0.0024297434852393173,1.0,,,,,,,,,,,,,,,,,,,,
