experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0191729904786108,0.0032560182552771,0.302250886752732,0.0788953427724731,0.0119915612934448,1.0,1.0,0.2461207797828934,1.0,0.0908081442842319,1.0,0.2626645833333332,1.0,0.0912604166666666
balanced,200.0,Bayes-MAP,0.0730398200725006,0.005935996208248,0.502493848653123,0.1634185865797802,0.0591904764644631,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1220563069687769,0.0184594038239571,0.3894456432280458,0.1105154507869508,0.1074118384007179,1.0,,,,,,,,
balanced,200.0,Avg,0.2974027722358333,0.01538372309576,4.446046342327255,0.3343802771925352,0.2839861055691667,,,,,,,,,
balanced,400.0,BayPIRE,0.0149932593972117,0.0014285837619954,0.1967991834203867,0.0500198951059857,0.0109226275218026,1.0,0.997,0.1125764998479015,1.0,0.0495364231640623,1.0,0.1362901041666666,1.0,0.0499116319444443
balanced,400.0,Bayes-MAP,0.064571963333805,0.0047737262570845,0.4129367349110978,0.1242469904532455,0.0515555698965081,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0670688529363731,0.0117360111624474,0.2935869733593434,0.0756712446366049,0.0525598084061571,1.0,,,,,,,,
balanced,400.0,Avg,0.1939722201902777,0.0113959344268486,1.895536847546635,0.2767410699857143,0.1815277757458333,,,,,,,,,
balanced,800.0,BayPIRE,0.0145392230972805,0.0014212467809109,0.1559815583709871,0.0422194160027609,0.0112838439998004,1.0,0.91,0.0625036490820041,1.0,0.0283527384667181,0.997,0.0909062499999999,1.0,0.029245486111111
balanced,800.0,PE-Rasch,0.0467127357713146,0.0064483931892939,0.2378869801826471,0.0593385491952206,0.0320906956802011,1.0,,,,,,,,
balanced,800.0,Bayes-MAP,0.0473693847273784,0.002697810551493,0.3169566973324282,0.0847410095998966,0.0332760911599757,1.0,,,,,,,,
balanced,800.0,Avg,0.1315416663172222,0.0075388225641022,0.9040099175812076,0.248828124745147,0.1181944440949999,,,,,,,,,
balanced,1600.0,BayPIRE,0.0140605511209125,0.0008098357353832,0.1351639513029176,0.0389791876369458,0.0092392111433055,0.6,0.807,0.0496993598053009,0.9,0.0176676342132695,0.988,0.0778835069444444,0.9,0.0187798611111111
balanced,1600.0,Bayes-MAP,0.0329093833683975,0.0027175221051127,0.2419809571406723,0.0591508023530349,0.0208567447087894,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.038794617308752,0.004241652274222,0.1907543946235172,0.0514606317967383,0.0265539510357996,1.0,,,,,,,,
balanced,1600.0,Avg,0.0894652777599999,0.0045864946484903,0.6843857330191143,0.2359736327984375,0.0777986110933333,,,,,,,,,
random,200.0,BayPIRE,0.026439458025438,0.0152771630494432,0.3612291144101172,0.107756442991562,0.0229614963358068,1.0,0.999,0.2082334769286436,0.9,0.1122242791735555,1.0,0.2268935763888887,0.9,0.1126762152777777
random,200.0,Bayes-MAP,0.0684619769256506,0.0117258565312162,0.5212742343539591,0.1717676146076553,0.0561928449415842,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1203029968300041,0.0089700278858984,0.4672478598159086,0.1396909881954498,0.1062640338302016,1.0,,,,,,,,
random,200.0,Avg,0.2718649947145138,0.0148959066456651,4.371934508977386,0.3342560648147284,0.2576277724922917,,,,,,,,,
random,400.0,BayPIRE,0.0186554999977996,0.0035680046000529,0.240616755219476,0.0662975206720557,0.0159475104170897,1.0,0.995,0.1149031251016992,1.0,0.0637803693161343,1.0,0.1386967013888888,1.0,0.0644100694444442
random,400.0,Bayes-MAP,0.0605549861580736,0.0054500726707358,0.4332493759603427,0.1340709744101287,0.0466107969972966,1.0,,,,,,,,
random,400.0,PE-Rasch,0.07084164618516,0.0077230497619952,0.3387123876305627,0.0897724023942236,0.0565218682347762,1.0,,,,,,,,
random,400.0,Avg,0.2022313680065097,0.0157154664026408,2.504396757040971,0.2871955979933835,0.1874224791176208,,,,,,,,,
random,800.0,BayPIRE,0.0151821751010358,0.0030195143022416,0.1650307313435753,0.0452484037362231,0.0115124879484294,1.0,0.943,0.0785907518720658,0.9,0.0343945258039734,0.996,0.1042572916666666,0.9,0.035267361111111
random,800.0,Bayes-MAP,0.0477084143513435,0.0036678674067769,0.3308374668259325,0.0908251571162753,0.0346134523989593,1.0,,,,,,,,
random,800.0,PE-Rasch,0.054873903011751,0.0071155913736637,0.2607254907458043,0.0668347121613989,0.0419773281574814,1.0,,,,,,,,
random,800.0,Avg,0.1371190639656251,0.0099752779420764,1.1258811866710905,0.254069968830959,0.1237743142708754,,,,,,,,,
random,1600.0,BayPIRE,0.0138996664619458,0.0011883919535543,0.1327264541557653,0.0384768006594766,0.0088443742525422,1.0,0.8539999999999999,0.0537060143500568,0.9,0.0194037808321467,0.985,0.0815088541666666,0.9,0.0203012152777778
random,1600.0,Bayes-MAP,0.034961158215386,0.002562087595789,0.2489989899448947,0.0617854332655688,0.0221640673813677,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0415923863818848,0.0037993272011923,0.188809818778354,0.0525798698655036,0.0297202484718692,1.0,,,,,,,,
random,1600.0,Avg,0.0921462032678754,0.004289047507305,0.6789195505297645,0.2362272297631378,0.079842433654276,,,,,,,,,
