benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,144,200,14400,0.2630178520067461,0.34165120103394325,0.24595674089563493,4.45551040704239,0.33964816701930634,0.34210326163878974,0.11939285714285719,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,144,200,14400,0.12418318117825383,0.16471761809653193,0.10982194106550235,0.5033388906042919,0.15159188623392827,0.018943218021337152,0.0005977268174226449,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,144,200,14400,0.06046870546157007,0.07456793481608164,0.044764630221451385,0.5196821851892883,0.1704825315185805,0.33003391093672024,0.08739113377690057,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,87.7311075948626,0.0012532742162172606,0.7969266418925269,0.3418111896817472,0.4721769014294368,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,144,200,14400,0.015729843279605717,0.01875164028808554,0.00916742183619519,0.37247657133184137,0.11161865277136376,0.1638251905896979,0.03227165657437081,0.013888888888888888,0.84,0.7222222222222222,False,0,7,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1972.0,0.0,1000.0,1000.0,4.0,0.97,1.838,0.404,3.478,1.0,0.21025366319244174,0.21057572896218296,1.0,0.22870833333333326,0.22916666666666663,1.0,0.11677431791359671,1.0,0.1182743055555554
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,144,200,14400,0.27927499417569446,0.3344308749303426,0.26621943862013886,4.589022906224542,0.33495928170892025,0.28846204024680655,0.10083333333333339,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,144,200,14400,0.12489742362710068,0.15253847526521916,0.11036525576810269,0.4984569735410771,0.14934014423754516,0.02079153095388624,0.000889549516687572,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,144,200,14400,0.08045285413152817,0.09279113851846905,0.0704951093556643,0.5361874404932297,0.18004322099780223,0.31660427025580057,0.08516186441440617,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,83.45911827411578,0.005346742079829999,1.0581803051199377,0.3572337431945692,0.4396641249217942,245.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,144,200,14400,0.029703929069519984,0.034412455940705695,0.02897716845091753,0.3730187290460594,0.11469662635169633,0.15713353707029243,0.02970496828179432,0.013888888888888888,0.88,0.7638888888888888,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1812.0,0.0,1000.0,1000.0,4.0,0.97,2.129,0.425,3.443,1.0,0.20796100318670172,0.20742326587665205,1.0,0.22599826388888883,0.22239583333333302,1.0,0.10756556743143453,1.0,0.10820833333333324
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,144,200,14400,0.24165832879444443,0.3105445514310543,0.22546943990555557,3.816501947853674,0.31899113240657284,0.35786628257946673,0.12533333333333338,0.013888888888888888,0.82,0.7638888888888888,False,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_biology,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,144,200,14400,0.1180473096649786,0.14770270734311494,0.10191773611139483,0.461138423649762,0.13701075962359247,0.021261441964525823,0.0008533310310659397,0.013888888888888888,0.82,0.7638888888888888,False,0,6,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
