experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0318701001782773,0.0025758471514617,0.2648914203205406,0.0682252496628427,0.026499693629527,1.0,0.995,0.202285951691811,1.0,0.0828479074380964,1.0,0.2286667499999998,1.0,0.0835615
balanced,200.0,Bayes-MAP,0.0709158048024941,0.0026712252656479,0.4794435975805781,0.15144558051996,0.044172666021788,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.0984027120969036,0.0075824122162936,0.3472370176537238,0.096473892569884,0.0703158132352246,1.0,,,,,,,,
balanced,200.0,Avg,0.2881799947766,0.0138198564441355,4.624176825072773,0.3502091790042857,0.2641199947766,,,,,,,,,
balanced,400.0,BayPIRE,0.0298321705923315,0.0012772860855707,0.1917211012529469,0.0511860274283712,0.0265797899768832,1.0,0.867,0.109142630448663,1.0,0.0473739775277741,0.979,0.1423667499999999,1.0,0.0482057499999999
balanced,400.0,Bayes-MAP,0.0601767716306086,0.0054591724049397,0.3804755698513283,0.1085482633777159,0.0302001873915842,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0661590529297577,0.0062838285041079,0.2727012738126629,0.0717029700781089,0.0388296956147315,1.0,,,,,,,,
balanced,400.0,Avg,0.195389998416,0.0148046123581297,1.8658482700820016,0.2906718736391667,0.168729998416,,,,,,,,,
balanced,800.0,BayPIRE,0.0276373082407069,0.0008262237019024,0.1623703757888031,0.0466073336095956,0.0230225812576767,1.0,0.7809999999999999,0.0849320987033624,1.0,0.0289021948165726,0.962,0.1168349999999999,1.0,0.0299522499999999
balanced,800.0,Bayes-MAP,0.0443668595343031,0.0034689581539476,0.2930811833508289,0.0756204998228948,0.0166265458057377,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0480826594666377,0.0033061800651328,0.2349023515646124,0.0605593871475065,0.0232040972118098,1.0,,,,,,,,
balanced,800.0,Avg,0.128854999816,0.0095736457744186,0.854886365381085,0.2618498639717391,0.100824999816,,,,,,,,,
balanced,1600.0,BayPIRE,0.0245370998919544,0.0011734518833794,0.1432735085969831,0.0431038566381866,0.01769911058568,1.0,0.8160000000000001,0.0799020201224346,0.9,0.0177671443359077,0.968,0.1089117499999999,0.9,0.0194019999999999
balanced,1600.0,Bayes-MAP,0.0311799135157319,0.0029249182771886,0.2284148841037735,0.0561793239479567,0.0106174854913377,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0385279715486344,0.0035623362478328,0.1869444910089527,0.0525496021103287,0.0200499200057296,1.0,,,,,,,,
balanced,1600.0,Avg,0.0884674999916,0.0057412862836431,0.701282286723078,0.2483201264809524,0.0642274999916,,,,,,,,,
random,200.0,BayPIRE,0.0360348383956491,0.0068272625737253,0.3202384181053229,0.0923788710596693,0.0322798269926472,1.0,0.98,0.1905896436991149,1.0,0.1067514426296612,0.997,0.2189442499999999,1.0,0.1074042499999999
random,200.0,Bayes-MAP,0.0668389195288483,0.0097896256691918,0.4988374131173289,0.1608864833800237,0.0407916153022057,1.0,,,,,,,,
random,200.0,PE-Rasch,0.0930423566095723,0.0151132755436731,0.4079561969244456,0.1165230753785014,0.0614688908200471,1.0,,,,,,,,
random,200.0,Avg,0.2778533284341333,0.0145361270962367,4.495356841672314,0.3519743775875964,0.2500999951008,,,,,,,,,
random,400.0,BayPIRE,0.0313520474281265,0.0024983605558865,0.2237859251051969,0.0619545878390847,0.0273113318979533,1.0,0.8939999999999999,0.1225676136206297,1.0,0.0605816611405916,0.988,0.1543807499999999,1.0,0.0617392499999999
random,400.0,Bayes-MAP,0.0599172727226924,0.0071183883178174,0.4050990314662585,0.1204625851833662,0.0331524781664035,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0748574400360151,0.013130429063333,0.3199086149338844,0.0864832672514973,0.046404235195578,1.0,,,,,,,,
random,400.0,Avg,0.2113046402859428,0.0121710048839323,2.6826095574563373,0.3089008652965698,0.1853446402859428,,,,,,,,,
random,800.0,BayPIRE,0.0280335588009354,0.0009220891005269,0.1676376575592849,0.0471449863914173,0.0237557474411,1.0,0.7859999999999999,0.0871383277834843,1.0,0.0326060546812496,0.968,0.1191609999999999,1.0,0.0339134999999999
random,800.0,Bayes-MAP,0.0457824645903906,0.0033605145195727,0.3031956287015956,0.0798808319160743,0.0195041002253944,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0532760727137092,0.0038652349483608,0.2545081165105173,0.0644294748732613,0.0282887466605134,1.0,,,,,,,,
random,800.0,Avg,0.1382106299816233,0.008074529049156,1.0727315333811638,0.2683256385553991,0.1124844039269762,,,,,,,,,
random,1600.0,BayPIRE,0.0240078675655237,0.001373651105873,0.1450912342767489,0.0437129141564517,0.0167649418403758,1.0,0.841,0.0841086091336032,0.9,0.0191070124510118,0.975,0.1122119999999999,0.9,0.0206517499999999
random,1600.0,Bayes-MAP,0.0317196971053901,0.0020871527163683,0.2330664976182813,0.0577936431106285,0.0113106157392796,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0400041550095683,0.0029330815395778,0.1901646718996875,0.0538183565265367,0.0223759855033001,1.0,,,,,,,,
random,1600.0,Avg,0.0894028479710124,0.0071786753833441,0.717400723089008,0.2496547600979427,0.0669479555555055,,,,,,,,,
