benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,100,200,10000,0.270699995665,0.3426092629058228,0.24073332899833336,4.2853744137997545,0.353090245206576,0.43206737357789693,0.15158333333333335,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.08302509499536265,0.11359887982599126,0.05165745742517118,0.36996993148514157,0.10635817880024083,0.02171931473431469,0.0011055790600660435,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.06108509981420207,0.07678685882462474,0.028663741794513788,0.48707048392783414,0.15366363813042488,0.34111023921397077,0.08842284894355792,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,91.51537884060092,0.0010172987093600904,-0.4640844487403925,0.2871162299443912,0.6230061105081662,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.0338941953791184,0.041366058504333496,0.03070236679009591,0.30566950465316606,0.08687114345532729,0.1437925512833038,0.02716041273737911,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2701.0,0.0,1000.0,1000.0,4.0,0.97,-1.231,0.313,3.831,0.96,0.1664792367422905,0.16689230660330445,1.0,0.19852499999999992,0.2,1.0,0.1078728469182042,1.0,0.11010999999999993
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,100,200,10000,0.26678332871633337,0.32754460495880905,0.24018332871633333,4.187546967627559,0.3431695253396826,0.3777894324025142,0.1329166666666667,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.10847949170146301,0.1550581049764737,0.08276923276835295,0.4304553041562179,0.12348527100621062,0.02182595982380068,0.0010258213002950554,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.060716708564330764,0.07720112725772843,0.030578421327682737,0.4980326219568215,0.15948634304452694,0.34070804835826357,0.089233992783733,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,15.0,90.86440790700445,0.01018698582314935,-0.5482232600149153,0.34416510200355716,0.5836067252026295,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.030149571523706654,0.03645904055382708,0.023754519740506273,0.3175377313396317,0.08882323107043341,0.19522212054323201,0.04383404887473555,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1675.0,0.0,1000.0,1000.0,4.0,0.97,-1.166,0.432,3.273,1.0,0.23679089894153688,0.23764044251719837,1.0,0.26013499999999984,0.26,1.0,0.11517472703414394,1.0,0.11621000000000004
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,100,200,10000,0.260199995184,0.31994860066199887,0.2372666618506667,4.2224597654833325,0.33821541530317467,0.37037634296792143,0.12975000000000006,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_chemistry,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.09461169288279972,0.13119156002008742,0.060373087844757284,0.45484381098411514,0.12358313955891762,0.023430629428226955,0.0015371933964145317,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
