benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.27249999480600007,0.359345230788277,0.249299994806,5.2260561870888385,0.38352040284285716,0.3257791801631743,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.1422054020698772,0.17943313771223723,0.1250597918264012,0.5483615079403726,0.15176480453769564,0.021845116178019087,0.0007260542858429901,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.08425878046241753,0.10047889438939787,0.06765419518776146,0.5303797130054574,0.1729014549819153,0.3795405673365609,0.1021106548628821,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,99.01860291130916,0.004798679938845451,-0.2060556919964473,0.3976052209216921,0.5556875585290783,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.03983132363230685,0.04736542150836826,0.03666900410364344,0.33971961587318145,0.0958757402182266,0.232117799111317,0.05246099668376015,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1434.0,0.0,1000.0,1000.0,4.0,0.97,-0.415,0.452,3.09,1.0,0.25824427698388097,0.2586327078390611,1.0,0.2804624999999997,0.27999999999999997,1.0,0.09335198063474642,1.0,0.0960049999999999
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.24469999539400006,0.34165625331218524,0.22129999539400003,4.752617821333054,0.3705612197285715,0.367368010396771,0.13250000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.12217016755071432,0.16000969378892638,0.09806041665805915,0.5510410915841886,0.1478119477632799,0.022876196552089837,0.0007895983222576665,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.0767074701490413,0.0951981278350434,0.0554826263530522,0.5326586459031332,0.1735404980059279,0.38816535058764395,0.10569225102126492,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,100.39884417022763,0.0033729808830998045,-0.1583266344521009,0.3746616616887746,0.5652815815811136,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.03466144074184405,0.040773479378356244,0.028251789592555213,0.35975284242093575,0.10356534116427854,0.23315280019872625,0.052913732687970484,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1511.0,0.0,1000.0,1000.0,4.0,0.97,-0.326,0.416,3.12,1.0,0.23436170081529453,0.23378173813931277,1.0,0.2611474999999998,0.26,1.0,0.09135105724248754,1.0,0.0923124999999998
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.2682999949040001,0.3566917366249463,0.24509999490400003,5.150282561567242,0.3815306070142857,0.3327106518687738,0.12000000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.12400055378959707,0.16444204650669914,0.10151922370041756,0.6689898786693302,0.17162929255673653,0.021567099839392697,0.000697332264826316,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07600713453287873,0.0933318920254678,0.053644040584024735,0.5434602502087703,0.1787242805034666,0.38066627627572275,0.10222367930962488,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,99.38683012441135,0.0011722476575364569,-0.09143291073560854,0.39377255830831226,0.5609923008353217,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_computer_science,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,BayPIRE,100,100,200,10000,0.025330282670612325,0.031744345697994704,0.01764542000728774,0.38458460922001975,0.11401419041819397,0.2237773218931742,0.049514295412449505,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1388.0,0.0,1000.0,1000.0,4.0,0.97,-0.193,0.451,3.198,1.0,0.24472475061753876,0.24318997613961463,1.0,0.2690524999999998,0.26999999999999996,1.0,0.08799684292958276,1.0,0.08861499999999983
