experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0307315687849363,0.0056004554734085,0.3584862014549804,0.1033274171766041,0.0240051993368769,1.0,0.997,0.2340277981579787,1.0,0.0907661521634269,1.0,0.2600539999999998,1.0,0.0919534999999999
balanced,200.0,Bayes-MAP,0.0783589624568506,0.0045149330189286,0.5347429012161015,0.1745467570919308,0.0555707571857983,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1290669630301746,0.0157001122443764,0.5764777716228585,0.1531878240931568,0.1055096907944902,1.0,,,,,,,,
balanced,200.0,Avg,0.2634999950314,0.016751516995016,5.076400411480813,0.3802806071042857,0.2393799950314,,,,,,,,,
balanced,400.0,BayPIRE,0.026249030421694,0.0072557871999603,0.2906634126904198,0.0847122453413165,0.0197335287511315,1.0,0.952,0.147431554634251,0.9,0.0548130511944359,0.99,0.1806529999999999,0.9,0.05606525
balanced,400.0,Bayes-MAP,0.067090945483392,0.0026434854969383,0.4433163791905751,0.1340500019731039,0.044440403269614,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0947316931095667,0.009956526314032,0.5520961037809744,0.1308884591887489,0.0732179385917091,1.0,,,,,,,,
balanced,400.0,Avg,0.1873099990016,0.0211068416677049,1.678460330137889,0.3113854156039583,0.1631899990016,,,,,,,,,
balanced,800.0,BayPIRE,0.0244559367265542,0.0028583817945412,0.25535852830882,0.0774626370972746,0.0147892949239186,1.0,0.891,0.1088856830615626,1.0,0.0345108363089349,0.987,0.1461377499999999,1.0,0.03598375
balanced,800.0,Bayes-MAP,0.0536461251931779,0.003622276293674,0.3647498322903452,0.1038300398955983,0.0317374066387091,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0812460053802519,0.0048994924413996,0.4419550165629287,0.1117660784172206,0.0605601994425499,1.0,,,,,,,,
balanced,800.0,Avg,0.1348899999356,0.0111413094730632,0.8332831422298892,0.2834769020995652,0.1112699999356,,,,,,,,,
balanced,1600.0,BayPIRE,0.0216533513860049,0.0012504518353771,0.2337209253232615,0.0729145146247579,0.0135259510692135,1.0,0.74,0.0665195169815236,1.0,0.0220744723232996,0.983,0.1139222499999999,1.0,0.02398225
balanced,1600.0,Bayes-MAP,0.0386231458084539,0.0034228389052988,0.3051273706315042,0.0851796911700562,0.0182548038639088,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.051376848038875,0.0027857484688537,0.2911635585001232,0.0882229959880212,0.0331948206409736,1.0,,,,,,,,
balanced,1600.0,Avg,0.09284,0.0070899204665653,0.7324499982541333,0.2678165922619048,0.0708149999999999,,,,,,,,,
random,200.0,BayPIRE,0.0336890440891939,0.0139117262087431,0.4004865506131576,0.1228252339799458,0.0283403217745699,1.0,0.991,0.2322650783539868,0.9,0.1140157220740593,0.996,0.2586264999999998,0.9,0.1146302499999999
random,200.0,Bayes-MAP,0.0721530113234684,0.0069144800116242,0.5476082205155238,0.1810662418619832,0.050726196917635,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1213408754076668,0.0164421389919681,0.6008686434387961,0.1662776847299678,0.0983000576772928,1.0,,,,,,,,
random,200.0,Avg,0.2874966619512666,0.0155651788767581,4.84944182801919,0.3814399611339455,0.2653166619512667,,,,,,,,,
random,400.0,BayPIRE,0.0285221832692308,0.0096911463024359,0.3136133945215473,0.0925904864253384,0.0221781178878261,1.0,0.939,0.153342371049875,0.9,0.0664284229800901,0.991,0.1861264999999999,0.9,0.06753775
random,400.0,Bayes-MAP,0.069641012661986,0.0082369934832561,0.4639704790130385,0.144000595726547,0.047221259034588,1.0,,,,,,,,
random,400.0,PE-Rasch,0.1073755507611513,0.0151099509280946,0.6000167916571636,0.1462313351749097,0.0840313667083084,1.0,,,,,,,,
random,400.0,Avg,0.2282038902670925,0.0109135209813437,2.7829429623272635,0.3364400252964858,0.2048888902670925,,,,,,,,,
random,800.0,BayPIRE,0.0237574383054131,0.0013191812378677,0.2588059728242943,0.0776504884568093,0.0148067097512093,1.0,0.932,0.1145175502136855,1.0,0.0377080251855015,0.998,0.1508159999999999,1.0,0.039165
random,800.0,Bayes-MAP,0.054312522650228,0.0041120965087178,0.3733856977817587,0.1075679201628342,0.0335258300461147,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0833549154138208,0.0062492967116637,0.4531022766700109,0.1139053035966788,0.0650102360428731,1.0,,,,,,,,
random,800.0,Avg,0.147144050892819,0.0105603606464263,1.0746982535464786,0.2903604285307916,0.1248594044281725,,,,,,,,,
random,1600.0,BayPIRE,0.0221174280261522,0.0012426702782924,0.2347366896696726,0.0733135426307568,0.012937850104871,1.0,0.7889999999999999,0.0742109824762517,0.9,0.0231541481411111,0.98,0.118945,1.0,0.0250725
random,1600.0,Bayes-MAP,0.0403574216646908,0.003060771175789,0.3093843898145093,0.0865663911821734,0.0204820325729275,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0550231733803776,0.0040592140804271,0.2986340661933821,0.0901033300240837,0.0365986920996173,1.0,,,,,,,,
random,1600.0,Avg,0.0933470791510379,0.0055175160750523,0.7323938195195574,0.2678383218049767,0.0744162397223731,,,,,,,,,
