benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.289699994806,0.32882365463384794,0.274099994806,4.3087814731791845,0.3337244854714286,0.32577918016317425,0.11750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.09338558130157633,0.13885208790313733,0.07260638372908848,0.4771187302357157,0.1271910806576832,0.019545673579977142,0.0005596407848328991,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06842484202958975,0.08194070675788219,0.05178861265039413,0.4842483090103676,0.154458126291688,0.349583840094332,0.09328200136919235,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,8.0,92.16822881963468,0.0008636287387479955,-0.7266905169636125,0.365870854074711,0.5618389259864351,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.023581569874382095,0.02831358040971679,0.01771100272937487,0.32288085650867726,0.09213091234594147,0.1764183818039055,0.03525335149651847,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1790.0,0.0,1000.0,1000.0,4.0,0.97,-1.643,0.414,3.503,1.0,0.19112424702240305,0.19084792080244584,1.0,0.21822749999999988,0.22,1.0,0.08105281401960646,1.0,0.08170500000000008
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.300299994316,0.3404775990412292,0.284699994316,4.65569535838746,0.3419387707714286,0.291121821635177,0.10500000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.11711350913609234,0.1707561336468592,0.09571064823975767,0.5658666850212408,0.15039561229623008,0.021040942722776897,0.0007154215768062907,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.07141066700919962,0.08667778977459636,0.0530834883363676,0.49565148068171944,0.16055319988836936,0.34936441254418954,0.09446201386451991,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,91.34551396946267,0.00207088138983735,-0.8005559612442542,0.38641391867657804,0.533361807707679,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.02193811145458987,0.028112957564585594,0.009324350066972933,0.338825629842323,0.0980162054116302,0.21797770793106558,0.049813001813030854,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1163.0,0.0,1000.0,1000.0,4.0,0.97,-1.59,0.485,2.994,1.0,0.24792884896135678,0.24618001366569792,1.0,0.27053999999999984,0.27,1.0,0.08742913847320533,1.0,0.08902499999999991
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.31669999363,0.3508917140155351,0.29589999363,5.071451397400966,0.3496428519,0.2426015196959809,0.08750000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.11606824803755485,0.15189654454937157,0.10093377462290695,0.4998757573896472,0.13298261124752678,0.017803581011506787,0.00046894858707989415,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
