experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0269226149357956,0.0075336363205165,0.3369967201739047,0.0969591817209886,0.0204725726525071,1.0,0.991,0.2210511313850952,1.0,0.08419347263612,0.999,0.2459972499999998,1.0,0.0851679999999999
balanced,200.0,Bayes-MAP,0.0727954077166695,0.0048284668700978,0.4935749147916385,0.1597153958978989,0.0542438427841198,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.117052186265115,0.0183245290527935,0.5217730786044885,0.1406401470460162,0.0984402638606208,1.0,,,,,,,,
balanced,200.0,Avg,0.2971399943846,0.013921302189846,4.5443843203223295,0.3373826484485714,0.2801199943846,,,,,,,,,
balanced,400.0,BayPIRE,0.0212477368072936,0.0024129548929053,0.2801670879372909,0.0832231151140776,0.0148674284479356,1.0,0.976,0.1353550987681301,1.0,0.0542274552956061,0.999,0.1697224999999999,1.0,0.0555422499999999
balanced,400.0,Bayes-MAP,0.0621728304764657,0.0054618409195105,0.419321168280134,0.128321804230644,0.0437582474525496,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0961703372027349,0.012510391965539,0.5709285904000835,0.1353631787905472,0.0777949094056083,1.0,,,,,,,,
balanced,400.0,Avg,0.1933799979936,0.0112317800478812,1.9581836892641384,0.2802135401560416,0.1761999979936,,,,,,,,,
balanced,800.0,BayPIRE,0.0214030850698036,0.0021707933170881,0.2447977391496438,0.0749955729070897,0.0118426209993111,1.0,0.91,0.105980140280004,1.0,0.034385572822405,0.997,0.1428992499999999,1.0,0.0357554999999999
balanced,800.0,Bayes-MAP,0.0514104906442604,0.0045239453865661,0.3440340993209779,0.0995389323985674,0.0323217013439734,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.0816808961659584,0.0066667505114297,0.4358661802275774,0.1105097888723656,0.0636648383377113,1.0,,,,,,,,
balanced,800.0,Avg,0.1313949997056,0.0106858277634452,0.8915659569963819,0.2520550269441304,0.1141949997056,,,,,,,,,
balanced,1600.0,BayPIRE,0.017964890157634,0.0009589255076533,0.2251446968722551,0.0706512026543679,0.0096794395305197,1.0,0.825,0.0646262951120506,1.0,0.0219449531271129,0.987,0.1114542499999999,1.0,0.023762
balanced,1600.0,Bayes-MAP,0.0369506981265621,0.0024956127683545,0.288961409933588,0.0823390363067829,0.0211008691568846,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0508366552321385,0.0035767521255312,0.284766793097875,0.0863999657868881,0.036288762847188,1.0,,,,,,,,
balanced,1600.0,Avg,0.0874074999916,0.0064661195091153,0.6825183123842355,0.237821614575,0.0715674999916,,,,,,,,,
random,200.0,BayPIRE,0.025015118098834,0.0059873804959936,0.3745446785353541,0.1139885847276957,0.0183479955471022,1.0,1.0,0.2304423601000362,1.0,0.1083132726398641,1.0,0.2564042499999998,1.0,0.1095794999999999
random,200.0,Bayes-MAP,0.0619827844703459,0.0038410322685898,0.5043851145109028,0.1641822167832464,0.0424370036565385,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1206637890857494,0.0098091114683971,0.5793367852018799,0.1597960656074365,0.1026726987900923,1.0,,,,,,,,
random,200.0,Avg,0.2727699950041,0.0150770195677896,4.34943695956493,0.3392838505207937,0.2533766616707667,,,,,,,,,
random,400.0,BayPIRE,0.0218321574465597,0.0023611820924591,0.3006037421624389,0.0901243561277567,0.0156819128795477,1.0,0.98,0.1484892422264401,1.0,0.0643125767221493,0.996,0.1800342499999999,1.0,0.0653172499999999
random,400.0,Bayes-MAP,0.0612995068055109,0.0058094219060019,0.4329945788103263,0.1348541014262157,0.0441774674540535,1.0,,,,,,,,
random,400.0,PE-Rasch,0.093470890898556,0.0170079003658319,0.5631886595192163,0.1385936673502039,0.0748765332874013,1.0,,,,,,,,
random,400.0,Avg,0.2062233592659622,0.0202349875195835,2.7142289991604853,0.2950332618618357,0.1879050259326288,,,,,,,,,
random,800.0,BayPIRE,0.0205969457718505,0.0025238601398578,0.2480646342947413,0.0754941664051787,0.0136797590448111,1.0,0.904,0.0916796002729081,0.9,0.0372996668416891,0.997,0.1327272499999999,0.9,0.0387832499999999
random,800.0,Bayes-MAP,0.0483602215834396,0.0052564742654024,0.3492941331836422,0.1015667250245871,0.0300477493451071,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0779797615218091,0.0071271983515762,0.4248782933031205,0.1093840010095071,0.0607374235607125,1.0,,,,,,,,
random,800.0,Avg,0.1292963330212698,0.0140424944668673,1.0629143152582028,0.2531714476060054,0.1117908784758152,,,,,,,,,
random,1600.0,BayPIRE,0.019216955763401,0.0018552359015176,0.2252599768996758,0.0704289199555399,0.0102330614492179,1.0,0.807,0.0668359245390097,0.9,0.0226038566995479,0.984,0.1132037499999999,0.9,0.02441175
random,1600.0,Bayes-MAP,0.038910324581853,0.0030242651657575,0.2919338718901213,0.0833389008557996,0.0215321915510166,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0542399316508422,0.004395610415945,0.2966316512281248,0.088857088006817,0.0391322965457306,1.0,,,,,,,,
random,1600.0,Avg,0.0918174985069998,0.0064668205008254,0.7037972865895801,0.2391830696093932,0.0744763357569307,,,,,,,,,
