benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,100,200,10000,0.269699995372,0.3475493510214854,0.2526333287053334,4.331362154036444,0.34627777347165534,0.39252364080746394,0.1356666666666667,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.13128570914315338,0.1839720370331588,0.11481299371589022,0.6611064449016613,0.18045454038995248,0.028549453197415985,0.001868112640058624,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.058435387081125556,0.07500513435039693,0.04057535675686026,0.5074171856085682,0.16468539144352567,0.3648667763127241,0.10137517932923458,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,93.39838062853337,0.004070494731817046,-0.6745973288546298,0.31943347882658557,0.5573051475677117,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.02757530905161459,0.03349337814467232,0.022131736560358432,0.39859739233023195,0.12412665443041682,0.25029383203591893,0.06373396143839853,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1548.0,0.0,1000.0,1000.0,4.0,0.97,-1.291,0.407,2.814,1.0,0.23940093963929615,0.23913410198043894,1.0,0.2649474999999998,0.26024999999999865,1.0,0.11450301958244241,1.0,0.11611250000000001
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,100,200,10000,0.24434999596700005,0.3114090235431424,0.2270166626336667,3.6410858858562025,0.32164344886870755,0.4316317410060215,0.15200000000000002,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.12826575557248673,0.16829337472549583,0.11056652251118185,0.5390583800781095,0.1544772248421293,0.03452722445405998,0.0036423749314563134,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.054950441006002944,0.06928903642655761,0.03724937770184783,0.4951920736888565,0.15883848383002078,0.35437363022516805,0.09607261651215422,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,10.0,92.38525172365428,0.0006182048675182806,-0.6660713323329187,0.2986884379867707,0.5876574608280204,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.025465777589568854,0.03019402998681483,0.020780273690494573,0.36283795415672404,0.10801728468468581,0.20476032607611258,0.048433312901188866,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1919.0,0.0,1000.0,1000.0,4.0,0.97,-1.498,0.378,3.264,1.0,0.20287375040101285,0.2018364115426408,1.0,0.23281999999999986,0.23,1.0,0.10618425505536594,1.0,0.1068174999999999
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,100,200,10000,0.26236666175766665,0.3208175259368306,0.24389999509100002,4.114156156338042,0.3284070253866213,0.3392064903524977,0.11800000000000005,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.10142733262124799,0.13596439866705,0.07862292457412434,0.5271825982954234,0.1488872594818174,0.02016838654304879,0.0007916910564500044,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_mathematics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.0681210445643719,0.08250526392476724,0.05109962443381097,0.512731599065998,0.16942827172433625,0.317123579334563,0.08410722337943724,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,84.36651182272936,0.004151562687975841,-0.9480298789374234,0.33418049996462845,0.5580232772194756,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
