experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0248734284139102,0.0046496689514253,0.320800871223752,0.0895472751223681,0.0178111112174539,1.0,0.997,0.2176967857903602,1.0,0.0837379837570017,1.0,0.2432156862745096,1.0,0.0845507352941176
balanced,200.0,Bayes-MAP,0.0731727502395409,0.0050646388331752,0.4982973572000632,0.1605318173244643,0.053225233244859,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.112165149828941,0.0176909495505667,0.4826362312414141,0.1287015168029551,0.0925954664831924,1.0,,,,,,,,
balanced,200.0,Avg,0.2987843082745098,0.0143848172447765,4.7377468629975565,0.3514899951902,0.2799215631764706,,,,,,,,,
balanced,400.0,BayPIRE,0.0231298286398153,0.0026187560111934,0.2522295163687729,0.0706648539244377,0.0182932747426343,1.0,0.957,0.1194620954301211,1.0,0.050558919316911,0.999,0.1533977941176469,1.0,0.0517426470588235
balanced,400.0,Bayes-MAP,0.0615292120620972,0.0050458689176385,0.4081820406290517,0.1212666967791466,0.0420632915852695,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0788591151335705,0.0067492084876888,0.4377696941356864,0.1058911748454554,0.0599903648914695,1.0,,,,,,,,
balanced,400.0,Avg,0.1938676455119607,0.0112320513704432,1.7553747298502849,0.2859604579473469,0.1764166651198039,,,,,,,,,
balanced,800.0,BayPIRE,0.0202954439391408,0.0011896154615871,0.2219169694270338,0.0646077719486087,0.0146838891146657,1.0,0.866,0.0812116833410877,1.0,0.0324626642324481,0.995,0.1216022058823528,1.0,0.0337973039215685
balanced,800.0,Bayes-MAP,0.0462595434651624,0.0019636090846107,0.3296163013712121,0.0909247329357516,0.0270444075905896,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.065624906589464,0.0021171471423357,0.3670630258744729,0.0917511890384314,0.0476743861705426,1.0,,,,,,,,
balanced,800.0,Avg,0.1296421566784313,0.0088358528077758,0.8464568233288396,0.2588969413342553,0.1093529409921568,,,,,,,,,
balanced,1600.0,BayPIRE,0.0192383193838876,0.0008479723975503,0.2030442397922676,0.0602711200091922,0.0126390212389458,1.0,0.736,0.0565424776358428,0.9,0.0204089204329005,0.988,0.1022267156862744,1.0,0.0222289215686273
balanced,1600.0,Bayes-MAP,0.0342403417990442,0.0035226667680377,0.2701630289927831,0.0720011903099841,0.0167372689357481,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0456671451829132,0.0050927625775177,0.2557245500060837,0.0724582360214097,0.0294860356260478,1.0,,,,,,,,
balanced,1600.0,Avg,0.0880159313641176,0.006532215144224,0.6959425575273082,0.2452926053693023,0.071116421560196,,,,,,,,,
random,200.0,BayPIRE,0.0275562997140545,0.0088354360654186,0.36581356523437,0.1087991437374074,0.0227880358139749,1.0,0.998,0.2193160117001656,1.0,0.1099485145531102,1.0,0.2465112745098037,1.0,0.1100416666666666
random,200.0,Bayes-MAP,0.0646835355743396,0.0055316758915324,0.5122495747981264,0.1667673772285779,0.0462677464814887,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1164145497361167,0.0171422073573401,0.5340518117949319,0.1477881817900317,0.0969584957776662,1.0,,,,,,,,
random,200.0,Avg,0.2785267457606722,0.0114565755793356,4.477676862431801,0.3496658233191211,0.2593392947802801,,,,,,,,,
random,400.0,BayPIRE,0.0261196771203061,0.0066697412832417,0.2750187500118523,0.0775166991598553,0.0215821534234673,1.0,0.953,0.1400795330669771,0.8,0.0623022698830732,0.999,0.1727078431372548,0.8,0.0630644607843136
random,400.0,Bayes-MAP,0.0599187523082296,0.0056084080932622,0.4272751697927135,0.1298678410808619,0.0422898446886882,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0860138970998414,0.0160359463163791,0.4856107261110788,0.116025494376738,0.0681475607017945,1.0,,,,,,,,
random,400.0,Avg,0.2071383214628338,0.0138218996807055,2.6320528627828357,0.3052614325606382,0.1902138116589122,,,,,,,,,
random,800.0,BayPIRE,0.0214887679741369,0.0016015664858663,0.2230500009640969,0.064208652513171,0.0156282448799161,1.0,0.882,0.0878124029251447,0.9,0.0360469083800515,0.995,0.1268674019607842,0.9,0.0374732843137254
random,800.0,Bayes-MAP,0.0487328416638325,0.0042864479004846,0.3372031175781633,0.0942297401525674,0.0297973455807139,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0722165291063332,0.0075420317716035,0.3686121608352887,0.0932386748761518,0.0550936102119785,1.0,,,,,,,,
random,800.0,Avg,0.1347354703010589,0.0101410176734931,1.0104728380132586,0.2624491231484495,0.1157799189896253,,,,,,,,,
random,1600.0,BayPIRE,0.0194773709927176,0.0005995547120096,0.2023731731014268,0.0601036599974209,0.0124438228607186,1.0,0.732,0.0571759841583278,1.0,0.0212545607137295,0.984,0.102533088235294,1.0,0.0228845588235293
random,1600.0,Bayes-MAP,0.035823995528612,0.0026245951903962,0.2734947045623155,0.073164755231827,0.0171307620534332,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0468765491140258,0.0035566220758094,0.2610888201001001,0.0744675977638565,0.0298115741552077,1.0,,,,,,,,
random,1600.0,Avg,0.0894436117418637,0.0075541338876542,0.7108062510372173,0.2460978263940947,0.0707649170925606,,,,,,,,,
