benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Avg,100,102,200,10200,0.28024117125882353,0.34844245193254786,0.2651529359647059,4.681141489627571,0.35509920860933336,0.3392524753096156,0.11750000000000005,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,PE-Rasch,100,102,200,10200,0.1530771034722598,0.1904481543718923,0.1353050988052431,0.5817461313784275,0.1679155412240212,0.03484103989460504,0.004973224629915034,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,Bayes-MAP,100,102,200,10200,0.06854404152217679,0.08051803665517394,0.054799415745356524,0.5267922743213133,0.17403227050463338,0.33660615373782427,0.09060161591394122,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,88.36973554068277,0.0010869318572633367,-0.7676111453954713,0.35973635056182485,0.5384741518679149,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,0,random_uniform,BayPIRE,100,102,200,10200,0.03564255168397171,0.04209065277680621,0.031081764780283787,0.4086785066888422,0.1256733154485281,0.23929862388193118,0.0596812466329928,0.0196078431372549,0.84,0.8725490196078431,False,0,7,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,1150.0,0.0,1000.0,1000.0,4.0,0.97,-1.522,0.601,2.689,1.0,0.32635686270303776,0.3292032958998202,1.0,0.34475735294117626,0.34325980392156796,1.0,0.11787729751273524,1.0,0.11755882352941166
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Avg,100,102,200,10200,0.2736980341137255,0.33513809271986233,0.25569019097647067,4.510931635460028,0.3459160487953334,0.32128489812306626,0.11283333333333338,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,PE-Rasch,100,102,200,10200,0.11330692449466966,0.14886625536362325,0.09453033262568308,0.5024147819865806,0.1430276134812962,0.020637528314676513,0.000825789517365774,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,Bayes-MAP,100,102,200,10200,0.07074242439768723,0.08376273250264761,0.0549258592501476,0.518467756030813,0.17088316140559226,0.3256823200664875,0.08624016649392834,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,16.0,86.54195233123006,0.0034375835427259793,-0.813738130243954,0.35050064845392587,0.5508657172359006,203.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,1,random_uniform,BayPIRE,100,102,200,10200,0.025439700246634805,0.030743166047941327,0.01992494242509453,0.3635543867080008,0.10931163884850223,0.18548229665618904,0.04113176845650239,0.0196078431372549,0.86,0.8529411764705882,False,0,5,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1573.0,0.0,1000.0,1000.0,4.0,0.97,-1.608,0.44,3.275,1.0,0.2253609729624878,0.2258680189424842,1.0,0.24993627450980374,0.2549019607843137,1.0,0.11086742700102498,1.0,0.11088480392156852
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,Avg,100,102,200,10200,0.2513490153735295,0.31483169496881935,0.23330979968725496,3.8793699011006453,0.33169519955133336,0.42856542896630034,0.15075000000000002,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:college_physics,mistralai_mistral_7b_instruct_v0_2,200.0,2,random_uniform,PE-Rasch,100,102,200,10200,0.11334719031390111,0.15008779229086436,0.09754561504277431,0.5454890376292163,0.14860405529365803,0.02591546982320917,0.0016581292862728626,0.0196078431372549,0.86,0.8725490196078431,False,0,5,0,7,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
