benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Avg,100,100,200,10000,0.290699994316,0.31696213690736,0.270699994316,3.9038308387588945,0.3011224450571429,0.2911218216351771,0.10500000000000005,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,PE-Rasch,100,100,200,10000,0.11765792329479291,0.16186226443616053,0.10035235006690607,0.5128515795720324,0.13663178070569978,0.023426398705566544,0.0010724029080790298,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06810954003364256,0.07760870071184704,0.04810948366751601,0.45744030799106544,0.14460101003008674,0.3414227394396624,0.09415100511371502,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,88.21386987865853,0.001889174345890503,-1.0020646544245646,0.371452458846467,0.5144274838540586,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,two_way_balanced,BayPIRE,100,100,200,10000,0.025767482163183884,0.032030749214590155,0.020241763124308348,0.32790478676486756,0.09298960254176152,0.23623186851691966,0.057528401361341214,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1323.0,0.0,1000.0,1000.0,4.0,0.97,-1.843,0.457,2.702,1.0,0.244379115363592,0.24320106675398978,1.0,0.2688474999999999,0.27,1.0,0.09129804410351133,1.0,0.0931324999999999
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Avg,100,100,200,10000,0.299499994022,0.3325131514510668,0.28109999402200003,4.213856812252987,0.31158162837142855,0.2703274065183787,0.09750000000000003,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,PE-Rasch,100,100,200,10000,0.1326601348130625,0.183501719675816,0.1148601348130625,0.6151455409037823,0.16202825273325033,0.022911803158119123,0.0008912521828881992,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,Bayes-MAP,100,100,200,10000,0.06995834796698691,0.08401268494413719,0.051281730674979376,0.47185199390091725,0.1514343187511974,0.34143053715668437,0.09383580274510323,0.02,1.0,1.0,False,2,2,2,2,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,88.40582568097095,0.0031560685785435565,-0.978021039121928,0.3868522659351867,0.5067585999196571,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,two_way_balanced,BayPIRE,100,100,200,10000,0.03193593512971494,0.038196638610813564,0.025283561453333638,0.3553706071589896,0.10639908327766827,0.242082236970654,0.059263687734561386,0.02,1.0,1.0,False,2,2,2,2,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1081.0,0.0,1000.0,1000.0,4.0,0.97,-1.768,0.53,2.633,1.0,0.27880281522708045,0.27705653905517874,1.0,0.30024249999999986,0.29999999999999993,1.0,0.09014169239328496,1.0,0.0900149999999999
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,Avg,100,100,200,10000,0.306499994316,0.34068313126293776,0.28449999431600004,4.197058001346237,0.31704081208571433,0.2911218216351771,0.10500000000000004,0.02,1.0,1.0,False,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,two_way_balanced,PE-Rasch,100,100,200,10000,0.13272516933467768,0.18468479167541177,0.10973515972648382,0.5349264794797384,0.14872176700612333,0.02293749487068059,0.0008735517530549243,0.02,1.0,1.0,False,2,2,2,2,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
