experiment,budget,method,prompt_mae_mean,prompt_mae_std,test_log_loss_mean,test_brier_mean,wasserstein_1_mean,converged_rate,cover_prompt_latent_95_mean,mean_interval_width_latent_95_mean,cover_avg_latent_95_mean,avg_interval_width_latent_95_mean,cover_prompt_predictive_95_mean,mean_interval_width_predictive_95_mean,cover_avg_predictive_95_mean,avg_interval_width_predictive_95_mean
balanced,200.0,BayPIRE,0.0294915654440316,0.0102833986937471,0.3422187195227078,0.0999974810728801,0.0235753813857436,1.0,0.999,0.2330849666642369,0.9,0.0861190296424345,1.0,0.2576692499999998,0.9,0.0872432499999999
balanced,200.0,Bayes-MAP,0.0685294363735515,0.0048930711864704,0.4645588619843969,0.1482879678652142,0.0497924337880643,1.0,,,,,,,,
balanced,200.0,PE-Rasch,0.1128714963881598,0.0136105662697657,0.5363689214567747,0.1409986545983924,0.0944504632961276,1.0,,,,,,,,
balanced,200.0,Avg,0.292959994071,0.0083224195407906,4.071272865196291,0.3049030571014285,0.274579994071,,,,,,,,,
balanced,400.0,BayPIRE,0.0221546405169133,0.003945616868445,0.2804732781387249,0.0826304212117026,0.0154340660223415,1.0,0.976,0.1385505200245813,0.9,0.0530577560870358,0.998,0.1705304999999999,0.9,0.0537582499999999
balanced,400.0,Bayes-MAP,0.0569217111838046,0.0042740772216823,0.3953416950482394,0.1209579897878763,0.0396558717368801,1.0,,,,,,,,
balanced,400.0,PE-Rasch,0.0849947294178245,0.0113415551220311,0.515536873206486,0.1225365348030925,0.0661032181576483,1.0,,,,,,,,
balanced,400.0,Avg,0.1696799971296,0.0128418411549635,2.0453058199986347,0.2488854149475,0.1537999971296,,,,,,,,,
balanced,800.0,BayPIRE,0.0197707207254997,0.0012357119261768,0.2498992806879982,0.0756254122314737,0.0109624550141964,1.0,0.936,0.1022462439445102,1.0,0.0348138776066864,0.996,0.1404367499999999,1.0,0.03600475
balanced,800.0,Bayes-MAP,0.0478936733844752,0.0034362452857117,0.333290580733704,0.0972752016937351,0.0306601176184492,1.0,,,,,,,,
balanced,800.0,PE-Rasch,0.079531776507987,0.0070524376176737,0.4216881021423943,0.1080743524215776,0.0620835747302857,1.0,,,,,,,,
balanced,800.0,Avg,0.1231799992088,0.0089167818017832,1.0346005560824705,0.2245733690752174,0.1075399992088,,,,,,,,,
balanced,1600.0,BayPIRE,0.0192974735368465,0.0009091698610065,0.2275245410909627,0.0704421868323397,0.0109466847674336,1.0,0.771,0.0628110389528566,1.0,0.0216097518921576,0.989,0.1116002499999999,1.0,0.0237417499999999
balanced,1600.0,Bayes-MAP,0.0364984915569821,0.0023796861312686,0.2827345065181267,0.0811469288537185,0.019878085071912,1.0,,,,,,,,
balanced,1600.0,PE-Rasch,0.0499086489652914,0.0041777414912028,0.2835088942167507,0.0853052234389238,0.0343968519491535,1.0,,,,,,,,
balanced,1600.0,Avg,0.0826949999748,0.0030216993296907,0.6380229200747355,0.2112533481959523,0.0663499999748,,,,,,,,,
random,200.0,BayPIRE,0.0349377511632496,0.0184099323054044,0.3737083272030774,0.1134985635471697,0.0303946647773654,1.0,0.98,0.2138830086188106,0.7,0.1017470833244339,0.999,0.2404559999999998,0.7,0.1024542499999999
random,200.0,Bayes-MAP,0.0640068204433033,0.014199172330682,0.4777085523466304,0.1543778473470792,0.0499736818207417,1.0,,,,,,,,
random,200.0,PE-Rasch,0.1080674665190463,0.017890173076975,0.5663810743726577,0.1505298028522939,0.0892356026975736,1.0,,,,,,,,
random,200.0,Avg,0.2453599946248,0.0214774761159068,3.767004241254684,0.2922137604021315,0.2280499946248,,,,,,,,,
random,400.0,BayPIRE,0.0237554915114749,0.0050296052242604,0.2945255054806283,0.0867689612318053,0.0184025197153443,1.0,0.976,0.1418455310974341,1.0,0.0641331311845783,0.999,0.1743247499999999,1.0,0.0653744999999999
random,400.0,Bayes-MAP,0.056124798575121,0.0047394847655426,0.4085427810163108,0.1268300634130168,0.0398109981364182,1.0,,,,,,,,
random,400.0,PE-Rasch,0.0925279033202717,0.010803091828113,0.54621374019883,0.1310231888705492,0.0746250278097106,1.0,,,,,,,,
random,400.0,Avg,0.1920094986316021,0.0154606498761018,2.5909980126654064,0.2615184386450436,0.1752314827585863,,,,,,,,,
random,800.0,BayPIRE,0.0208234455764704,0.0015977437444603,0.2518162774291697,0.0761640403750832,0.0117869450975344,1.0,0.937,0.1099679771698922,1.0,0.037333172228311,0.995,0.1455512499999999,1.0,0.0386162499999999
random,800.0,Bayes-MAP,0.0473097850458117,0.0044036518704005,0.3374703490454023,0.0993691482247263,0.0301300896270022,1.0,,,,,,,,
random,800.0,PE-Rasch,0.0758280401351736,0.0057402919310493,0.4367110102313439,0.1072600964082102,0.059386440588913,1.0,,,,,,,,
random,800.0,Avg,0.128001379905763,0.0079361650845568,1.1701642663288432,0.2269061894486772,0.1106246144489975,,,,,,,,,
random,1600.0,BayPIRE,0.0190945614898439,0.0011516669236023,0.2302577703361898,0.071398937141284,0.0092203548144686,1.0,0.8230000000000001,0.0719117238769437,1.0,0.0225074583189921,0.993,0.1165182499999999,1.0,0.024672
random,1600.0,Bayes-MAP,0.0369839077955323,0.0034081002445315,0.2852314167477379,0.0822554440509944,0.0205865617996181,1.0,,,,,,,,
random,1600.0,PE-Rasch,0.0527476789892287,0.0042219096329028,0.2963800720994224,0.0881593195326267,0.0378472684421097,1.0,,,,,,,,
random,1600.0,Avg,0.0827141145949619,0.0065417825348643,0.657715184304741,0.2108206883722513,0.0659143670165954,,,,,,,,,
