benchmark,model_id,budget,repeat,mask_type,method,n_prompts,n_items,n_observed,n_total,prompt_mae,prompt_rmse,wasserstein_1,test_log_loss,test_brier,train_log_loss,train_brier,mask_observed_fraction,mask_prompt_coverage,mask_item_coverage,mask_connected,mask_min_prompt_degree,mask_max_prompt_degree,mask_min_item_degree,mask_max_item_degree,converged,model,n_obs,reason,iterations,final_loss,gradient_norm,alpha,prompt_effect_sd,item_difficulty_sd,n_params,sigma_prompt,sigma_item,max_rhat,min_ess_bulk,divergences,draws,tune,chains,target_accept,alpha_mean,sigma_a_mean,sigma_b_mean,cover_prompt_latent_95,mean_interval_width_latent_95,median_interval_width_latent_95,cover_prompt_predictive_95,mean_interval_width_predictive_95,median_interval_width_predictive_95,cover_avg_latent_95,avg_interval_width_latent_95,cover_avg_predictive_95,avg_interval_width_predictive_95
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Avg,100,100,200,10000,0.22896666106866667,0.26719156057550436,0.2123666610686667,3.4322445867740377,0.2715676836585035,0.2907757135899673,0.09950000000000005,0.02,0.84,0.85,False,0,6,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,PE-Rasch,100,100,200,10000,0.12635243098218107,0.17369531897982649,0.10803499066547431,0.6772205630767089,0.17726563235817902,0.02916106981939167,0.0021508187023250767,0.02,0.84,0.85,False,0,6,0,9,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,Bayes-MAP,100,100,200,10000,0.09295959237266435,0.1017390422177111,0.08328509941571986,0.5204705424131488,0.17433250689049234,0.29316070661213006,0.08327906338099872,0.02,0.84,0.85,False,0,6,0,9,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,12.0,74.36552529691355,0.005372313235696245,-1.5274024303899478,0.33188393534603733,0.45574026937449086,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,0,random_uniform,BayPIRE,100,100,200,10000,0.06073536427064226,0.06688007121219694,0.05857412871893637,0.43429175854575636,0.13937740308915006,0.24971663167669028,0.06883017460792258,0.02,0.84,0.85,False,0,6,0,9,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.0,1007.0,0.0,1000.0,1000.0,4.0,0.97,-2.27,0.582,2.079,0.99,0.29142110462460885,0.29132358473777675,1.0,0.3119599999999998,0.31,0.0,0.10494693739536423,0.0,0.10621499999999998
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Avg,100,100,200,10000,0.22049999470000003,0.26400651734372865,0.20249999470000005,3.39381876466594,0.2696150759956916,0.3166235596910798,0.1105833333333334,0.02,0.87,0.87,False,0,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,PE-Rasch,100,100,200,10000,0.0911294415213935,0.13716493522933562,0.0705827690089123,0.572463044919812,0.14553214736252065,0.02387155556298353,0.0016587713259053527,0.02,0.87,0.87,False,0,5,0,5,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,Bayes-MAP,100,100,200,10000,0.07954804176109934,0.09091306467449183,0.07383075334463755,0.4960503830830427,0.16351233930821796,0.2838242831957458,0.07811623749914691,0.02,0.87,0.87,False,0,5,0,5,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11.0,73.75959612258808,0.0020194662025838483,-1.503339032132055,0.28387078505151714,0.5125870138037569,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,1,random_uniform,BayPIRE,100,100,200,10000,0.05852368291333401,0.06369849770885276,0.058523682913334006,0.3929055227767052,0.12054408823719479,0.1820576714034431,0.04449757095912497,0.02,0.87,0.87,False,0,5,0,5,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2207.0,0.0,1000.0,1000.0,4.0,0.97,-2.786,0.364,2.862,0.91,0.17579243251162624,0.17510805190707782,0.99,0.20402499999999985,0.2,0.0,0.09676244152944824,0.0,0.09620999999999996
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Avg,100,100,200,10000,0.22751666204966664,0.27072099706711183,0.2047166620496667,3.0841687887801603,0.2728876104113379,0.37046586824458705,0.12975000000000003,0.02,0.85,0.91,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,PE-Rasch,100,100,200,10000,0.09384494916614444,0.13774046016233818,0.07286846839982823,0.5515605961285015,0.1408858204676599,0.024055772895100472,0.0011232308921738181,0.02,0.85,0.91,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,Bayes-MAP,100,100,200,10000,0.05586025247412573,0.06694423943263018,0.033226662179794565,0.4681732406173051,0.14992408460332746,0.3295504447756257,0.09127439913829649,0.02,0.85,0.91,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14.0,84.93093269649464,0.002743932514646795,-1.099251535597306,0.30857869168325003,0.5376231581957486,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,2,random_uniform,BayPIRE,100,100,200,10000,0.0233333072038559,0.029738229220996625,0.015477398505819664,0.35707938543040046,0.10635204402522119,0.21019153387023132,0.05059444639612816,0.02,0.85,0.91,False,0,6,0,6,True,bayesian_additive_irt,200.0,,,,,,,,,,,1.01,2029.0,0.0,1000.0,1000.0,4.0,0.97,-2.044,0.406,2.927,1.0,0.21682510151650164,0.2164558038714044,1.0,0.24253249999999985,0.24000000000000002,1.0,0.10501883433087253,1.0,0.10532749999999991
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Avg,100,100,200,10000,0.27883332744133343,0.35615991398251007,0.26363332744133333,4.61741484009949,0.3281529431151928,0.2871526974936101,0.09975000000000005,0.02,0.87,0.85,False,0,6,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,PE-Rasch,100,100,200,10000,0.11202825302751078,0.16170875115484606,0.09701996238599438,0.585859329034783,0.1521076165728188,0.018492925121589565,0.0006364413167327596,0.02,0.87,0.85,False,0,6,0,6,True,official_prompteval.ExtendedRaschModel,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmlu:abstract_algebra,mistralai_mistral_7b_v0_1,200.0,3,random_uniform,Bayes-MAP,100,100,200,10000,0.050848236008271416,0.06802818665427464,0.03534793616048745,0.46304085172983905,0.1464897374990097,0.3049346516518614,0.0799892350142357,0.02,0.87,0.85,False,0,6,0,6,True,map_additive_rasch,200.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,9.0,81.88893377138801,0.0006123173470686059,-1.0279180840633266,0.3472997759479748,0.5492226881657545,201.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
